,Characters,Quotes,Scenes
50,Fry,"Y'know, I'm the luckiest guy in the whole future. I've been given a second chance and this time I'm not going to be a total loser.  What's that?",9
51,Leela,Your permanent career assignment.,9
52,Fry,Delivery boy? No! Not again! Please! Anything else!,9
53,Leela,Take your hands off me! You've been assigned the job you're best at just like everyone else.,9
54,Fry,What if I refuse?,9
55,Leela,Then you'll be fired--,9
56,Fry,Fine!,9
57,Leela,Out of a cannon into the Sun!,9
58,Fry,But I don't like being a delivery boy.,9
59,Leela,Well that's tough! Lots of people don't like their jobs but we do them anyway.  You gotta do what you gotta do. Now hold out your hand. I'm gonna implant your career chip. It'll permanently label you as a delivery boy.,9
60,Fry,Keep that thing away from me!,9
61,Leela,"Hold still, dammit. I don't have good depth perception!  You've got until the count of five to let me out of here. One--",9
62,Fry,See you in a thousand years!  You owe me one.,9
63,Fry,Whoa!,10
64,Man #1,JFK Jr. Airport.,10
65,Man #1,Radio City Mutant Hall.,10
66,Fry,Cool!  Um. Cross Town Express?,10
67,Man #2,Pft! Tourist!,10
68,Fry,Hey! A phone booth! I can call my nephew.  Wow! A real live robot! Or is that some kind of cheesy New Year's costume?,10
69,Bender,Bite my shiny metal ass.,10
70,Fry,It doesn't look so shiny to me.,10
71,Bender,"Shinier than yours, meatbag!",10
72,Bender,"Listen, buddy, I'm in a hurry here. Let's try for a two-fer!",10
73,Booth Voice,Please select mode of death,10
74,Fry,"Yeah, I'd like to place a collect call.",10
75,Booth Voice,You have selected,10
76,Bender,"Great choice!  Bring it on, baby!",10
77,Bender,"C'mon, c'mon! Kill me already! By the way, my name's Bender!",10
78,Fry,Help! What's happening?,10
79,Booth Voice,"You are now dead. Thank you for using Stop-N-Drop, America's favourite suicide booth since 2008.",10
80,Bender,"Lousy, stinking rip-off!  Well, I didn't have anything else planned for today. Let's go get drunk!",10
81,Leela,"Two, three-- Hey!",11
82,Terry,Welcome to the world of tomorrow!,11
83,Leela,"Shut up, Terry.",11
84,Ipgee,"This is unacceptable, Leela. You must find this Mr. Fry and install his chip.",12
85,Leela,"Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him.",12
86,Ipgee,"Well that's your job, whether you like it or not. And it's my job to make you do your job whether I like it or not, which I do, very much! Now get to work!  Life is good!",12
87,Fry,Why would a robot need to drink?,13
88,Bender,"I don't need to drink, I can quit anytime I want!  So they made you a delivery boy, huh? Man, that's as bad as my job.",13
89,Fry,"Really? What do you do, Bender?",13
90,Bender,"I'm a bender. I bend girders, that's all I'm programmed to do.",13
91,Fry,You any good at it?,13
92,Bender,You kidding? I was a star! I could bend a girder to any angle,13
93,Fry,What?,13
94,Bender,"Suicide booths!  Well, Fry, it was a pleasure meeting you. I'm gonna go kill myself.",13
95,Fry,Wait! You're the only friend I have!,13
96,Bender,You really want a robot for a friend?,13
97,Fry,"Yeah, ever since I was six.",13
98,Bender,"Well, OK. But I don't want people thinking we're robo-sexuals. So, if anyone asks, you're my debugger.",13
99,Fry,"Oh, no, it's the Cyclops!  Don't look! Don't look!",13
100,Bender,I'm not looking!,13
101,Leela,This is officer 1B-DI requesting back-up.,13
102,Smitty,We'll be there in five minutes.,13
103,Bender,We can hide in here. It's free on Tuesdays!,14
104,Nimoy,Welcome to the Head Museum. I'm Leonard Nimoy.,14
105,Fry,Spock? Hey! Hey... Do the thing!,14
106,Nimoy,I don't do that anymore.,14
107,Fry,This is unbelievable! What do you heads do all day?,14
108,Nimoy,We share our wisdom with those who seek it. It's a life of quiet dignity.,14
109,Woman,Feeding time!,14
110,Leela,"Hmm.  I'm sorry, Fry, but I have to install your career chip.",14
111,Fry,"Yeah, well, if you're sorry why are you doing it?",14
112,Leela,It's my job. You gotta do what you gotta do!  Watch it!,14
113,Nixon,That's it! You just made my list!,14
114,Fry,"Ow! Stop it! Down, boy! Bad president!",14
115,Smitty,"Alright, buddy, step away from the head!",14
116,URL,I'm gonna get 24th century on his ass!,14
117,Leela,"Please, officers, there's no need to use force.",14
118,URL,"Let us handle this, weird-y.",14
119,Leela,"Oh, come on, he's just a poor kid from the Stupid Ages.",14
120,Smitty,"Keep your big nose out of this, eyeball!",14
121,Leela,No-one makes fun of my nose.,14
122,URL,Damn!,14
123,Leela,You guys were totally out of control.,14
124,Smitty,It's our job. We're peace officers.,14
125,URL,"Yeah, you know the law",14
126,Bender,"Oh, we're trapped!",15
127,Fry,"Wait a second. You're a bender, right? We can get out of here if you just bend the bars.",15
128,Bender,"Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?",15
129,Fry,Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?,15
130,Bender,I'll have to check my program ... yep.,15
131,Leela,Open up!,15
132,Fry,"C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals ... and animal robots.",15
133,Bender,"You're full of crap, Fry!  You make a persuasive argument, Fry.",15
134,Fry,"Come on, Bender! You can do it.",15
135,Bender,Can't ... I ... can't ... do ... it!,15
136,Fry,Yes!,15
137,Bender,"You were right, Fry! From now on I'm going to bend what I want, when I want, who I want! I'm unstoppable!",15
138,Fry,I don't know how you did that.,15
139,Leela,Wait!,15
140,Bender,"No, thanks.",15
141,Bender,Looks like one of us will have to bend this grate.,15
142,[Scene,Ruins of Old New York. Fry and Bender step off the ladder and look over the vast ruins of the city that looks like the city from,16
143,Fry,Good Lord! What is this?,16
144,Bender,"It's the decaying ruins of Old New York. Welcome home, pal!",16
145,Fry,"It's my old neighbourhood. Man, this brings back a lot of memories.",16
146,Bender,"Keep 'em to yourself, Pops!",16
147,Fry,This is where I brought my girlfriend on our very first date.,16
148,Fry,My God! She's gone. Everyone I ever knew or cared about is gone.,16
149,Bender,Wait! There's someone you know!,16
150,Fry,"Oh, can't you leave me alone? I'm miserable enough already.",16
151,Leela,"Look, I know it's not much consolation but I understand how you feel.",16
152,Fry,"No, you don't. I've got no home, no family--",16
153,Bender,No friends.,16
154,Fry,My whole world is gone. You can't possibly understand what it feels like to be so alone.,16
155,Leela,I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.,16
156,Fry,"Look, Leela, I don't understand this world but you obviously do, so I give up. If you really think I should be a delivery boy, I'll do it.  Your chip. What are you doing?",16
157,Leela,Quitting.,16
158,Fry,Why?,16
159,Leela,Because I've always wanted to. I just never realised it before I met you.,16
160,Fry,What is the matter with you?,16
161,Bender,I just wanted to be part of the moment.,16
162,Leela,Hey! He stole my ring!,16
163,Bender,"Sorry.  Well, that solves the mystery of the missing ring. This calls for a drink.",16
164,Leela,I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.,16
165,Fry,Correction,16
166,Clark,"Hello, I'm Dick Clark's head. Welcome to a special year 3000 edition of New Year's Rockin' Eve!",17
167,Farnsworth,Who are you?,17
168,Fry,I'm your dear old Uncle Fry.,17
169,Farnsworth,I don't have an Uncle Fry.,17
170,Bender,You do now!,17
171,Farnsworth,"By God, I am your nephew! This is absolutely incredible!",18
172,Bender,Can we have some money?,18
173,Farnsworth,"Oh, my, no.",18
174,Farnsworth,Let me show you around. That's my lab table and this is my work-stool. And over there is my intergalactic spaceship!  And here's where I keep assorted lengths of wire.,19
175,Fry,Whoa! A real live spaceship!,19
176,Farnsworth,I designed it myself. Let me show you some of the different lengths of wire I used.,19
177,Smitty,"Attention, job deserters! Come out with your hands up. We have you partially surrounded.",19
178,Fry,No!,19
179,Nixon,Get those bums!,19
180,Bender,"Well, we're boned!",19
181,Leela,Can't we get away in the ship?,19
182,Farnsworth,I suppose it is technically possible. Though I am already in my pyjamas.,19
183,Fry,I'll get us out of here.,20
184,Farnsworth,Can anyone drive stick?,20
185,Leela,I can. As long as I don't have to parallel park.,20
186,URL,"If they try to take off, give 'em an ass-ful of laser.",20
187,Leela,Prepare for lift-off. Ten.,20
188,Crowd,Nine!,20
189,Crowd,Amania!,20
190,Crowd,Seven!,20
191,Aliens,Six.,20
192,Terry,Five!,20
193,Nimoy,Four.,20
194,Farnsworth,Three.,20
195,Bender,Two.,20
196,Leela,One!,20
197,Fry,Blast-off!,20
198,Nixon,Fire! Fire!,20
199,Smitty,I can't see nothing. Pretty though!,20
200,Fry,"So, I guess, without jobs, we'll be fugitives forever.",20
201,Farnsworth,"Not necessarily. Are you three, by any chance, interested in becoming my new spaceship crew?",20
202,Bender,New crew? W-What happened to the old crew?,20
203,Farnsworth,Of those poor sons of-- But that's not important. The important thing is I need a new crew. Anyone interested?,20
204,Fry,Yes! Yes! That's exactly the job I've always wanted!,20
205,Leela,"Thanks for the offer, Professor, but we don't have the proper career chips.",20
206,Farnsworth,"Oh, that won't be a problem. As luck would have it, I saved the chips from my previous crew.",20
207,Fry,This is awesome! Are we gonna fly through space fighting monsters and teaching alien women to lurve?,20
208,Farnsworth,"If by that you mean ""transporting cargo"" then yes. It's a little home business I started to fund my research.",20
209,Fry,Cool! What's my job gonna be?,20
210,Farnsworth,You will be responsible for ensuring that the cargo reaches its destination.,20
211,Fry,"So, I'm gonna be a delivery boy?",20
212,Farnsworth,Exactly!,20
213,Fry,Alright! I'm a delivery boy!,20
214,Farnsworth,"As new employees, I'd like your opinion on our commercial. I paid to have it air during the Super Bowl.",21
215,Fry,Wow!,21
216,Farnsworth,"Not on the same channel, of course.",21
217,Announcer,Interplanetary deliveries - what a headache!,21
218,Horrible Gelatinous Blob,Evans! Where's that package from Earth?,21
219,Man,I'm not Evans!,21
220,Horrible Gelatinous Blob,He should've used Planet Express!,21
221,Announcer,"When those other companies aren't brave or foolhardy enough to go, trust Planet Express for reliable, on time delivery.",21
222,Evans,"Here's your package, Mr. Horrible Gelatinous Blob.",21
223,Horrible Gelatinous Blob,"Good work, Evans! You've got a future around here.",21
224,Evans,"Thank you, sir!",21
225,Announcer,Planet Express,21
226,Fry,Are there really giant birds like that?,21
227,Farnsworth,"No, no! That was all just special effects! Now let's have breakfast. I hope everyone likes eggs.",21
228,Fry,I'm never going to get used to the 31st century.  Caffinated bacon? Baconated grapefruit? Admiral Crunch?,22
229,Leela,"Well, if you don't like that, try some Archduke Chocula.",22
230,Farnsworth,"Ah, Hermes! Crew, meet Hermes Conrad. He manages my delivery business, pays the bills, notifies next of kin, what have you.",22
231,Hermes,Someone come and dropped this package through the slot last night. Now which one of you is the captain?,22
232,Farnsworth,"Oh, my! I haven't picked a new captain yet. It's always so hard to choose.",22
233,Fry,"Ooh! Ooh, ooh, ooh!",22
234,Farnsworth,"Hmm, you!",22
235,Hermes,"OK, Captain, this is just a standard legal release protecting Planet Express from lawsuits in the event of the unforeseen.",23
236,Leela,Death by airlock failure.,23
237,Hermes,Mm.,23
238,Leela,Death by brain parasite.,23
239,Hermes,Yeah.,23
240,Leela,Death by sonic diarrhoea?,23
241,Hermes,"Oh, you don't want that!",23
242,Leela,"Look, I don't know about any of your previous captains but I intend to do as little dying as possible.",23
243,Hermes,Sign the paper!,23
244,Farnsworth,"Now, Fry, before you go into space you'll need to see our staff doctor. I should warn you though, he's a little ... unusual.  He wears sandals!",24
245,Fry,Hi--,24
246,Farnsworth,"Dr. Zoidberg, this is Fry, the new delivery boy. He needs a physical.",24
247,Zoidberg,"Excellent, excellent!",24
248,Farnsworth,You'll be fine.,24
249,Zoidberg,"Now open your mouth and let's have a look at that brain.  No, no, no, no, no, not that mouth!",24
250,Fry,I only have one.,24
251,Zoidberg,Really?,24
252,Fry,"Uh, is there a human doctor around?",24
253,Zoidberg,"Young lady, I'm an expert on humans. Now pick a mouth, open it and say...  What? My mother was a saint! Get out!",24
254,Farnsworth,"Dear Lord, Bender, you're filthy.",25
255,Bender,"Yeah, like you don't have crap in your neck!",25
256,Farnsworth,"Amy, why don't you give his body a going over with the cleaning pick?",25
257,Amy,OK. Does it hurt when I go like this?,25
258,Leela,Ow!,25
259,Bender,A little.,25
260,Fry,"Well, the doctor says I'm as healthy as a crab. Can I go into space now?",25
261,Farnsworth,"As soon as we finish cleaning Bender. Oh, and Fry, this is our intern, Amy Wong. She's an engineering student of mine.  I like having her around because she's the same blood type as me.",25
262,Amy,"Hey! You're the unfrozen guy! From the 20th century, right?",25
263,Fry,Last time I checked.,25
264,Leela,Hang on. Amy Wong? Of the Mars Wongs?,25
265,Amy,"Look, we're not as rich as everybody says.",25
266,Leela,Uh-huh! What sorority do you belong to?,25
267,Amy,Kappa Kappa Wong.,25
268,Bender,"Hey, rich girl. Look over here! It's me, Bender. I'm being entertaining.  Alright, show's over, I'm tired.",25
269,Farnsworth,"Ah, to be young again. And also a robot. Now, as I recall, you youngsters have a package to deliver.",25
270,Fry,"Finally! Come on, Bender. Let's mosey!",25
271,Bender,"Nice catch, idiot!",25
272,Fry,So where are we going anyway?,26
273,Leela,Nowhere special. The moon.,26
274,Fry,The moon? The moon moon? Wow! I'm gonna be a famous hero just like Neil Armstrong and those other brave guys no one ever heard of!,26
275,Amy,"Oh, I love stuff like the moon! Can I come, Leela?",26
276,Leela,Well ... I guess so. Just be careful. I'd like to hold off any major screw-ups until at least my second day as captain.,26
277,Farnsworth,"Nothing will go wrong.  If something goes wrong, bring back the blood.",26
278,Fry,Can I do the countdown?,27
279,Leela,"Huh? Oh, sure. Knock yourself out.",27
280,Fry,Ten ...  ... nine--,27
281,Leela,"OK, we're here!",27
282,Fry,Eightsevensixfivefourthreetwooneblastoff!,27
283,Fry,Hurry up! I wanna see the moon!,28
284,Leela,Relax. It's open till 9.,28
285,Fry,That's one small step for Fry--,28
286,Man,And one giant line for admission!,28
287,Fry,"Wow!  Um, can I have cuts?",28
288,Man,Hmm ... no!,28
289,Fry,You're not gonna believe this but they landed an amusement park on the moon!,28
290,Amy,Guh! It's the happiest place orbiting Earth.,28
291,Fry,"Let's go, already!",28
292,Leela,"Fry, we have a crate to deliver.",28
293,Fry,Let's just dump it in the sewer and say we delivered it.,28
294,Bender,Too much work. Let's burn it and say we dumped it in the sewer.,28
295,Leela,"OK, if everyone's finished being stupid--",28
296,Fry,I had more but you go ahead.,28
297,Leela,We'll deliver that crate like professionals and then we'll go home.,28
298,Fry,But I've never been to the moon before.,28
299,Leela,"Alright. We'll deliver that crate like professionals ... and then we'll go ride the bumper cars.  Amy, why don't you help Fry hoist down the crate. Then lock up when you're done. Just be careful.",28
300,Amy,"Aye, aye, Captain! I mean only one eye. I mean, yes, sir-- Um, ma'am!",28
301,Amy,Clear?,29
302,Fry,Clear!,29
303,Amy,Ready to hoist?,29
304,Fry,Ready!,29
305,Amy,Ow!,29
306,Fry,My first space delivery.,30
307,Fry,"Uh, greetings, Moon Man. We come in peace. I am Fry from the planet Earth.",30
308,Sal,"Wise guy, huh? If I wasn't so lazy I'd punch you in the stomach.",30
309,Fry,"But you are lazy, right?",30
310,Sal,"Oh, don't get me started.",30
311,Craterface,"Hi, I'm Craterface! Welcome to Luna Park. I'll have to confiscate your alcohol, sir.",31
312,Bender,Better mascots than you have tried.,31
313,Craterface,At least I still have my self respect!,31
314,Leela,Who buys this trash?,31
315,Bender,Idiots who need gifts for other idiots.,31
316,Fry,"Hey, I got you guys refrigerator magnets.",31
317,Bender,Get it off! Get it off! Get it-- Uh-oh!  Keep those things off of me! Magnets screw up my inhibition unit!,31
318,Fry,So you flip out and start acting like some crazy folk singer?,31
319,Bender,Yes. I guess a robot would have to be crazy to wanna be a folk singer.,31
320,[Scene,Luna Park,32
321,Whalerbots,"We're whalers on the moon,We carry a harpoon,But there ain't no whales,So we tell our tall tale,And sing our whaling tune!",32
322,Whalerbot,"Bender, hey, Bender! Over here!",32
323,Bender,"Oh, jeez! I went to high school with that guy!",32
324,Announcer,Monsanto presents,33
325,Gopher #1,Why does a moon rock taste better than an Earth rock?,33
326,Gopher #2,Because it's a little meteor!,33
327,Fry,This is weak!,33
328,Gopher #1,Address all complaints to the Monsanto corporation.,33
329,Leela,"What's wrong, Fry?",34
330,Fry,"I don't know. This place is great and all but its just so artificial. The gravity, the air, the gophers. You might as well stay on Earth.  That's what I came to see! I wanna go out there and jump around like an astronaut. Screw this phoney stuff!",34
331,Leela,But the phoney stuff is what's fun. It's boring out there.,34
332,Bender,Yeah! You're the kind of guy who visits Jerusalem and doesn't want to see the Sexeteria!,34
333,Leela,Maybe I should take Fry on the Luna Rover ride. You get to wear a space suit and drive around on the surface. And the line's short because it's educational.,34
334,Fry,I don't care how educational it is. Let's do it!,34
335,Bender,Next year in Jerusalem!,34
336,Fry,Finally! Get ready for some serious moon action.,35
337,Narrator,The story of lunar exploration started with one man. A man with a dream.,35
338,Ralph Kramden-bot,"One of these days, Alice. Bang! Zoom! Straight to the moon!",35
339,Leela,"Wow, I never realised the first astronauts were so fat!",35
340,Fry,"That's not an astronaut, it's a TV comedian. And he was just using space travel as a metaphor for beating his wife.",35
341,Amy,Wow! I could swear I was really playing virtual skeeball!  Hm?,36
342,Bender,"Look, it's that crate we were gonna throw in the sewer.",36
343,Amy,The keys to the ship!  They must have fallen into the crate! Leela's gonna kill me!,36
344,Bender,Nah. She'll probably make me do it.,36
345,Amy,Mister? Could you please get those keys out for me?,36
346,Sal,What do I look like? A guy who's not lazy?,36
347,Narrator,"No one knows where, when or how Man first landed on the moon.",37
348,Fry,I do.,37
349,Narrator,But our fun-gineers think it might have happened something like this,37
350,Whalerbots,"We're whalers on the moon,",37
351,Gophers,"We carry a harpoon,",37
352,Whalerbots,and   But there ain't no whales so we tell a tall tale...,37
353,Leela,And sing a whaling tune. We're whalers on the moon--,37
354,Fry,That's not how it happened.,37
355,Leela,"Oh, really? I don't see you with a fun-gineering degree!",37
356,Fry,This is stupid. I'm taking this thing out to the real moon.,37
357,Leela,"Fry, no. This is my first mission and I'm not gonna let us get in any trouble. Besides, the car's on a track.",37
358,Fry,Not for long!,37
359,Whalerbot,Ooh! Ah! I died doin' what I loved.,37
360,Leela,"OK, you're on the surface. Now I'll give you 10 minutes. Then you'll get bored, turn around and apologise for being such a jerk. Agreed?",37
361,Fry,Agreed.  Yeah! Crank up the radio!,37
362,Whalerbots,We're whalers on the--,37
363,Fry,Yee-haw!,37
364,Leela,Time's up. Make a U-turn at the next crater.,37
365,Fry,"No, not yet. How 'bout we go look for the original moon landing site?",37
366,Leela,That's crazy! It's been lost for centuries!,37
367,Fry,Well I'm feelin' lucky!  Uh ... I'm ready to go back now.,37
368,Fry,We're gonna die! It's every man for himself!  You did it! We're safe!,37
369,Leela,No. Now we're gonna die.,37
370,Fry,It's every man for himself.,37
371,Bender,"Hey, look what I won from a tourist's pocket!",38
372,Amy,Shut up. You're distracting me.,38
373,Bender,"Come on, it's just like making love. Y'know",38
374,Amy,I know how to make love!,38
375,Bender,"Here, let me do it.  Uh, that's the woman who programmed me for evil!",38
376,Bender,"Yeah, well, I'm gonna go build my own theme park, with blackjack and hookers. In fact, forget the park!",38
377,Fry,"I'm sorry, Leela, I can't go on any further. Just leave me to die in that barn over there.",39
378,Leela,Thank God!,39
379,Hydroponic Farmer,"Trespassers, eh?",39
380,Fry,"No, sir. We're amusement park patrons.",39
381,Farmer,"Ooh, that's a wicked sinful place. Tilt-a-whirl's OK, but the rest is mighty wicked.",39
382,Leela,Our car broke down and we're out of oxygen. Can we borrow some?,39
383,Farmer,"Huh, borry? Looky here, city girl, oxygen don't grow on trees. You'll have to earn it doing chores on my hydroponic farm. You can go back to your precious theme park at sun up.",39
384,Fry,I guess we could do chores for a few hours.,39
385,Leela,"Fry, night lasts two weeks on the moon.",39
386,Farmer,Yup. Drops down to -173!,39
387,Fry,Fahrenheit or Celsius?,39
388,Farmer,"First one, then th'other. And them spacesuits ain't a-heated so you ain't goin' nowhere till sunrise. You can sleep in the barn. Just don't be a-touchin' my three beautiful robot daughters. Y'hear?",39
389,Fry,Robot daughters?,39
390,Farmer,This here is Lulabelle 7.,39
391,Lulabelle 7,Yoo-hoo!,39
392,Farmer,Daisy-Mae 128K.,39
393,Daisy-Mae 128K,Yoo-hoo!,39
394,Farmer,And the Crushinator.,39
395,Crushinator,Yoo-hoo.,39
396,Fry,Whoa!,39
397,Leela,"I told you to turn around and go back to the park. But oh, no, the park was too phoney. We had to see the real moon.",40
398,Fry,And it was great! We got to see craters and rocks and that one incredible rock that looked like a crater and ... and these fellas.,40
399,Leela,"Fry, face it",40
400,Fry,I guess I can't.,40
401,Farmer,I'll learn ye to sleep with my robot daughters!,40
402,Bender,He'll never find me in here.,40
403,Leela,Bender?,40
404,Fry,"Oh, Bender. You didn't touch the Crushinator, did you?",40
405,Bender,Of course not. A lady that fine you gotta romance first.,40
406,Farmer,"Oh, no you don't! C'mere, Crushinator.",40
407,Crushinator,"Yes, Pa.",40
408,Fry,It's too low.,40
409,Leela,Hang on. Hang on. Jump!  Hold on to your helmet!,40
410,Farmer,"God darn it, Crushinator, jump!",40
411,Crushinator,"No, Pa. I love him.",40
412,Fry,"Hey, cool! Dark side of the moon!",40
413,Leela,"Nightfall's coming.  Hurry, before we freeze.",40
414,Bender,"What do you mean ""we"", mammal?",40
415,Farnsworth,"Oh, dear! I really ought to do something. But I am already in my pyjamas.",40
416,Leela,We can't outrun it forever.,40
417,Fry,Over there! Look! It's the moon landing site! We found it!,40
418,Leela,"Quick, get in.",40
419,Fry,"It's that flag from MTV! And Neil Armstrong's footprint!  Hey! My foot's bigger! Leela, isn't this the greatest thing you've ever seen?",40
420,Leela,"Fry, look around. It's just a crummy plastic flag and a dead man's tracks in the dust.  Now get in here before you freeze.",40
421,Bender,"Oh, no room for Bender, huh? Fine! I'll go build my own lunar lander, with blackjack and hookers. In fact, forget the lunar lander and the blackjack. Ah, screw the whole thing.",40
422,Leela,Well if the oxygen holds out we might live long enough to starve to death.,41
423,Fry,"Look, Leela, I'm sorry. I never should have dragged you out here.",41
424,Leela,"That's right, you shouldn't have. I still don't get what the big attraction is.",41
425,Fry,I never told anybody this but a thousand years ago I used to look up at the moon and dream about being an astronaut. I just didn't have the grades. Nor the physical endurance. Plus I threw up a lot and nobody liked spending a week with me.,41
426,Leela,A week would be a little much.,41
427,Fry,"The moon was like this awesome, romantic, mysterious thing, hanging up there in the sky where you could never reach it, no matter how much you wanted to.  But you're right. Once you're actually here it's just a big dull rock. I guess I just wanted you to see it through my eyes, the way I used to.",41
428,Leela,"Fry, look. . It really is beautiful. I don't know why I never noticed before.",41
429,Farmer,"Had to come back for the Crushinator, eh, robot? Well I got you this time.",41
430,Fry,It's Amy! We're saved!,41
431,Leela,Amy? Where'd she learn to operate the controls like that?,41
432,Bender,Not the magnet! No! No! No--  Uh-oh!,41
433,Bender,"She'll be comin' round the mountain,She'll be comin' round the mountain,She'll be comin'--",41
434,Farmer,"Aw, dang it!",41
435,Bender,She'll be riding six white horses...,41
436,Leela,"So, Fry, was the real moon anything like the moon you used to dream about?",41
437,Fry,Well ... close enough!,41
438,Bender,One more time!,41
439,Bender,Hey!,42
440,Hermes,"Fry, mon, if you're going to be living in the office you could at least be on time for work.",42
441,Fry,I'm sorry. I was up really late poking through people's desks.,42
442,Hermes,"Alright, people. I will now outline today's 12-point agenda. We'll begin with point one, then race forward--",42
443,Hermes,Concerning our pest problem,42
444,Leela,What the hell are you doing? You're getting a huge dose of radiation!,42
445,Fry,And great lift!,42
446,Leela,Do you know how long it's going to take me to recalibrate these engines?,42
447,Fry,"Hey! When you look this good, you don't have to know anything.",42
448,Leela,"Professor, We need to talk to you about Fry.",43
449,Bender,"That's right, we want some money— Wait. What's this about Fry?",43
450,Leela,He's a nice guy but we think it's about time he got his own place.,43
451,Farnsworth,"Oh, fuff! He's not causing any trouble. Now, if you don't mind, I'm rather busy. I seem to have mislaid my alien mummy.  This sarcophagus should contain the remains of Emperor Nimballa, who ruled Zuban 5 over 29 million years ago.",43
452,Fry,"Hey, Professor, great jerky!",43
453,Farnsworth,"My God, this is an outrage! I was going to eat that mummy! Fry has got to go!",43
454,Announcer,"Bachelor Chow, now with flavour!",44
455,Commentator,And Bigfoot is down!,44
456,Fry,"Sheesh! 40,000 channels and only 150 have anything good on.",44
457,Announcer,All My Circuits is brought to you by Robo Fresh,44
458,Calculon,"I've been processing this for some time, Monique, and, well, will you marry me?",44
459,Monique,It fits! Then you must know that I'm--,44
460,Calculon,"Metric? I've always known. But for you, my darling, I'm willing to convert.",44
461,Fry,"Hmm, must be a friend of theirs.",44
462,Bender,"Fry, we've got to discuss your living arrangements.",44
463,Leela,We've all talked it over and--,44
464,Bender,"Hey, All My Circuits! Move over.",44
465,Leela,"Fry, sometimes in close quarters, people do inconsiderate things without realising it.",44
466,Fry,I know but I forgive you.,44
467,Leela,"No, Fry, by ""close quarters"" I mean this office--",44
468,Fry,Uh-huh.,44
469,Leela,"And by ""people"" I mean you!",44
470,Fry,Right.,44
471,Leela,"And by ""inconsiderate"" I mean--",44
472,Fry,Leela! We're trying to watch TV.,44
473,Bender,Yeah. Would you kindly shut your noise hole?,44
474,Fry,"So, who's that weird-looking guy?",44
475,Bender,That's a human.,44
476,Fry,What's he do?,44
477,Bender,"Eh, the usual human stuff. He laughs, he learns, he loves.",44
478,Fry,Boring!,44
479,Human Friend,Calculon? I thought you were in a coma.,44
480,Calculon,"That's what I wanted you to think with your soft, human brain.",44
481,Fry,"Hey, uh, why is the TV getting smaller?",44
482,Hermes,We'll bill you for the couch.,44
483,Bender,"Cheer up, meatbag. You've barely touched your amoeba.",45
