,Characters,Quotes
98,Bender,Well OK But I dont want people thinking were robosexuals So if anyone asks youre my debugger
99,Fry,Oh no its the Cyclops  Dont look Dont look
100,Bender,Im not looking
101,Leela,This is officer 1BDI requesting backup
102,Smitty,Well be there in five minutes
103,Bender,We can hide in here Its free on Tuesdays
104,Nimoy,Welcome to the Head Museum Im Leonard Nimoy
105,Fry,Spock Hey Hey Do the thing
106,Nimoy,I dont do that anymore
107,Fry,This is unbelievable What do you heads do all day
108,Nimoy,We share our wisdom with those who seek it Its a life of quiet dignity
109,Woman,Feeding time
110,Leela,Hmm  Im sorry Fry but I have to install your career chip
111,Fry,Yeah well if youre sorry why are you doing it
112,Leela,Its my job You gotta do what you gotta do  Watch it
113,Nixon,Thats it You just made my list
114,Fry,Ow Stop it Down boy Bad president
115,Smitty,Alright buddy step away from the head
116,URL,Im gonna get 24th century on his ass
117,Leela,Please officers theres no need to use force
118,URL,Let us handle this weirdy
119,Leela,Oh come on hes just a poor kid from the Stupid Ages
120,Smitty,Keep your big nose out of this eyeball
121,Leela,Noone makes fun of my nose
122,URL,Damn
123,Leela,You guys were totally out of control
124,Smitty,Its our job Were peace officers
125,URL,Yeah you know the law
126,Bender,Oh were trapped
127,Fry,Wait a second Youre a bender right We can get out of here if you just bend the bars
128,Bender,Dream on skin tube Im only programmed to bend for constructive purposes What do I look like a debender
129,Fry,Who cares what youre programmed for If someone programmed you to jump off a bridge would you do it
130,Bender,Ill have to check my program  yep
131,Leela,Open up
132,Fry,Cmon Bender Its up to you to make your own decisions in life Thats what separates people and robots from animals  and animal robots
133,Bender,Youre full of crap Fry  You make a persuasive argument Fry
134,Fry,Come on Bender You can do it
135,Bender,Cant  I  cant  do  it
136,Fry,Yes
137,Bender,You were right Fry From now on Im going to bend what I want when I want who I want Im unstoppable
138,Fry,I dont know how you did that
139,Leela,Wait
140,Bender,No thanks
141,Bender,Looks like one of us will have to bend this grate
142,Fry,Good Lord What is this
143,Bender,Its the decaying ruins of Old New York Welcome home pal
144,Fry,Its my old neighbourhood Man this brings back a lot of memories
145,Bender,Keep em to yourself Pops
146,Fry,This is where I brought my girlfriend on our very first date
147,Fry,My God Shes gone Everyone I ever knew or cared about is gone
148,Bender,Wait Theres someone you know
149,Fry,Oh cant you leave me alone Im miserable enough already
150,Leela,Look I know its not much consolation but I understand how you feel
151,Fry,No you dont Ive got no home no family
152,Bender,No friends
153,Fry,My whole world is gone You cant possibly understand what it feels like to be so alone
154,Leela,I understand Im the only oneeyed alien on this whole planet My parents abandoned me here as a baby and I dont even know what galaxy they were from I know how it feels to be alone
155,Fry,Look Leela I dont understand this world but you obviously do so I give up If you really think I should be a delivery boy Ill do it  Your chip What are you doing
156,Leela,Quitting
157,Fry,Why
158,Leela,Because Ive always wanted to I just never realised it before I met you
159,Fry,What is the matter with you
160,Bender,I just wanted to be part of the moment
161,Leela,Hey He stole my ring
162,Bender,Sorry  Well that solves the mystery of the missing ring This calls for a drink
163,Leela,I dont wanna spoil the party but were all job deserters now Were unemployed and we have nowhere to go
164,Fry,Correction
165,Clark,Hello Im Dick Clarks head Welcome to a special year 3000 edition of New Years Rockin Eve
166,Farnsworth,Who are you
167,Fry,Im your dear old Uncle Fry
168,Farnsworth,I dont have an Uncle Fry
169,Bender,You do now
170,Farnsworth,By God I am your nephew This is absolutely incredible
171,Bender,Can we have some money
172,Farnsworth,Oh my no
173,Farnsworth,Let me show you around Thats my lab table and this is my workstool And over there is my intergalactic spaceship  And heres where I keep assorted lengths of wire
174,Fry,Whoa A real live spaceship
175,Farnsworth,I designed it myself Let me show you some of the different lengths of wire I used
176,Smitty,Attention job deserters Come out with your hands up We have you partially surrounded
177,Fry,No
178,Nixon,Get those bums
179,Bender,Well were boned
180,Leela,Cant we get away in the ship
181,Farnsworth,I suppose it is technically possible Though I am already in my pyjamas
182,Fry,Ill get us out of here
183,Farnsworth,Can anyone drive stick
184,Leela,I can As long as I dont have to parallel park
185,URL,If they try to take off give em an assful of laser
186,Leela,Prepare for liftoff Ten
187,Crowd,Nine
188,Crowd,Amania
189,Crowd,Seven
190,Aliens,Six
191,Terry,Five
192,Nimoy,Four
193,Farnsworth,Three
194,Bender,Two
195,Leela,One
196,Fry,Blastoff
197,Nixon,Fire Fire
198,Smitty,I cant see nothing Pretty though
199,Fry,So I guess without jobs well be fugitives forever
200,Farnsworth,Not necessarily Are you three by any chance interested in becoming my new spaceship crew
201,Bender,New crew WWhat happened to the old crew
202,Farnsworth,Of those poor sons of But thats not important The important thing is I need a new crew Anyone interested
203,Fry,Yes Yes Thats exactly the job Ive always wanted
204,Leela,Thanks for the offer Professor but we dont have the proper career chips
205,Farnsworth,Oh that wont be a problem As luck would have it I saved the chips from my previous crew
206,Fry,This is awesome Are we gonna fly through space fighting monsters and teaching alien women to lurve
207,Farnsworth,If by that you mean transporting cargo then yes Its a little home business I started to fund my research
208,Fry,Cool Whats my job gonna be
209,Farnsworth,You will be responsible for ensuring that the cargo reaches its destination
210,Fry,So Im gonna be a delivery boy
211,Farnsworth,Exactly
212,Fry,Alright Im a delivery boy
213,Farnsworth,As new employees Id like your opinion on our commercial I paid to have it air during the Super Bowl
214,Fry,Wow
215,Farnsworth,Not on the same channel of course
216,Announcer,Interplanetary deliveries  what a headache
217,Horrible Gelatinous Blob,Evans Wheres that package from Earth
218,Man,Im not Evans
219,Horrible Gelatinous Blob,He shouldve used Planet Express
220,Announcer,When those other companies arent brave or foolhardy enough to go trust Planet Express for reliable on time delivery
221,Evans,Heres your package Mr Horrible Gelatinous Blob
222,Horrible Gelatinous Blob,Good work Evans Youve got a future around here
223,Evans,Thank you sir
224,Announcer,Planet Express
225,Fry,Are there really giant birds like that
226,Farnsworth,No no That was all just special effects Now lets have breakfast I hope everyone likes eggs
227,Fry,Im never going to get used to the 31st century  Caffinated bacon Baconated grapefruit Admiral Crunch
228,Leela,Well if you dont like that try some Archduke Chocula
229,Farnsworth,Ah Hermes Crew meet Hermes Conrad He manages my delivery business pays the bills notifies next of kin what have you
230,Hermes,Someone come and dropped this package through the slot last night Now which one of you is the captain
231,Farnsworth,Oh my I havent picked a new captain yet Its always so hard to choose
232,Fry,Ooh Ooh ooh ooh
233,Farnsworth,Hmm you
234,Hermes,OK Captain this is just a standard legal release protecting Planet Express from lawsuits in the event of the unforeseen
235,Leela,Death by airlock failure
236,Hermes,Mm
237,Leela,Death by brain parasite
238,Hermes,Yeah
239,Leela,Death by sonic diarrhoea
240,Hermes,Oh you dont want that
241,Leela,Look I dont know about any of your previous captains but I intend to do as little dying as possible
242,Hermes,Sign the paper
243,Farnsworth,Now Fry before you go into space youll need to see our staff doctor I should warn you though hes a little  unusual  He wears sandals
244,Fry,Hi
245,Farnsworth,Dr Zoidberg this is Fry the new delivery boy He needs a physical
246,Zoidberg,Excellent excellent
247,Farnsworth,Youll be fine
248,Zoidberg,Now open your mouth and lets have a look at that brain  No no no no no not that mouth
249,Fry,I only have one
250,Zoidberg,Really
251,Fry,Uh is there a human doctor around
252,Zoidberg,Young lady Im an expert on humans Now pick a mouth open it and say  What My mother was a saint Get out
253,Farnsworth,Dear Lord Bender youre filthy
254,Bender,Yeah like you dont have crap in your neck
255,Farnsworth,Amy why dont you give his body a going over with the cleaning pick
256,Amy,OK Does it hurt when I go like this
257,Leela,Ow
258,Bender,A little
259,Fry,Well the doctor says Im as healthy as a crab Can I go into space now
260,Farnsworth,As soon as we finish cleaning Bender Oh and Fry this is our intern Amy Wong Shes an engineering student of mine  I like having her around because shes the same blood type as me
261,Amy,Hey Youre the unfrozen guy From the 20th century right
262,Fry,Last time I checked
263,Leela,Hang on Amy Wong Of the Mars Wongs
264,Amy,Look were not as rich as everybody says
265,Leela,Uhhuh What sorority do you belong to
266,Amy,Kappa Kappa Wong
267,Bender,Hey rich girl Look over here Its me Bender Im being entertaining  Alright shows over Im tired
268,Farnsworth,Ah to be young again And also a robot Now as I recall you youngsters have a package to deliver
269,Fry,Finally Come on Bender Lets mosey
270,Bender,Nice catch idiot
271,Fry,So where are we going anyway
272,Leela,Nowhere special The moon
273,Fry,The moon The moon moon Wow Im gonna be a famous hero just like Neil Armstrong and those other brave guys no one ever heard of
274,Amy,Oh I love stuff like the moon Can I come Leela
275,Leela,Well  I guess so Just be careful Id like to hold off any major screwups until at least my second day as captain
276,Farnsworth,Nothing will go wrong  If something goes wrong bring back the blood
277,Fry,Can I do the countdown
278,Leela,Huh Oh sure Knock yourself out
279,Fry,Ten    nine
280,Leela,OK were here
281,Fry,Eightsevensixfivefourthreetwooneblastoff
282,Fry,Hurry up I wanna see the moon
283,Leela,Relax Its open till 9
284,Fry,Thats one small step for Fry
285,Man,And one giant line for admission
286,Fry,Wow  Um can I have cuts
287,Man,Hmm  no
288,Fry,Youre not gonna believe this but they landed an amusement park on the moon
289,Amy,Guh Its the happiest place orbiting Earth
290,Fry,Lets go already
291,Leela,Fry we have a crate to deliver
292,Fry,Lets just dump it in the sewer and say we delivered it
293,Bender,Too much work Lets burn it and say we dumped it in the sewer
294,Leela,OK if everyones finished being stupid
295,Fry,I had more but you go ahead
296,Leela,Well deliver that crate like professionals and then well go home
297,Fry,But Ive never been to the moon before
298,Leela,Alright Well deliver that crate like professionals  and then well go ride the bumper cars  Amy why dont you help Fry hoist down the crate Then lock up when youre done Just be careful
299,Amy,Aye aye Captain I mean only one eye I mean yes sir Um maam
300,Amy,Clear
301,Fry,Clear
302,Amy,Ready to hoist
303,Fry,Ready
304,Amy,Ow
305,Fry,My first space delivery
306,Fry,Uh greetings Moon Man We come in peace I am Fry from the planet Earth
307,Sal,Wise guy huh If I wasnt so lazy Id punch you in the stomach
308,Fry,But you are lazy right
309,Sal,Oh dont get me started
310,Craterface,Hi Im Craterface Welcome to Luna Park Ill have to confiscate your alcohol sir
311,Bender,Better mascots than you have tried
312,Craterface,At least I still have my self respect
313,Leela,Who buys this trash
314,Bender,Idiots who need gifts for other idiots
315,Fry,Hey I got you guys refrigerator magnets
316,Bender,Get it off Get it off Get it Uhoh  Keep those things off of me Magnets screw up my inhibition unit
317,Fry,So you flip out and start acting like some crazy folk singer
318,Bender,Yes I guess a robot would have to be crazy to wanna be a folk singer
319,Whalerbots,"Were whalers on the moon
We carry a harpoon
But there aint no whales
So we tell our tall tale
And sing our whaling tune"
320,Whalerbot,Bender hey Bender Over here
321,Bender,Oh jeez I went to high school with that guy
322,Announcer,Monsanto presents
323,Gopher #1,Why does a moon rock taste better than an Earth rock
324,Gopher #2,Because its a little meteor
325,Fry,This is weak
326,Gopher #1,Address all complaints to the Monsanto corporation
327,Leela,Whats wrong Fry
328,Fry,I dont know This place is great and all but its just so artificial The gravity the air the gophers You might as well stay on Earth  Thats what I came to see I wanna go out there and jump around like an astronaut Screw this phoney stuff
329,Leela,But the phoney stuff is whats fun Its boring out there
330,Bender,Yeah Youre the kind of guy who visits Jerusalem and doesnt want to see the Sexeteria
331,Leela,Maybe I should take Fry on the Luna Rover ride You get to wear a space suit and drive around on the surface And the lines short because its educational
332,Fry,I dont care how educational it is Lets do it
333,Bender,Next year in Jerusalem
334,Fry,Finally Get ready for some serious moon action
335,Narrator,The story of lunar exploration started with one man A man with a dream
336,Ralph Kramden-bot,One of these days Alice Bang Zoom Straight to the moon
337,Leela,Wow I never realised the first astronauts were so fat
338,Fry,Thats not an astronaut its a TV comedian And he was just using space travel as a metaphor for beating his wife
339,Amy,Wow I could swear I was really playing virtual skeeball  Hm
340,Bender,Look its that crate we were gonna throw in the sewer
341,Amy,The keys to the ship  They must have fallen into the crate Leelas gonna kill me
342,Bender,Nah Shell probably make me do it
343,Amy,Mister Could you please get those keys out for me
344,Sal,What do I look like A guy whos not lazy
345,Narrator,No one knows where when or how Man first landed on the moon
346,Fry,I do
347,Narrator,But our fungineers think it might have happened something like this
348,Whalerbots,Were whalers on the moon
349,Gophers,We carry a harpoon
350,Whalerbots,and   But there aint no whales so we tell a tall tale
351,Leela,And sing a whaling tune Were whalers on the moon
352,Fry,Thats not how it happened
353,Leela,Oh really I dont see you with a fungineering degree
354,Fry,This is stupid Im taking this thing out to the real moon
355,Leela,Fry no This is my first mission and Im not gonna let us get in any trouble Besides the cars on a track
356,Fry,Not for long
357,Whalerbot,Ooh Ah I died doin what I loved
358,Leela,OK youre on the surface Now Ill give you 10 minutes Then youll get bored turn around and apologise for being such a jerk Agreed
359,Fry,Agreed  Yeah Crank up the radio
360,Whalerbots,Were whalers on the
361,Fry,Yeehaw
362,Leela,Times up Make a Uturn at the next crater
363,Fry,No not yet How bout we go look for the original moon landing site
364,Leela,Thats crazy Its been lost for centuries
365,Fry,Well Im feelin lucky  Uh  Im ready to go back now
366,Fry,Were gonna die Its every man for himself  You did it Were safe
367,Leela,No Now were gonna die
368,Fry,Its every man for himself
369,Bender,Hey look what I won from a tourists pocket
370,Amy,Shut up Youre distracting me
371,Bender,Come on its just like making love Yknow
372,Amy,I know how to make love
373,Bender,Here let me do it  Uh thats the woman who programmed me for evil
374,Bender,Yeah well Im gonna go build my own theme park with blackjack and hookers In fact forget the park
375,Fry,Im sorry Leela I cant go on any further Just leave me to die in that barn over there
376,Leela,Thank God
377,Hydroponic Farmer,Trespassers eh
378,Fry,No sir Were amusement park patrons
379,Farmer,Ooh thats a wicked sinful place Tiltawhirls OK but the rest is mighty wicked
380,Leela,Our car broke down and were out of oxygen Can we borrow some
381,Farmer,Huh borry Looky here city girl oxygen dont grow on trees Youll have to earn it doing chores on my hydroponic farm You can go back to your precious theme park at sun up
382,Fry,I guess we could do chores for a few hours
383,Leela,Fry night lasts two weeks on the moon
384,Farmer,Yup Drops down to 173
385,Fry,Fahrenheit or Celsius
386,Farmer,First one then thother And them spacesuits aint aheated so you aint goin nowhere till sunrise You can sleep in the barn Just dont be atouchin my three beautiful robot daughters Yhear
387,Fry,Robot daughters
388,Farmer,This here is Lulabelle 7
389,Lulabelle 7,Yoohoo
390,Farmer,DaisyMae 128K
391,Daisy-Mae 128K,Yoohoo
392,Farmer,And the Crushinator
393,Crushinator,Yoohoo
394,Fry,Whoa
395,Leela,I told you to turn around and go back to the park But oh no the park was too phoney We had to see the real moon
396,Fry,And it was great We got to see craters and rocks and that one incredible rock that looked like a crater and  and these fellas
397,Leela,Fry face it
398,Fry,I guess I cant
399,Farmer,Ill learn ye to sleep with my robot daughters
400,Bender,Hell never find me in here
401,Leela,Bender
402,Fry,Oh Bender You didnt touch the Crushinator did you
403,Bender,Of course not A lady that fine you gotta romance first
404,Farmer,Oh no you dont Cmere Crushinator
405,Crushinator,Yes Pa
406,Fry,Its too low
407,Leela,Hang on Hang on Jump  Hold on to your helmet
408,Farmer,God darn it Crushinator jump
409,Crushinator,No Pa I love him
410,Fry,Hey cool Dark side of the moon
411,Leela,Nightfalls coming  Hurry before we freeze
412,Bender,What do you mean we mammal
413,Farnsworth,Oh dear I really ought to do something But I am already in my pyjamas
414,Leela,We cant outrun it forever
415,Fry,Over there Look Its the moon landing site We found it
416,Leela,Quick get in
417,Fry,Its that flag from MTV And Neil Armstrongs footprint  Hey My foots bigger Leela isnt this the greatest thing youve ever seen
418,Leela,Fry look around Its just a crummy plastic flag and a dead mans tracks in the dust  Now get in here before you freeze
419,Bender,Oh no room for Bender huh Fine Ill go build my own lunar lander with blackjack and hookers In fact forget the lunar lander and the blackjack Ah screw the whole thing
420,Leela,Well if the oxygen holds out we might live long enough to starve to death
421,Fry,Look Leela Im sorry I never should have dragged you out here
422,Leela,Thats right you shouldnt have I still dont get what the big attraction is
423,Fry,I never told anybody this but a thousand years ago I used to look up at the moon and dream about being an astronaut I just didnt have the grades Nor the physical endurance Plus I threw up a lot and nobody liked spending a week with me
424,Leela,A week would be a little much
425,Fry,The moon was like this awesome romantic mysterious thing hanging up there in the sky where you could never reach it no matter how much you wanted to  But youre right Once youre actually here its just a big dull rock I guess I just wanted you to see it through my eyes the way I used to
426,Leela,Fry look  It really is beautiful I dont know why I never noticed before
427,Farmer,Had to come back for the Crushinator eh robot Well I got you this time
428,Fry,Its Amy Were saved
429,Leela,Amy Whered she learn to operate the controls like that
430,Bender,Not the magnet No No No  Uhoh
431,Bender,"Shell be comin round the mountain
Shell be comin round the mountain
Shell be comin"
432,Farmer,Aw dang it
433,Bender,Shell be riding six white horses
434,Leela,So Fry was the real moon anything like the moon you used to dream about
435,Fry,Well  close enough
436,Bender,One more time
437,Bender,Hey
438,Hermes,Fry mon if youre going to be living in the office you could at least be on time for work
439,Fry,Im sorry I was up really late poking through peoples desks
440,Hermes,Alright people I will now outline todays 12point agenda Well begin with point one then race forward
441,Hermes,Concerning our pest problem
442,Leela,What the hell are you doing Youre getting a huge dose of radiation
443,Fry,And great lift
444,Leela,Do you know how long its going to take me to recalibrate these engines
445,Fry,Hey When you look this good you dont have to know anything
446,Leela,Professor We need to talk to you about Fry
447,Bender,Thats right we want some money Wait Whats this about Fry
448,Leela,Hes a nice guy but we think its about time he got his own place
449,Farnsworth,Oh fuff Hes not causing any trouble Now if you dont mind Im rather busy I seem to have mislaid my alien mummy  This sarcophagus should contain the remains of Emperor Nimballa who ruled Zuban 5 over 29 million years ago
450,Fry,Hey Professor great jerky
451,Farnsworth,My God this is an outrage I was going to eat that mummy Fry has got to go
452,Announcer,Bachelor Chow now with flavour
453,Commentator,And Bigfoot is down
454,Fry,Sheesh 40000 channels and only 150 have anything good on
455,Announcer,All My Circuits is brought to you by Robo Fresh
456,Calculon,Ive been processing this for some time Monique and well will you marry me
457,Monique,It fits Then you must know that Im
458,Calculon,Metric Ive always known But for you my darling Im willing to convert
459,Fry,Hmm must be a friend of theirs
460,Bender,Fry weve got to discuss your living arrangements
461,Leela,Weve all talked it over and
462,Bender,Hey All My Circuits Move over
463,Leela,Fry sometimes in close quarters people do inconsiderate things without realising it
464,Fry,I know but I forgive you
465,Leela,No Fry by close quarters I mean this office
466,Fry,Uhhuh
467,Leela,And by people I mean you
468,Fry,Right
469,Leela,And by inconsiderate I mean
470,Fry,Leela Were trying to watch TV
471,Bender,Yeah Would you kindly shut your noise hole
472,Fry,So whos that weirdlooking guy
473,Bender,Thats a human
474,Fry,Whats he do
475,Bender,Eh the usual human stuff He laughs he learns he loves
476,Fry,Boring
477,Human Friend,Calculon I thought you were in a coma
478,Calculon,Thats what I wanted you to think with your soft human brain
479,Fry,Hey uh why is the TV getting smaller
480,Hermes,Well bill you for the couch
481,Bender,Cheer up meatbag Youve barely touched your amoeba
482,Fry,It looked good but I just dont feel like eating You want it
483,Bender,Nah Im trying to watch my input I need plenty of wholesome nutritious alcohol  The chemical energy keeps my fuel cells charged
484,Fry,What are the cigars for
485,Bender,They make me look cool
486,Fry,I cant believe they threw me out like that I must have been really acting like a jerk
487,Bender,Yeah but everybodys a jerk You me this jerk  Thats my philosophy So where you gonna stay
488,Fry,I dont know Do refrigerators still come in cardboard boxes
489,Bender,Yeah but the rents are outrageous Why dont you just come move in with me
490,Fry,Really Thatd be great You sure I wont be imposing
491,Bender,Nah Ive always wanted a pet
492,Bender,Here we are Your new home
493,Fry,Cool Yknow Ive never even seen a robots apartment before
494,Bender,Come on in Ill give you the tour
495,Bender,Lets see where to start OK this is the TV area that over theres the breakfast nook and over here is where youll be living which is great because until now its just been wasted space
496,Fry,Its kinda cramped in here I dont even have room to hang my clothes
497,Bender,Look pal youve only got one set of clothes and youre not taking them off while Im here Well Im bushed Gnight
498,Fry,Wait Bender Bender
499,Bender,Kill all humans  kill all humans  must kill all the humans
500,Fry,Bender wake up
501,Bender,I was having the most wonderful dream I think you were in it
502,Fry,Uh listen Bender Uh wheres your bathroom
503,Bender,Bath what
504,Fry,Bathroom
505,Bender,What room
506,Fry,Bathroom
507,Bender,What what
508,Fry,Ah never mind
509,Bender,Hey sexy mama wanna kill all the humans
510,Leela,We sure are cheerful this morning
511,Bender,Yeah this past week with Frys been a blast Yknow beneath this warm sunny exterior beats the cold mechanical heart of a robot
512,Leela,What happened to you
513,Fry,Oh its Benders apartment He put in carpeting yesterday so now my head hits the ceiling Hey do you realise youre standing at a weird angle  Now youre OK
514,Leela,Look at yourself Youre a wreck Youve got to find a new place to live
515,Fry,Is that an invitation
516,Leela,Love your optimism Fry But seriously youve got to tell Bender youre moving out
517,Fry,Yeah but he might get kind of upset I dont think I can do that to him
518,Bender,Hey theres my little space heater
519,Fry,Well Im moving out
520,Bender,What
521,Fry,Im sorry Bender but theres just not enough room
522,Bender,Not enough room My place is two cubic metres and we only take up 15 cubic metres Weve got room for awholenother twothirds of a person
523,Leela,What if I just helped the two of you find a bigger apartment
524,Bender,I dont know Ive got a lot of great memories in my old place  And now theyre gone
525,Underwater house salesman,Sure it aint one of them ladeda aboveground places But if you like dank hey forget about it
526,Leela,At least its got a great view
527,Bender,What the
528,Underwater House Salesman,Excuse me I gotta go change a lightbulb
529,Leela,Wow Now this is fantastic
530,Fry,Hmm Im not sure we want to pay for a dimension were not going to use
531,Fry,Well I give up Whats the catch
532,Suspiciously fantastic apartment salesman,Oh no catch Although we are technically in New Jersey
533,Fry,Not one place even remotely liveable
534,Farnsworth,Oh how awful Did he at least die painlessly To shreds you say Well how is his wife holding up To shreds you say Very well then  Sad sad terrible gruesome news about my colleague Dr Mbutu
535,Leela,Was his apartment rentcontrolled
536,Leela,Wow This is beautiful
537,Bender,Whats with all the crap
538,Leela,Its not crap
539,Hattie,Dr Mbutu collected this crap while he was exploring the watchacallit  universe
540,Fry,Well this place has everything except the only thing I care about
541,Hattie,Its got a TV you young watchacallit  idiot
542,Fry,Ooh
543,Bender,Whoa slow down This place just doesnt feel like home It just isnt  cosy   Its perfect
544,Fry,Man its a total sty For the first time in a thousand years I feel like Im home
545,Bender,Yeah Its gonna be fun on the bun Yknow Fry of all the friends Ive had youre the first
546,Hermes,Hey mon
547,Leela,Happy housewarming Fry  Its a miniature fruit salad tree
548,Fry,Ooh  Hey Amy
549,Amy,Hey
550,Farnsworth,This is for you Fry  Zevulon the Great Hes teriyaki style
551,Bender,Wow Heavydrinking crowd  Id better go out for more beer
552,Fry,Hey hang on All My Circuits is about to start
553,Bender,I know but I need alcohol to power up my batteries If Calculons wedding doesnt go just right Ill be emotionally and electrically drained
554,Fry,Hey
555,Hermes,These are mighty tasty
556,Zoidberg,Thank you I made them myself
557,Fry,Sh The weddings about to start
558,Preacherbot,If anyone here objects to this union let them speak now or forever hold their
559,Fry,Is he objecting or backing up
560,Amy,Looks like both
561,Calculon,Im afraid my halfbrother is correct You see I have a terrible secret and that secret is
562,Amy,Oh this isnt right
563,Hermes,Oh come on
564,Farnsworth,Fix it
565,Bender,Hey what happened to the TV
566,Fry,It just went out
567,Bender,This is an outrage Im gonna go yell at the manager
568,Hermes,Alright
569,Fry,Come back Bender Its working
570,Calculon,To reiterate my terrible secret is
571,Fry,Its out again
572,Bender,What Thats the last straw
573,Fry,Its back on
574,Hattie,Pardon me I dont mean to pry into what youre doing in here with the crab and the oneeyed lady and the Chinese girl but everyone on this floor is having trouble with their TV reception
575,Bender,Yeah And youd better get rid of whatevers causing it or were outta this dump
576,Hattie,Relax sonny This kajiggerll find the source of the interference
577,Tenant #1,Whats going on
578,Tenant #2,We want our TV back
579,Hattie,Theres your problem
580,Amy,Oh my God Bender its your thingy
581,Randy,Then get rid of it
582,Tenant #1,Get out
583,Bender,You people are nuts My antenna never interfered with my old TV
584,Leela,You had cable This is satellite
585,Farnsworth,Obviously your thoughts are being transmitted on the same frequency
