,Quotes,Characters
328,I dont know This place is great and all but its just so artificial The gravity the air the gophers You might as well stay on Earth  Thats what I came to see I wanna go out there and jump around like an astronaut Screw this phoney stuff,Fry
329,But the phoney stuff is whats fun Its boring out there,Leela
330,Yeah Youre the kind of guy who visits Jerusalem and doesnt want to see the Sexeteria,Bender
331,Maybe I should take Fry on the Luna Rover ride You get to wear a space suit and drive around on the surface And the lines short because its educational,Leela
332,I dont care how educational it is Lets do it,Fry
334,Finally Get ready for some serious moon action,Fry
337,Wow I never realised the first astronauts were so fat,Leela
338,Thats not an astronaut its a TV comedian And he was just using space travel as a metaphor for beating his wife,Fry
340,Look its that crate we were gonna throw in the sewer,Bender
342,Nah Shell probably make me do it,Bender
351,And sing a whaling tune Were whalers on the moon,Leela
352,Thats not how it happened,Fry
353,Oh really I dont see you with a fungineering degree,Leela
354,This is stupid Im taking this thing out to the real moon,Fry
355,Fry no This is my first mission and Im not gonna let us get in any trouble Besides the cars on a track,Leela
358,OK youre on the surface Now Ill give you 10 minutes Then youll get bored turn around and apologise for being such a jerk Agreed,Leela
359,Agreed  Yeah Crank up the radio,Fry
362,Times up Make a Uturn at the next crater,Leela
363,No not yet How bout we go look for the original moon landing site,Fry
364,Thats crazy Its been lost for centuries,Leela
365,Well Im feelin lucky  Uh  Im ready to go back now,Fry
366,Were gonna die Its every man for himself  You did it Were safe,Fry
368,Its every man for himself,Fry
369,Hey look what I won from a tourists pocket,Bender
371,Come on its just like making love Yknow,Bender
373,Here let me do it  Uh thats the woman who programmed me for evil,Bender
374,Yeah well Im gonna go build my own theme park with blackjack and hookers In fact forget the park,Bender
375,Im sorry Leela I cant go on any further Just leave me to die in that barn over there,Fry
378,No sir Were amusement park patrons,Fry
380,Our car broke down and were out of oxygen Can we borrow some,Leela
382,I guess we could do chores for a few hours,Fry
383,Fry night lasts two weeks on the moon,Leela
395,I told you to turn around and go back to the park But oh no the park was too phoney We had to see the real moon,Leela
396,And it was great We got to see craters and rocks and that one incredible rock that looked like a crater and  and these fellas,Fry
400,Hell never find me in here,Bender
402,Oh Bender You didnt touch the Crushinator did you,Fry
403,Of course not A lady that fine you gotta romance first,Bender
407,Hang on Hang on Jump  Hold on to your helmet,Leela
410,Hey cool Dark side of the moon,Fry
411,Nightfalls coming  Hurry before we freeze,Leela
412,What do you mean we mammal,Bender
413,Oh dear I really ought to do something But I am already in my pyjamas,Farnsworth
414,We cant outrun it forever,Leela
415,Over there Look Its the moon landing site We found it,Fry
417,Its that flag from MTV And Neil Armstrongs footprint  Hey My foots bigger Leela isnt this the greatest thing youve ever seen,Fry
418,Fry look around Its just a crummy plastic flag and a dead mans tracks in the dust  Now get in here before you freeze,Leela
419,Oh no room for Bender huh Fine Ill go build my own lunar lander with blackjack and hookers In fact forget the lunar lander and the blackjack Ah screw the whole thing,Bender
420,Well if the oxygen holds out we might live long enough to starve to death,Leela
421,Look Leela Im sorry I never should have dragged you out here,Fry
422,Thats right you shouldnt have I still dont get what the big attraction is,Leela
423,I never told anybody this but a thousand years ago I used to look up at the moon and dream about being an astronaut I just didnt have the grades Nor the physical endurance Plus I threw up a lot and nobody liked spending a week with me,Fry
424,A week would be a little much,Leela
425,The moon was like this awesome romantic mysterious thing hanging up there in the sky where you could never reach it no matter how much you wanted to  But youre right Once youre actually here its just a big dull rock I guess I just wanted you to see it through my eyes the way I used to,Fry
426,Fry look  It really is beautiful I dont know why I never noticed before,Leela
429,Amy Whered she learn to operate the controls like that,Leela
430,Not the magnet No No No  Uhoh,Bender
431,"Shell be comin round the mountain
Shell be comin round the mountain
Shell be comin",Bender
433,Shell be riding six white horses,Bender
434,So Fry was the real moon anything like the moon you used to dream about,Leela
439,Im sorry I was up really late poking through peoples desks,Fry
442,What the hell are you doing Youre getting a huge dose of radiation,Leela
444,Do you know how long its going to take me to recalibrate these engines,Leela
445,Hey When you look this good you dont have to know anything,Fry
446,Professor We need to talk to you about Fry,Leela
447,Thats right we want some money Wait Whats this about Fry,Bender
448,Hes a nice guy but we think its about time he got his own place,Leela
449,Oh fuff Hes not causing any trouble Now if you dont mind Im rather busy I seem to have mislaid my alien mummy  This sarcophagus should contain the remains of Emperor Nimballa who ruled Zuban 5 over 29 million years ago,Farnsworth
450,Hey Professor great jerky,Fry
451,My God this is an outrage I was going to eat that mummy Fry has got to go,Farnsworth
454,Sheesh 40000 channels and only 150 have anything good on,Fry
459,Hmm must be a friend of theirs,Fry
460,Fry weve got to discuss your living arrangements,Bender
461,Weve all talked it over and,Leela
462,Hey All My Circuits Move over,Bender
463,Fry sometimes in close quarters people do inconsiderate things without realising it,Leela
464,I know but I forgive you,Fry
465,No Fry by close quarters I mean this office,Leela
467,And by people I mean you,Leela
469,And by inconsiderate I mean,Leela
470,Leela Were trying to watch TV,Fry
471,Yeah Would you kindly shut your noise hole,Bender
472,So whos that weirdlooking guy,Fry
475,Eh the usual human stuff He laughs he learns he loves,Bender
479,Hey uh why is the TV getting smaller,Fry
481,Cheer up meatbag Youve barely touched your amoeba,Bender
482,It looked good but I just dont feel like eating You want it,Fry
483,Nah Im trying to watch my input I need plenty of wholesome nutritious alcohol  The chemical energy keeps my fuel cells charged,Bender
484,What are the cigars for,Fry
486,I cant believe they threw me out like that I must have been really acting like a jerk,Fry
487,Yeah but everybodys a jerk You me this jerk  Thats my philosophy So where you gonna stay,Bender
488,I dont know Do refrigerators still come in cardboard boxes,Fry
489,Yeah but the rents are outrageous Why dont you just come move in with me,Bender
490,Really Thatd be great You sure I wont be imposing,Fry
491,Nah Ive always wanted a pet,Bender
492,Here we are Your new home,Bender
493,Cool Yknow Ive never even seen a robots apartment before,Fry
494,Come on in Ill give you the tour,Bender
495,Lets see where to start OK this is the TV area that over theres the breakfast nook and over here is where youll be living which is great because until now its just been wasted space,Bender
496,Its kinda cramped in here I dont even have room to hang my clothes,Fry
497,Look pal youve only got one set of clothes and youre not taking them off while Im here Well Im bushed Gnight,Bender
499,Kill all humans  kill all humans  must kill all the humans,Bender
501,I was having the most wonderful dream I think you were in it,Bender
502,Uh listen Bender Uh wheres your bathroom,Fry
509,Hey sexy mama wanna kill all the humans,Bender
510,We sure are cheerful this morning,Leela
511,Yeah this past week with Frys been a blast Yknow beneath this warm sunny exterior beats the cold mechanical heart of a robot,Bender
513,Oh its Benders apartment He put in carpeting yesterday so now my head hits the ceiling Hey do you realise youre standing at a weird angle  Now youre OK,Fry
514,Look at yourself Youre a wreck Youve got to find a new place to live,Leela
516,Love your optimism Fry But seriously youve got to tell Bender youre moving out,Leela
517,Yeah but he might get kind of upset I dont think I can do that to him,Fry
518,Hey theres my little space heater,Bender
521,Im sorry Bender but theres just not enough room,Fry
522,Not enough room My place is two cubic metres and we only take up 15 cubic metres Weve got room for awholenother twothirds of a person,Bender
523,What if I just helped the two of you find a bigger apartment,Leela
524,I dont know Ive got a lot of great memories in my old place  And now theyre gone,Bender
526,At least its got a great view,Leela
529,Wow Now this is fantastic,Leela
530,Hmm Im not sure we want to pay for a dimension were not going to use,Fry
531,Well I give up Whats the catch,Fry
533,Not one place even remotely liveable,Fry
534,Oh how awful Did he at least die painlessly To shreds you say Well how is his wife holding up To shreds you say Very well then  Sad sad terrible gruesome news about my colleague Dr Mbutu,Farnsworth
535,Was his apartment rentcontrolled,Leela
537,Whats with all the crap,Bender
540,Well this place has everything except the only thing I care about,Fry
543,Whoa slow down This place just doesnt feel like home It just isnt  cosy   Its perfect,Bender
544,Man its a total sty For the first time in a thousand years I feel like Im home,Fry
545,Yeah Its gonna be fun on the bun Yknow Fry of all the friends Ive had youre the first,Bender
547,Happy housewarming Fry  Its a miniature fruit salad tree,Leela
550,This is for you Fry  Zevulon the Great Hes teriyaki style,Farnsworth
551,Wow Heavydrinking crowd  Id better go out for more beer,Bender
552,Hey hang on All My Circuits is about to start,Fry
553,I know but I need alcohol to power up my batteries If Calculons wedding doesnt go just right Ill be emotionally and electrically drained,Bender
557,Sh The weddings about to start,Fry
559,Is he objecting or backing up,Fry
565,Hey what happened to the TV,Bender
567,This is an outrage Im gonna go yell at the manager,Bender
569,Come back Bender Its working,Fry
572,What Thats the last straw,Bender
575,Yeah And youd better get rid of whatevers causing it or were outta this dump,Bender
583,You people are nuts My antenna never interfered with my old TV,Bender
584,You had cable This is satellite,Leela
585,Obviously your thoughts are being transmitted on the same frequency,Farnsworth
587,Madam I believe youre mistaken,Bender
588,Wow that ladys got a huge ass,Bender
589,Those could be anyones thoughts fat ass,Bender
594,Fine Come on Fry lets move to that apartment that smelled like a sewer You liked that one right,Bender
595,Its tempting but well I am already kinda settled in here,Fry
596,Or we could live underground with the mutants A little firell show em whos boss,Bender
597,Uh listen is there maybe some way we could do this with you going and me not going,Fry
599,Well you were gonna live in the closet anyway Wont you be just as happy back in your old place,Fry
600,But then we wouldnt be roommates,Bender
601,Ill come visit sometime And you can visit me here,Fry
603,Anyway Im sure itll work out This way well both be happy,Fry
604,Happy Yeah thats Bender Always happy,Bender
615,Fry youre Benders best friend How could you let that mob kick him out,Leela
616,Ah come on Bender loves mobs,Fry
617,Only when hes in them and you know it You really hurt his feelings,Leela
618,Dont girl me with that girl stuff Bender and me are guys Guys dont have feelings,Fry
619,Benders not a guy hes a robot,Leela
622,My roommates gone And all he left behind was an eyelash and three skin flakes  Oh whats the point,Bender
623,Bender  My God youre a mess,Leela
625,Look at that five oclock rust Youve been up all night not drinking havent you,Leela
626,Hey What I dont do is none of your business,Bender
627,Please Bender Have some malt liquor If not for yourself then for the people who love you,Leela
628,I hate the people who love me and they hate me,Bender
629,Oh now look Its obvious you miss being Frys roommate But theres got to be a better way to deal with this,Leela
630,Like how Having my antenna removed,Bender
631,Well if that would work,Leela
632,Are you crazy Thats Little Bender youre talking about I cant cut it off Youre not a robot or a man so you wouldnt understand I gotta get out of here,Bender
633,Wait I want you to look me in the eye and promise you wont get behind the wheel without some kind of alcoholic beverage in your hand,Leela
636,I cant just stand by and be silent about Bender anymore,Leela
637,Silent Youve been meddling for two solid weeks,Fry
638,Well I cant just do that anymore Your best friend is out there somewhere destroying himself,Leela
639,Really I didnt think hed miss this apartment that much,Fry
640,He doesnt care about the apartment he cares about you And you turned your back on him,Leela
641,Oh man I had no idea If only I knew where he was Id go talk to him,Fry
642,Oh stupid TV  Bender Youre blindstinking sober,Fry
643,Thats right Im sober and crazy and I dont know what I might do,Bender
645,I dont know what it is yet Oh yeah now I remember I thought I could live alone but I cant So Im gonna do what it takes to be your roommate again,Bender
647,Cutting Leelas head off wont solve anything,Fry
648,No Im going to chop off my antenna,Bender
649,Hey yeah That sounds good Can I give you a hand,Fry
650,Fry Dont help him mutilate himself,Leela
651,But its a useless antenna Its not like hes a ham radio or something,Fry
652,Im gonna do it Im really gonna do it Dont try and stop me Here goes,Bender
653,Hey it works The statics gone,Fry
658,You guys could learn a lesson from those two,Leela
660,Youre my best friend Fry Im sorry I treated you so badly,Bender
661,Apology accepted After all youre only human,Fry
662,Wait a minute You did it all backwards  Oh never mind,Leela
664,Nothing I guess Im just going to have to get used to being half a robot,Bender
665,Aw this isnt right Listen Bender if we found your antenna could they still reattach it,Fry
666,Maybe If we get it on ice right away,Bender
669,This time youll have all the human comfort Well get a couple of toilets some food cookers maybe a puppy,Bender
671,It sure is By the way I saved your stuff,Bender
672,So thats where those skin flakes went Hmm do you think this fruit trees going to get enough light,Fry
673,Theres a window in the closet,Bender
674,This is huge Bender why dont I just live in here,Fry
676,This place was a great choice The food is amazing And such generous portions,Leela
678,You know Doug most guys are put off by my eye Its nice to finally meet someone whos openminded  Ew,Leela
679,What was wrong with your date last night,Fry
680,I dont know Something I couldnt quite put my finger on Possibly his vile lizard tongue,Leela
682,Yeah If you rule out every guy with a lizard tongue or a low IQ or an explosive violent temper of course youre gonna be lonely,Fry
683,Theres nothing wrong with having high standards Now can we please stop,Leela
686,Thank you all for the inspiring advice but Im perfectly happy with my life the way it is,Leela
687,That sounds like a cry for help,Bender
694,Whys everyone wearing those rings,Fry
705,I just know these things Ive got what they call gaydar,Bender
709,Definitely Unless Im getting interference from a gay weather balloon,Bender
711,No way Weve got so much in common,Fry
713,Uh yeah That rings a bell,Fry
716,I think she means 10 wins on the gay circuit,Bender
719,Thats great really but hes just not what Im looking for,Leela
722,Just as well I think he comes from a dimension thats big on musical theatre,Bender
723,Pst I need the apartment tonight Go see a saucy puppet show,Fry
726,So Leela you must have had your pick of the litter last night at closing time,Bender
727,Could you guys please stop talking about my personal life,Leela
728,Yes lets all talk about Leelas personal life later But right now we have business to attend to,Farnsworth
730,No A taxdeductible mission of charity,Farnsworth
734,Its a sunny little doomed planet inhabited by a number of frisky little doomed animals,Farnsworth
736,Thats right Animals in desperate need of rescue You see Vergon 6 was once filled with a superdense substance known as dark matter each pound of which weighs over ten thousand  pounds,Farnsworth
737,Wait What about the animals,Leela
738,Well dark matter is extremely valuable as starship fuel Thats why it was all mined out leaving the planet completely hollow,Farnsworth
739,Yes but what about the animals,Leela
742,I didnt say anything about animals Now it seems that the planet will collapse within three days Incidentally this will kill all the animals,Farnsworth
743,So we have to bring back two of each kind Just like Noahs Ark,Leela
745,I bet you Leelas holding out for a nice guy with one eye,Fry
746,Thatll take forever What she oughta do is find a nice guy with two eyes then poke one out,Bender
747,Yeah thatd be a timesaver,Fry
749,Here you go  You can use this as an eyepoker,Bender
750,Thank you But I dont care how many eyes a man has  as long as its less than five All Im looking for is a guy whos adventurous selfconfident,Leela
758,Hey look Thats Zapp Brannigans ship,Leela
761,Whos the Zapp Brannigan,Fry
764,They say Zapp Brannigan singlehandedly saved the Octillian System from a horde of rampaging Killbots,Leela
766,A grim day for robotkind Ah but we can always build more Killbots,Bender
767,Hes the most decorated captain in the whole Democratic Order of Planets,Leela
769,No I dont But I think we ought to meet with him and see if hell help us rescue those animals,Leela
770,Well just in case you guys hit it off youll wanna take this with you,Bender
775,Hello Im Leela captain of the Planet Express delivery ship Weve come aboard to plead for your assistance,Leela
778,Oh not at all Im just so uh really thrilled to meet you,Leela
782,I heard that one time you singlehandedly defeated a horde of rampaging somethings in the somethingsomethingsystem,Fry
784,Wow I never would have thought of that,Fry
787,Captain Brannigan we really need to talk to you about our mission,Leela
790,Were hoping to save the animals of Vergon 6 from extinction And if you could just,Leela
794,But people already interfered That planet was mined completely hollow,Leela
796,This doesnt make any sense,Leela
798,Fine Well save the animals without your help,Leela
801,Hes throwing us in prison,Bender
802,Dang Can I get this wrapped up,Fry
803,Ow I mightve liked Zapp Brannigan if he werent a pompous dimwit who threw me in prison,Leela
804,You really are too picky,Bender
819,Good This will be my chance to reason with him captain to captain,Leela
823,I didnt realise you were such a coinasewer,Leela
827,If we could speak seriously for a moment,Leela
829,Id like you to reconsider letting us rescue those animals,Leela
833,We can definitely escape Bender All you have to do is bend the hatch off this steam pipe,Fry
835,No good Its full of steam,Fry
837,Im not really in the mood,Leela
839,Can I please just go back to prison,Leela
841,Much rather  What are you doing,Leela
843,No And its pronounced shampane,Leela
851,Oh come on Cheer up Its not that bad,Leela
852,You wanna try escaping again,Fry
854,Man Leelas been gone a long time I hope shes at least making progress with Zapp Brannigan,Fry
858,Zapp last night was a mistake,Leela
860,No just a regular mistake For a split second my common sense was overwhelmed by pity,Leela
862,The only kind of crawling Im doing to you is away  from,Leela
864,Look Im going down to Vergon 6 to save those animals whether you like it or not,Leela
866,Threaten all you Wait What,Leela
877,So should we get our stuff and head down to the planet,Bender
879,Alright we dont have much time to collect these animals The planet is supposed to collapse in approximately two hours ago,Leela
880,Hello there  Hmm He doesnt seem to be on the checklist,Leela
881,So youre saying we can cook him,Bender
882,Yeah a barbecue Ill wear my hilarious apron,Fry
883,No I dont care how hilarious your apron is were not cooking him  Aww Ill call him Nibbler,Leela
884,Aww  Ill fire up the grill,Bender
885,I hope hell be OK in there with all those big animals,Leela
889,I found a pair of hermaphlamingos,Bender
890,Good Thats the last species,Leela
894,I cant believe we flew halfway across the galaxy and enjoyed a steam just to get lunch for that stupid animal,Fry
895,Hes pending for a bending,Bender
896,Leave him alone Its not his fault that hes an unstoppable killing machine Is it snoogums,Leela
898,Prepare for liftoff  Were out of fuel Bender I told you to fill the tank before we left,Leela
899,Yeah Ill do it when we get back,Bender
900,Man lucky for us Zapp Brannigans nearby,Fry
901,No way Forget it I refuse to go crawling back to him,Leela
902,What What are you talking about,Fry
904,So whats your problem Its not like you slept with him  Oh my God,Bender
905,How could you Leela I thought you had some standards I mean jeez hes a dumb gross gorilla,Fry
906,Thats enough Dont you think I feel bad enough already,Leela
908,Alright alright Ill call him  I mean if living is that important to you,Leela
913,and Vergon 6 is about to implode We need your help,Leela
917,Look are you going to rescue us or not,Leela
923,I would never abandon a helpless animal Yknow Zapp once I thought you were a big pompous buffoon Then I realised that inside you were just a pitiful child But now I realise that outside that child is a big pompous buffoon,Leela
925,Wow Way to tell that guy off Now whats your secret escape plan,Fry
926,Uh I guess to sit here and wait for death,Leela
930,I dont believe it Its dark matter,Leela
931,So this guy just unloaded a steaming pile of starship fuel,Bender
932,His species mustve filled the entire planet with it Did you do that you cute little  Come on That should be more than enough fuel to get us outta here Bender pick it up and put it in the engine,Leela
933,We made it  And some of the animals survived,Leela
934,So a couple of animals didnt die and Leela got lucky Thats what I call a successful mission,Bender
941,What do you think of the view Fry,Leela
942,It really puts things in perspective I mean from up here an entire world can seem utterly insignificant,Fry
943,Hey nice seats Were close enough so when you knock a player down with a beer bottle he stays down,Bender
944,I dont get it Is blernsball exactly the same as baseball,Fry
946,Face it Fry Baseball was as boring as mum and apple pie Thats why they jazzed it up,Leela
947,Boring Baseball wasnt  hmm so they finally jazzed it up,Fry
950,What just happened Why is the ball on that springy thing,Fry
951,Its traditional Just like aluminium bats and the seventh inning grope,Leela
952,I got me a souvenir  Aww here you go kid,Bender
958,Mmmm at least hot dogs havent changed,Fry
959,Hey buddies who wants popcorn,Bender
961,Anyone want butter on that,Bender
962,Hey Im starting to get the hang of this game The blerns are loaded the counts three blerns and two antiblerns and the infield blern rule is in effect right,Fry
963,Except for the word blern that was complete gibberish The blernsball falls into a hole and indescribable mayhem ensues Fry scratches his head in confusion Leela writes on her score card All right Yes,Leela
965,Millers on a pace to hit 70 blerns,Leela
