,Quotes
485,"Nah, I'm trying to watch my input. I need plenty of wholesome, nutritious alcohol.  The chemical energy keeps my fuel cells charged."
487,They make me look cool.
489,"Yeah, but everybody's a jerk. You, me, this jerk.  That's my philosophy. So, where you gonna stay?"
491,"Yeah, but the rents are outrageous. Why don't you just come move in with me?"
493,"Nah, I've always wanted a pet."
494,Here we are. Your new home.
496,"Come on in, I'll give you the tour!"
497,"Let's see, where to start. OK, this is the TV area, that over there's the breakfast nook, and over here is where you'll be living which is great because, until now, it's just been wasted space."
499,"Look, pal, you've only got one set of clothes and you're not taking them off while I'm here. Well, I'm bushed. G'night."
501,(sleep-talking) Kill all humans...kill all humans...must kill all the humans.
503,I was having the most wonderful dream. I think you were in it.
505,Bath what?
507,What room?
509,What what?
511,"(sleep-talking) Hey, sexy mama...wanna kill all the humans?"
513,"Yeah, this past week with Fry's been a blast! Y'know, beneath this warm, sunny exterior, beats the cold, mechanical heart of a robot."
520,"Hey, there's my little space heater."
522,What?!
524,Not enough room? My place is two cubic metres and we only take up 1.5 cubic metres. We've got room for a whole nother two-thirds of a person.
526,I don't know. I've got a lot of great memories in my old place.  And now they're gone.
529,What the?
539,What's with all the crap?
546,"Whoa, slow down! This place just doesn't feel like home. It just isn't...cosy. Ahh, I can barely move.   It's perfect!"
548,"Yeah! It's gonna be fun on the bun! Y'know Fry, of all the friends I've had, you're the first."
554,"Wow, heavy drinking crowd!  I'd better go out for more beer."
556,"I know, but I need alcohol to power up my batteries. If Calculon's wedding doesn't go just right I'll be emotionally and electrically drained."
568,Hey what happened to the TV?
570,This is an outrage! I'm gonna go yell at the manager!
575,What? That's the last straw!
578,Yeah! And you'd better get rid of whatever's causing it or we're outta this dump!
586,You people are nuts. My antenna never interfered with my old TV.
590,"Madam, I believe you're mistaken!"
591,"Wow, that lady's got a huge ass!"
592,"Those could be anyone's thoughts, fat ass!"
597,"Fine! Come on, Fry, let's move to that apartment that smelled like a sewer. You liked that one, right?"
599,Or we could live underground with the mutants. A little fire'll show 'em who's boss!
601,I don't understand.
603,"But, then we wouldn't be roommates."
607,"(downbeat) Happy. Yeah, that's Bender. Always happy."
624,It's so big and empty.
625,"My roommate's gone. And all he left behind was an eyelash and three skin flakes.  Oh, what's the point?!"
627,Leave me alone!
629,Hey. What I don't do is none of your business.
631,I hate the people who love me and they hate me.
633,Like how? Having my antenna removed?
635,Are you crazy? That's Little Bender you're talking about. I can't cut it off. You're not a robot or a man so you wouldn't understand. I gotta get out of here.
637,I promise nothing!
646,That's right! I'm sober and crazy and I don't know what I might do!
648,"I don't know what it is yet. Oh, yeah, now I remember. I thought I could live alone, but I can't. So, I'm gonna do what it takes to be your roommate again."
651,"No, I'm going to chop off my antenna."
655,I'm gonna do it! I'm really gonna do it! Don't try and stop me! Here goes.
663,"You're my best friend, Fry, I'm sorry I treated you so badly."
667,Nothing. I guess I'm just going to have to get used to being half a robot.
669,Maybe. If we get it on ice right away.
672,"This time, you'll have all the human comfort. We'll get a couple of toilets, some food cookers, maybe a puppy."
674,"It sure is. By the way, I saved your stuff."
676,There's a window in the closet.
678,"In a closet? Oh, humans!"
692,That sounds like a cry for help.
695,A saucy puppet show.
708,"Forget it, he's gay."
710,I just know these things. I've got what they call gaydar.
712,"No?  OK, I got a lock on him.  Yep! He's gay!"
714,Definitely. Unless I'm getting interference from a gay weather balloon.
721,(whispering) I think she means 10 wins on the gay circuit.
727,Just as well; I think he comes from a dimension that's big on musical theatre.
729,Can do!
731,"So, Leela, you must have had your pick of the litter last night at closing time."
749,Why two?  Oh!
751,"That'll take forever. What she oughta do is find a nice guy with two eyes, then poke one out."
754,Here you go.  You can use this as an eye-poker.
771,"A grim day for robot-kind. Ah, but we can always build more Killbots!"
775,Well just in case you guys hit it off you'll wanna take this with you.
806,He's throwing us in prison.
809,You really are too picky.
839,"Hey, yeah!"
858,"Nah, I'm comfy."
882,So should we get our stuff and head down to the planet?
886,So you're saying we can cook him?
889,Aww! (whispering to Fry) I'll fire up the grill!
894,I found a pair of Hermaphlamingoes.
896,Hey. What the?
900,He's pending for a bending.
904,"Yeah, I'll do it when we get back."
909,"So what's your problem? It's not like you slept with him.  Oh, my God!"
932,Can do!
933,What the hell was that?
936,So this guy just unloaded a steaming pile of starship fuel?
939,So a couple of animals didn't die and Leela got lucky. That's what I call a successful mission!
950,"Hey, nice seats! We're close enough to when you knock a player down with a beer bottle, he stays down."
959,"I got me a souvenir!  Aww, here you go, kid!"
966,"Hey, buddies, who wants popcorn?"
970,Anyone want butter on that?
976,"Clem Johnson? That skin bag wouldn't have lasted one pitch in the old Robot Leagues! Now Wireless Joe Jackson, there was a blern hitting machine!"
978,"Oh, and I suppose Pitchomat 5000 was just a modified howitzer?"
980,You humans are so scared of a little robot competition you won't even let us on the field.
982,"Yeah, doing crap work! They're bat boys, ball polishers, sprinkler systems. But how many robot managers are there?"
984,Zero!  And what a surprise! Look who's scraping up the filth. Is it a human child? I wish!
991,Admit it: You all think robots are just machines built by humans to make their lives easier.
993,I've never made anyone's life easier and you know it!
997,"Oh, so just 'cause a robot wants to kill humans that makes him a ""radical""?"
1001,"Oh, I get it, make the robot do all the work!"
1003,Well I'm not doing it! It's a robot holiday.
1005,Only Robanukah. The holiest two weeks on the robot calendar.
1008,It wasn't just a blast. It was a sacred tribute to my ancestral prototypes which happened to take the form of a drinking contest.
1010,"Alright, I'll go. But so help me, I'll hold a grudge against every last stinking one of you for the rest of your lives."
1013,No. It's inhabited by robots!
1016,"Yes, Miss Leela. Tote that space barge, lift that space pale."
1018,(ironic) I'll try to keep that in mind!
1024,"I'm in trouble. They found out I work with humans and -- oh, no! Oh, no!"
1094,Death to humans!
1096,"Many said I was too extreme when I first called for the annihilation of the human species, as well as some of the more cunning monkeys. But after living on Earth I can tell you that I am, if anything, too merciful!"
1098,"Thank you! Thank you! And if you enjoyed that diatribe then you'll want to purchase my spoken word album, just 18.95! Act now and you'll get this Bender action figurine."
1102,"Now, your basic human is between three- and 25-feet tall and is made of a hairy, oily goo wrapped in a t-shirt."
1104,"Sure, why not?"
1106,Nothing. Today's active humans prefer a low-calorie bait.
1108,Wait! What's that?
1110,"Hmm, sounds like a breeding ground for humans. I'd better check it out."
1111,"Oh, yeah! You're a bad girl, aren't you?"
1113,Huh? Wha? You! What the hell are you doing here?
1115,I was. But they let me go when I told them I killed a million billion humans.
1117,What for?
1119,I don't wanna be rescued.
1121,"I love this planet. I've got wealth, fame and access to the depths of sleaze that those things bring."
1123,Friends? That activates my hilarity unit! I'm just a machine to you. You're no more friends with me than you are with the toaster or the phonograph or the electric chair.
1125,Well that's how it feels to me.
1127,"Go on, get out of here before you get caught."
1131,Uh...got you...you murderous flesh piles!
1157,"Alright, let's make this quick, I'm due at the opening of a mini-mall. Hey! What is this?"
1164,"Uh, I'm a little tired right now. Would it be alright if I just gave 'em a savage beating?"
1168,"Aww!  I can't kill them. Plenty of humans have mistreated robots but not these two. They're my friends. Humans are no threat to us. They're stupid, putrid cowards."
1170,"The fact is, humans are completely harmless."
1172,You are?
1178,"Well, I'm glad we got all that out in the open. We'll just let ourselves out."
1188,"Hey, hold on a second, I forgot to deliver the package."
1191,"Wow, I can't believe you guys did all this for me! This is the best Robanukah ever!"
1193,"Aww, thanks! You do know that I made Robanukah up to get out of work, right?"
1196,"In that case, let the dancing begin! Hey, you guys are good. How the hell do you do that?"
1215,"Quit squawking, flesh wad, nobody's forcing you to buy anything."
1220,No thanks I --
1226,New? What sweater? I came in with it. I don't know you people!
1241,"Mmm, tasty!"
1245,I'm boned.
1247,"Uh, there's obviously been some sort of a mistake here.  I'm sure there's......I say I'm sure there's......that is, I'm sure there's...a very...reasonable..."
1262,"Maybe you don't understand just how rich he is. In fact, I think I'd better put on a monocle."
1276,Maybe you're forgetting just how rich you are.  Huh? Huh?
1279,Hey! Get a load of this pathetic 20th century TV!
1281,"Well, aside from causing eye cancer, these things had a lousy low-definition picture."
1288,"Ah, leave him alone, Leela. So he's going a little wacko with his money. It's OK."
1290,"Yeah, it is cute."
1332,Yeah. Now are you gonna come to the squid fights with us or sit here wallowing in your prehistoric junk?
1406,We thought you only cared about cans of anchovies and stuffy old songs about the buttocks.
1409,Wheee!
1421,Who did?
1438,(singing) Going through the 'bot wash!
1439,(singing) Goin' through the robot wash!
1440,Ah!  Aww!
1443,"Uh, nothing!"
1445,"No, of course not! It was...uh...porno! Yeah that's it!"
1447,"(ashamed) Oh, it's true! I've been hiding it for so long."
1452,You call that a couch? I demand a pillow!
1454,Hmm.
1456,Yeah! We're gonna kick it up a notch. Bam!
1458,"Honey, I wouldn't talk about taste if I was wearing a lime green tank top."
1461,Yep. Every chef knows that this is the place to get exotic gourmet ingredients.
1477,"Hey, buddy. I'm looking for fresh slug."
1478,Whatever.
1479,"Yeah, yeah, either one's fine."
1487,(shouting) Thank you!
1491,"Uh-oh, I don't like the sound of that."
1493,Here it comes.
1495,"Thank you, and goodnight."
1501,Almost ready!
1502,Now for a dash of salt!  Uh-oh!
1509,It's salt with water in it if that's what you mean.
1511,There was nothing wrong with that food. The salt level was 10% less than a lethal dose.
1533,"You know, Fry, I've often thought about becoming a Prime Minister."
1535,"Yes! In your face, Gorgak!"
1538,"Stay the course, pal!"
1588,"Hey, look. The suns are setting. I can finally switch to hard liquor!"
1589,"Check out the glowing freaks. It's beautiful! Hey, what's that?"
1594,"Shut up, you!"
1603,"Hey, why don't you just sweat him out?"
1613,"I'll make you cry, buddy!  You're a pimple on society's ass and you'll never amount to anything."
1615,Good point. But here's a disturbing reminder: Everyone you knew or loved in the 20th century is dead.
1617,"OK, Fry, grab a Kleenex for this one, 'cause there's no God and your idiotic human ideals are laughable!"
1619,"Man, I guess it's harder than I thought to make someone cry."
1621,"Up yours, bimbo!"
1623,"Cram it, lobster!  That is a good idea. I'll go call her."
1627,I'm not giving my name to a machine.
1629,Fry's in trouble...
1630,"...and he needs help. Now, I don't like you and you don't like me."
1632,You do? Look are you going to help or not?
1634,"Wait, wait, wait, wait.  What is it you like best about me?"
1636,I'm not sure. But I do know that she likes my in-your-face attitude.
1641,Wait a second. Here comes Leela.
1644,You do? Hmm.
1646,"I don't know. Perhaps I'll look out this window. Oh, dear God in heaven, they're swarming all over her."
1649,"They're strapping her to juicer. Oh, they're putting some ice cubes in the glass under it."
1651,"It can and, for all you know, it is. I'm sorry, Fry. She's dead."
1656,I told Fry you were dead so he would cry out the Emperor but you had to go and wreck it by surviving.
1672,Hey! Save some for me!
1680,Sounds boring.
1685,Ooh! Dibs on his CD player!
1700,"I've been perusing your fortified wine list and I've selected the '71 Hobo's Delight, the '57 Chateau Par-tay and the '66 Thunder Chevitz."
1702,And mix them all together in a big jug.
1704,(shouting) More wine!
1725,Yep!
1740,"Ooh, ooh, name it after me!"
1743,"Well, lets get looting!"
1755,Yeah! And this beer can is made outta old robots.
1787,"Oh, crap!"
1789,"(ironic) Oh, boo-hoo!"
1799,OK  (à la Homer Simpson) Mmm! Shorts!
1804,There's your problem. The Professor put the counter on upside-down.
1807,Right!
1808,It's gonna blow!
1810,"OK, OK, keep your space pants on. I'll take care of this."
1864,Can I get anybody a beer?
1869,I believe that qualifies as ill. At least from a technical standpoint.
1882,"Hey, Fender! Man, I haven't seen you since high school. You still workin' at Jack In The Box?"
1891,Count me in! I'm gonna drink til I reboot!
1892,"Hey, what kinda party is this? There's no booze and only one hooker."
1894,"Uh hey, I'm no square but isn't that counter-indicated by my operations manual?"
1897,"Well, if jacking on'll make strangers think I'm cool, I'll do it!"
1899,"Eh, no need to worry. I don't have an addictive personality."
1901,"Shut up, square!  I'll just be a minute!"
1903,Hey! Do I preach to you when you're lying stoned in the gutter? No! So beat it!
1905,Yo mama! Now shut up and drag me to work!
1909,"None of your business, get off my back!"
1914,No! Don't come in!
1916,"Alright, let's get to work! I'll be out in a second."
1920,None of your business! Get off my back!
1922,A what kind of disturbance?
1926,"Come on universe you big, mostly empty wuss! Gimmie all the juice you got! Oh, mama!"
1927,What?
1932,You're right. I'm a lost cause.
1933,Maybe there's another way.
1934,"Oh, yeah, that's the good stuff.  (crying) What am I doing? What have I become? Huh?"
1940,(weakly) Me.
1943,"(singing) Oh, what a beautiful morning, oh what a beautiful day! (talking) Greetings, friends. Don't we all look nice today?"
1945,"No, I'm whacked out on life. My friends, I found religion."
1952,"Wonderful. Then you'll all come to my exceedingly long, un-air-conditioned baptism ceremony!"
1957,"Yes, I do."
1959,"Uh, while you're at it, could you touch up this seam?"
1961,The old Bender's gone. He won't trouble you anymore.
1963,"No poison for us, thanks. I'll stick with good old mineral oil.  Ah! Functional!"
1965,Friends! Friends! Surely you're not going to eat before we say Robot Grace? In the name of all that is good and logical we give thanks for the chemical energy we are about to absorb. To quote the prophet Jerimatic: 1000101010101...
1966,...0010110012. Amen.
1968,"Yes.  But first, since I love you all so much, I'd like to give everyone hugs. Come here, Fry!"
1970,"Mmm! Mmm! Fry, you're my friend!  C'mon, everyone line up for a hug. Let's tear down some emotional walls."
1972,Sanctifying it!  There! That ought to convert a few tailgaters.
1978,I can't believe somebody hired an interstellar spaceship to deliver a package to Atlantic City. What are we delivering anyway?
1980,Where are we delivering it to?
1982,Another job well done. Now back to the office for an enjoyable evening of fasting and repentance.
1985,"But, those girls don't wear cases. You can see their bare circuits."
1987,"What?"" Drinking wine is a sin. Even if it is deliciously fortified."
1989,Thou shalt not snatch.
1992,Stop tempting me! For once in my life I have inner peace.
1998,Well...
1999,I'm the greatest.  Woo-hoo!
2001,"You know it, pork pie! Except for one thing."
2002,"Y'know, as a major Hollywood director I'll be holding auditions tonight for my next movie. And even though you're all young and naive, I think you might just have what it takes.  Hey! I'm trying to score here! Can't you read the ""Do Not Disturb"" sign?  No! No!"
2006,"I'm hallucinating this, right?"
2008,But I don't belong here. I don't like things that are scary and painful.
2010,"Aww, hell - I mean heck!"
2018,"Aw crap, singing. Mind if I smoke?"
2021,(singing) Just tell me why.
2023,(singing) There must be robots worse than I.
2025,"(singing) Then please let me explain,"
2027,"(singing) Ah, don't blame me blame my upbringing!"
2040,No! Oh they're tormenting me with up-tempo singing and dancing.
2053,"Well, we're boned."
2059,I could if you'd drop the stupid gold violin!
2061,"Don't worry, guys, I'll never be too good or too evil again. From now on, I'll just be me."
2063,I don't know. Do you think you could survive a 700ft fall?
2071,"Me neither. (upbeat) Food was good, though."
2073,Shove it! We quit!
2076,Alright!
2079,"Aww, you!"
2087,Was that before or after you slept with him?
2093,"Come on, where is it?  Ohh!"
2100,"Well, I'm tired of this room and everyone in it. If you'll excuse me, I'm gonna pop over to the casino for the next 135 hours!"
2106,"Hmm.  I'm bettin' it all!  Come on, baby needs a new pair of feet!"
2108,No! My cheating unit malfunctioned! You gotta give me a do-over!
2110,"Gimmie you're biggest, strongest, cheapest drink."
2112,Allow me to introduce myself. I'm Bender.
2114,"I assure you, I barely know the meaning of the word ""labour""."
2116,"Please, call me Bender."
2153,I was just about to suggest the same thing.  Pay dirt!
2155,Yeah. But only 93% as lovely as you.
2157,"I don't get it, iZac: That bracelet had a diamond the size of a racoon's brain. Why couldn't I steal it?"
2159,"Oh, it's true. But we're star-crossed robots. She, a countess built with a silver spoon in her mouth. And me, just a regular honest Joe."
2161,"Hell, no!"
2163,"Fellas, please. I'm in love!"
2188,"Well, now you know. I'm not actually rich. I'm a fraud. A poor, lazy, sexy fraud. This isn't even a real bow-tie -- it's magnetic."
2190,You do? Really?
2235,"You all go without me. I'm gonna take one last look around. You know, for, uh, stuff to steal."
2237,"(whispering) Alright, I am. But I don't want the others to know. If I don't come back, just say I died robbing some old man."
2239,"I love you, buddy!"
2240,(shouting) Countess? Countess?
2242,"(shouting) Are you hurt, my sweet?"
2244,Just hang on! I'll take care of that fire!
2246,"And I'd do it again. And perhaps a third time. But that would be it.  When we kiss, I feel like I'm standing waist deep in a pool of cold, rising water."
2262,Wait a second. Aren't you a member of the yacht club?
2277,(shouting) Wait for us!
2282,"I can't live without you. If you let go, I let go!"
2284,Don't talk like that. Tragic romances always have a happy ending.
2286,Nooo!
2287,She's gone.
2291,At least I'll always have her bracelet! What do you think it's worth?
2298,Another job well done.
2310,Hey look. There's a chapter of my old robot fraternity; Epsilon Rho Rho.
2312,"Of course, I'm a bender. I went to Bending College. I majored in Bending."
2314,Robo-American Studies.
2316,"Uh, no, actually I'm an Epsilon from way back."
2318,Thanks. Here's your finger back.
2319,All the coolest robots are in this fraternity.
2322,"Uh-oh, nerds!"
2324,You're all losers. My name's Bender.
2327,"(modest) Yeah, well, a lot of 'em were children. Anyway I should get going."
2329,"Hmm, OK. But I'll need 10 kegs of beer, a continuous tape of Louie Louie and a regulation two-storey panty-raid ladder."
2350,Bingo!
2352,"Oh, yeah! Someone's been a bad computer! Get a load of that!"
2355,Cheese it!
2391,"Hey, dean, nice looking model."
2393,"Now, I can explain that."
2395,No fair!
2400,Cheese it!
2427,"Well, looks like the party's winding down. Let's take a road trip to Tijuana and get Fatbot some action."
2464,"Oh, yeah? Watch this!"
2467,Hey!
2482,(shouting) Not as sure as I was an hour ago!
2505,"(shouting) Come on, everyone! Big party in Robot House!"
2525,Ow!
2531,"Aw, yeah!"
2542,Truly a great man. Look at him up there.
2544,"OK, now you go hide.  Nice knowin' you."
2547,"OK, everyone, come and get it!"
2549,"Bite my red-hot glowing ass.  Wait a minute. Red-hot glowing ass?  (calmly) I'll be right back!  Ow ow ow ow ow ow ow ow ow!  Aw, yeah!"
2563,"Alright, alright, I'll bust you out. Cheese it!"
2567,"Right here, buddy.  Wait, I wanna be in the picture too.  Pretend you're happy."
2580,"Hey, look, Leela, it's that idiotic windbag you slept with."
2582,Evidently not.
2585,"Whoa, whoa, whoa, whoa, hold on. I refuse to fight. I'm a conscientious objector."
2587,"You know, a coward."
2589,"It is every robot's duty to give his life for the good of humanity.  Oh, crap!"
2591,"Well actually I--  Sir, yes sir! Sir!"
2602,"Sir, I volunteer for a suicide mission. Aw, cut it out!"
2610,"The auxiliary power's out, and they spilled my cocktail."
2613,"(sadly) Yeah, but it'll never bring back my martini.  (normal) Well, who wants a martini?"
2643,"Well if they're hoping to see a TV show that hasn't existed for a thousand years, pfft, they are royally boned."
2652,They must just wanna see that episode. Let's find a tape and give it to 'em.
2658,"(dramatically) And I, I could be an acting coach!"
2668,(singing) ...And being self-reliant.
2686,We'll be back after this word from Crazy Bender's Discount Stereo.
2692,"(à la Arnold Jackson) Whatchoo talkin' 'bout, Fry?"
2702,"(singing) Single Female Lawyer,"
2706,"You did it, Fry!"
2718,Look at that worm go. Who says there are no more heroes?
2728,I'm sick.
2737,My tummy hurts and I've been having this burning electrical discharge.
2740,I'm 40% zinc.
2747,"I was wondering where I put that.  Hey, now I feel much better! Thanks, Professor. And, Amy, I'm sorry I took your watch."
2749,What should we point it at first?
2751,"Wow, neat! Mind if I try that again?"
2753,"Whoa, mama! Hold still, sexy lady."
2755,That's no lady!
2757,"Hey, bite my shiny metal ass!"
2760,"Huh, w-what? I didn't hear you. I was too busy using this F-ray to look inside of things."
2762,"Ah, this thing stinks."
2765,"You did it, Fry! You found the winning bottle-cap! We won!"
2768,Hey!
2773,"Wow! The original party worm!  Are you ready to get down, get funky with us?"
2782,Look! Flowers! And a boat!
2791,"(whispering) Psst, those berries. Those are the secret ingredient, right?"
2793,You positive?
2795,I'm just asking cause they look kind of secret.
2820,"OK, OK, we get the point."
2823,(shouting) Shut the hell up!
2831,Everybody was doing it. I just wanted to be popular.
2832,Ow!
2834,And why is the Slurm pouring into this sewer?
2853,"Oh, Lordy!"
2858,"I'll save us!  Oh, that feels good!"
2861,"Uh, your majesty, I brought the prisoners."
2871,"Look, we just came to party with Slurms MacKenzie. By the way, when is that scheduled?"
2874,"Ah, this trip is turning into a big letdown."
2887,I can't see what's happening. Are we boned?
2891,What's happening?  Just in time!
2895,Slurms MacKenzie?
2899,Forget it pal.  It says on this bottle-cap you have to party with us.
2901,"No can do, Slurms!"
2911,"Party on, Slurms!"
2921,"Yeah, that Slurms sure loved to party. Whattya say we all party one last time for him?"
2924,(simultaneously) For Slurms!
2928,"Hey, that's not that bad."
2935,"(shouting) Ow, my head! My precious head!  (talking) Stupid can opener. You killed my father and now you've come back for me!"
2937,"Yeah, I guess so. But I don't see why we keep this ticking time-bomb around just for that dumb animal."
2939,No.
2941,I'll pet him. I'll pet him with both hands!  Ow! My ass! Get off!
2943,"Ah, it's nothing a lawsuit won't cure."
2945,"Hey, I got a busted ass here, I don't see anyone kissing it."
2949,"What's that you say there, doctor? You're gonna have to put him down?"
2951,Terrible shame that. Shall I do the honours?
2953,You about done?
2962,(sarcastic) I'd be cuddly too if someone gave me a new cape.
2964,"Ooh, me! Everyone watch how good I am. And the crowd goes wild! What prize do I get? Cash?"
2968,You call that talent? Gather round old Bender and get ready for the show of a lifetime.  Ta-da!
2973,"Hey, what about this?"
2975,"Fine, we'll have rack of Nibbler."
2977,"So it's a cake you want, is it? I'll make you a cake you'll never forget."
2978,"That'll take care of those annoying rats.  Now, to bake a cake so delicious they'll have no choice but to love and worship me."
2979,There! This'll teach those filthy bastards who's lovable. Now all I have to do is spell check it and it's ready for my admiring public.  No! Get away from there!  That's it.
2980,Happy birthday!
2982,Hey! Can't you see I'm using the toilet?
2984,"Well, step one, I had to lift the seat. That was the first little annoyance. Am I right, men?"
2986,Only one way to find out.
2988,Of course I do. Right now I feel sorry for you.
2990,"Yeah. I mean, one cantaloupe-sized bloodshot eye? You ain't winning no beauty pageants, lady."
2995,"Bet you weren't expecting that one, Calculon!"
3001,"Hey, what the hell are you doing with my head?"
3003,Why don't you just use a potted plant like Fry?
3007,Ooh! Ow! Son of a-- Careful with that! Ow ...
3009,... Ow! Professor!
3011,Ow!
3013,"My God, I'm overcome with ... feelings. I'm experiencing a powerful yearning to ... to cram my gullet full of mackerel heads."
3016,"Now I'm worried that I'm not as smart as Leela, but at the same time I feel relieved that I'm cuter than her."
3019,This time I miss Nibbler and I'm feeling nosy and opinionated.
3023,Happy. I like this feeling. Just don't revert to your usual mopey self.
3025,"Anger, huh? How dare you make me feel anger, you one-eyed jerk with a dead pet!"
3030,(crying) I miss Nibbler.
3032,"Hell, no! It's Leela's stupid feelings. Why can't she just drink herself happy like a normal person?"
3033,"Uh-oh, jealousy.  (shouting) You think you're so hot!"
3035,The only reason you get all the guys is because you dress like a tramp!
3039,(crying) I'm so lonely. I'm gonna go eat a bucket of ice cream.  (crying) A bucket of ...
3041,"I'm at the end of my rope. I can't live another minute without poor, sweet Nibbler."
3043,Really?
3045,"Hmm, sewers.  Thinking, thinking, thinking."
3046,"Hang on, Nibbler. Uncle Bender's coming to save you.  Damn, it's too small. What did those human design this for anyway?  Aha! Bender, one; toilet, zero! See you on the other side!"
3066,I never should have thrown out the manual.
3068,I know. But I just missed Nibbler so much.
3070,(crying) He was so sweet.
3073,(shouting) Nibbler?
3077,(simultaneously) Idiot.
3091,"You guys realise you live in a sewer, right?"
3096,Eh.
3099,Nothing but crumpled porno and Ayn Rand.
3104,"(shouting) Come to Daddy, sweetie-ookums."
3107,Then what are those?
3118,"Hey, yeah!"
3125,"Oh, I made myself feel bad."
3131,"Nibbler! Aw, come here precious!  Look everyone, it's El Chupanibre."
3133,Say what?
3137,I'm too scared.
3143,"Listen to me, Leela: I'm an expert at not caring. The secret is to stop giving a rat's ass about anyone else and start thinking of the things that you want, that you deserve, that the world owes you."
3145,Bigger! Bigger!
3147,"Don't stop now, you'll need some pants to go with that outfit."
3149,"Bender is back. I'll save you, Nibbler."
3155,No thanks.
3159,I love you too.  Get that stupid chip out of me before I kill myself!
3163,"And I still barely felt anything. Goodnight, losers!"
3169,"Hmm. Get him, boys!"
3172,Nope. Watching cartoons.
3194,(whispering) He means you guys did it.
3250,Yeah?
3253,"Yeah, Fry already wiped off some of the dirt with his finger."
3268,I'm Bender. You know? The lovable rascal.
3272,And mean.
3276,"Hey, this guy's alright!"
3284,They're not very heavy but you don't hear me not complaining.
3288,"Hey, here's an idea, let's deliver all the pillows at once."
3292,Uh-oh.
3294,"Some breaking occured, the dolly was involved, that's about all we know."
3297,I'll start loading up the pillows.
3301,"(mocking) I'm Leela, get to work, neh neh neh."
3307,This is all Leela's fault.
3312,Beer?
3316,"You're outta here, lady. Zapp's the new captain."
3324,"You got it, genius."
3329,"Don't worry, Leela, soon we'll be able to look back on this and laugh."
3333,To the ends of the universe.
3336,"Yes, sir, sir!"
