,Quotes
1675,"Good news, everyone. Tomorrow you'll be making a delivery to Ebola 9, the virus planet."
1677,Because tonight's a special night and I want all of you to be alive. It's the Academy of Inventors annual symposium.
1679,It's the event of the scientific season. Every member presents an invention and the best one wins the Academy prize.
1681,"Oh, my, yes. But not this year, because my latest invention is unbeatable. Behold! The death clock.  Simply jam your finger in the hole and this readout tells you exactly how long you have left to live."
1683,Well it's occasionally off by a few seconds. What with free will and all.
1686,"Oh, my, yes."
1688,"That's me at the very first symposium. I'm the Academy's oldest living member, you know. These youngsters all look up to me."
1690,"Why don't you just leave me alone, Wernstrom?!"
1692,You young turks think you know everything. I was inventing things when you were barely turning senile.
1695,A hundred years ago he was my most promising student at Mars University. But then after one fateful pop-quiz...
1697,I'm sorry but penmanship counts.
1699,And here it is: Slightly over 99 years later and still no revenge. I'm essentially in the clear.
1708,Let's just say it'll put you young whippersnappers in your place!
1710,"Uh, last year, you say?"
1712,"Oh, my! Did it put you young whippersnappers in your place?"
1714,"Oh, dear, I'll have to invent something new in the next ten minutes. Perhaps some sort of death clock."
1717,"Just a second, just a second."
1719,"Uh, yes, here I am, OK, now, hello there. Now, we all know telescopes allow us to see distant objects. But what if we want to smell distant objects? Well now we can! Thanks to my new invention...the Smellescope."
1721,"The odour travels past this coffee stain here, around the olive pit and into this cigar burn. And this appears to be a, doodle of myself as a cowboy. But the Smellescope is brilliant, I tell you! Think of the astronomical odours you'll smell thanks to me.  Oh, my!"
1724,Perhaps 149 is just too old to be a scientist.
1727,"By God, you're right! I'm going to build that Smellescope!"
1728,Eureka!
1730,"No, I remembered that I'd built one last year. Go ahead. Try it. You'll find that every heavenly body has its own particular scent. Here, I'll point it at Jupiter."
1732,Exactly! And now Saturn.
1735,"I'm sorry, Fry, but astronomers renamed Uranus in 2620 to end that stupid joke once and for all."
1737,"Urectum. Here, let me locate it for you."
1739,"What is it?  Oh, jeez! Oh, man! Remarkable! A stench so foul is right off the funk-o-meter. I dare say Fry may have discovered the smelliest object in the known universe."
1742,"Hmm, perhaps the computer can calculate its trajectory.  My God! Whatever it is it's headed straight for us. With enough force to reduce this entire city to a stinky crater. We have less than 72 hours."
1745,Ah! Just as I thought. The answer lies in this movie I found on the Internet.
1748,Actually that's still true.
1751,"So that's the situation. Due to the short-sightedness of Old New York, New New York is going to be destroyed by a giant ball of garbage."
1762,Please! There's no time for this now. This is an emergency. We must warn the mayor.
1764,"Very serious, Mayor Poopenmeyer."
1766,Wernstrom!
1768,"No, I'm here because a giant trash ball is heading straight for us. Smell for yourself."
1784,But suppose we send a crew to plant an explosive precisely on the fault line betwen this mass of coffee grounds and this deposit of America Online floppy disks.
1788,"Now, you'll only have one chance to destroy the ball. After that, it will be so close to Earth that blowing it up would cause garbage to rain over the entire planet, killing billions."
1790,"Now here's the bomb I've prepared. Once you activate it, you'll have 25 minutes to get away."
1792,"Now, now, there'll be plenty of time to discuss your objections when and if you return."
1815,"Oh, how could I have put that bomb timer on upside-down? I could swear I followed the manual precisely.  I'm a dried up husk of a scientist. This is all my fault."
1818,Wernstrom!
1831,"Wait! If we could build an object the exact size, density and consistency of the garbage ball, it might just knock the ball away without smashing it to bits."
1833,"Alas, I don't know."
1835,Good Lord! A second ball of garbage! That just might work!
1845,"If my calculations are correct, this garbage ball will knock the other garbage ball directly into the sun."
1848,"Five, four, three, two, three, four, five, six..."
1851,Burning garbage!
1854,"Yes! In your face, Wernstrom!"
1859,Exactly! It's none of our concern.
1915,"Good news, everyone! Today you'll be delivering a crate of subpoenas to Sicily 8, the Mob Planet!"
1948,Yes.
1975,If only he had joined a mainstream religion like Oprah-ism or Voodoo.
2072,"Oh, great news, everyone."
2074,In that case I'll have to hire a new crew to go on our company vacation.
2078,It's just my way of thanking you for not reporting my countless violations of safety and minimum wage laws.
2080,"I've booked us all on the maiden voyage of the largest, most luxurious space cruise ship ever built.  The Titanic!"
2092,"Ah, here's my stateroom."
2094,"Now, Hermes, you and your lovely wife LaBarbara have the suite through there. And Dr. Zoidberg, your marble tank is on the other side."
2096,It'll seem even nicer once you've seen your room.
2172,Ow!
2181,Though it did get me some action!
2206,"Wait, I'm confused. Now tell me, Fry, which one of these ladies are you involved with?"
2233,(shouting) I'm too young to die!
2264,Thank God there are plenty of escape pods; We won't have to dress up like women and children.
2272,I don't feel well!
2290,"Oh, yes, absolutely!  Not a chance!"
2295,"Good news, everyone.  We've got a very special delivery today."
2297,Me.
2299,"No, I need it shipped to my office at Mars University.  It's a little experiment that may well win me the Nobel Prize."
2301,"I don't care, they all pay the same."
2303,"Oh, my, no.  Off we go!"
2305,"Well, in those days Mars was just a dreary, uninhabitable wasteland, uh, much like Utah. But unlike Utah, it was eventually made livable, when the university was founded in 2636."
2308,Of course.
2309,Over here is Wong Library. It has the largest collection of literature in the Western universe.
2338,"That's true. By current academic standards, you're merely a high school dropout."
2344,Same thing I teach every semester: The mathematics of quantum neutrino fields. I made up the title so that no student would dare take it.
2346,"Please, Fry, I don't know how to teach; I'm a professor!"
2348,Oh!
2363,"Ah, Fry, I see you've met Guenter!"
2365,Guenter is my experiment. He was the top secret contents of this stinking crate.
2369,"Oh, please! That's preposterous science-fiction mumbo-jumbo. Guenter's intelligence actually lies in his electronium hat which harnesses the power of sunspots to produce cognitive radiation."
2372,"Please, stop bickering. I arranged that you be roommates for a reason: So I'd only have to remember one phone number. Now shake hands and make up."
2406,"And therefore, by process of elimination, the electron must taste like grapeade."
2408,Until 5pm?
2410,"Don't be jealous. Without his special hat, Guenter might be no more intelligent than you."
2412,"Fry, that monkey is my most important experiment. If you two don't stop fighting I'll have you both neutered."
2419,"Oh, I'm glad you made it, Guenter because in honour of parents weekend I have a special surprise for you."
2424,What's that they're flinging at us?
2444,"Look at him, I'm so proud."
2446,Not you.
2449,"Oh, I always feared he might run off like this. Why? Why? Why didn't I break his legs?"
2450,"(crying) Oh, poor Guenter."
2452,I'm afraid so. All he handed in was a paper smeared with faeces. He tied with Fry.
2454,You what? After I spent months slaving over a hot monkey brain?
2456,"But Guenter's obviously better off being intelligent. Tell him, Leela."
2458,What?
2460,What?
2469,Jungles? On Earth?
2471,Stand back.
2473,Don't worry. They'll be fine once the tranquiliser wears off.
2476,"Come on, Guenter, take the hat."
2478,Consider the philosophical and metaphysical ramifications of the--
2484,"Oh, dear Lord!"
2486,"Thank God this log is sturdy.  (shouting) Put on the hat, Guenter! You're the only one who can save us!  (muttering) Stupid monkey."
2489,Keep trying.
2493,We're saved!
2497,"Oh, that poor, sweet monkey. Well lets go gather him up. There's no sense letting him go to waste."
2500,"It seems to be working at only half-capacity, but I can fix it."
2502,But what about your super-intelligence?
2504,(screaming) Nooo!
2539,"Ah, here we are: Monument Beach!"
2545,"Come on, Zoidberg, I passed it right to you."
2551,"Eh ... wha?  Oh, oh, OK, I think there's one can left.  Oh, my."
2553,Like a cheap French harlot.
2574,"Oh, I should think so. Although last time aliens invaded all they did was force the most intelligent of us to pair off and mate continuously. (chuffed) Oh, yes!"
2621,"You'll be the captain, you'll be the delivery boy, and you'll be the alcoholic, foul-mouthed--  Oh, God, you're alive. I mean, thank God you're alive!  Sorry, check back in three days, a week at the most."
2645,(disappointed) I'm beginning to think there'll be no forced mating at all.
2648,"Well, Omicron Persei 8 is about a thousand light years away. So the electro-magnetic waves would just recently have gotten there. You see--"
2654,"No, there wouldn't be. Most videotapes from that era were damaged in 2443 during the Second Coming of Jesus."
2657,I have an old five-megawatt broadcasting tower in the attic.
2669,"Uh, (reading) Jenny McNeal, you are charged with jury-tampering in last week's case ...  ... on account of your hot, naked affair with the foreman. How do you plead?"
2674,"(reading) Your witness, Prosecutor Ramirez."
2683,"(reading) What say you, Single Female Lawyer?"
2695,"(reading) Miss McNeal, I'm afraid I must decline your offer of marriage. For, you see, I'm dying. Cough, then fall over dead."
2730,"According to Bender's temperature gauge, which I suggest you use next time, Leela, he's running a fever of ... 900 degrees."
2742,Or a big fat placebo. It's all the same crap.
2744,"It may well be the cause of Bender's illness. But more importantly, it's a flimsy pretext to try out my latest invention. To the laboratory!"
2745,"I call this the F-ray. It's like an X-ray only it allows you to see through anything - even metal. Now, the neutrino beam it emits is a tad dangerous, so you'll all need protective goggles. You may feel a slight stinging sensation - all of you-- All of you!  Aha! There's the cause of your illness."
2748,"Well, I've got to go take this suit to the decontaminators. You two lock up the F-ray and for the love of God don't let it fall into the wrong hands."
2781,"Oh, my!"
2783,Who are those horrible orange creatures over there?
2785,Tell them I hate them.
2842,Ooh!
2914,"Commissioner, my crew has made a horrific discovery: It seems that Slurm is produced in a colossal worm hiney!"
2918,"I'm not your grandpa, you're my uncle! From the year 2000!"
2925,(simultaneously) For Slurms!
2960,"Happy birthday, young Nibbler."
2991,"And so we say goodbye to our beloved pet Nibbler, who's gone to a place where I too hope one day to go: The toilet."
2998,"Actually, through the miracle of science, that can be arranged."
3002,I need to tinker in it.
3004,"Quiet, you. I'm installing an empathy chip."
3006,"Yes. If by ""allow"" you mean ""force""."
3008,"Oh dear, oh my. I got it. Once more."
3010,Steady now.
3012,There we go.  Now I'll simply tune it to Leela's emotional frequency.
3015,Hmm.
3057,"Oh, don't be so sure. Many scientists believe humans really could mutate down there. Uh, due to exposure to toxic waste and radioactive runoff and good old American faeces."
3157,That was a disgusting story.
3160,"Bender, you won't believe this, but the empathy chip burned out. The emotion you felt for Nibbler was actually your own."
3162,"No, I'm wrong. The empathy chip was running at triple capacity."
3165,So long!
3171,"Good news, everyone.  We have a mission to further the noble cause of intergalactic peace."
3175,It's a delivery for the Democratic Order Of Planets.
3177,"It's similar to the United Nations from your time, Fry."
3181,Tonight is the ribbon-cutting for the DOOP's new headquarters.
3183,Something without which no ribbon-cutting ceremony could proceed. The ceremonial oversized scissors.
3185,"Alright, but don't run with them."
3262,"Leela, who are you talking to?"
3264,"Why, you're that disgraced starship captain.  Having him on staff will distract people from our horrendous safety record. Come in."
3265,I'd like everyone to meet our new employees. (whispering) Which ones are new?
3267,"Hmm, I could swear I've never seen that robot before either."
3269,"Oh, yes, yes. My good friend, of course. Anyway, whoever you all are, I have good news. You'll be making a delivery to Stumbos 4, a planet with such high gravity you'll most likely be crushed under the weight of your own hair. Enjoy."
3383,(whispering) That a girl! If they don't take him back we can keep him as captain.
3386,"Oh, foo!"
3395,No time off.
3421,"But, like most politicians, he promised more than he could deliver."
3423,"Yes, that's a capital idea. Let's all go register."
3425,The very instant I became old.
3426,The problem with both parties is that they always want to give your tax dollars to the less fortunate.
3443,So what are you doing to protect my constitutional right to bear doomsday devices?
3445,"Damn straight! Today, the mad scientist can't get a doomsday device, tomorrow it's the mad grad student. Where will it end?"
3477,"Sold your body? Oh, Bender, I've been down that road. I know it's glamorous and the parties are great but you'll end up spending every dollar you make on jewellery and skintight pants."
3535,Don't you have a self-destruct button?
3612,I can't believe it. He won by a single vote.
3630,"Come on, everyone. Perhaps some skiing will help us forget the mouldy old antics of Conan O'Brien."
3660,Wha?
3663,What-mas?
3670,Eh wha?
3672,"Pine trees have been extinct for 800 years, Fry. Gone the way of the poodle and your primitive notions of modesty. Ah! Brisk!"
3674,"There, there."
3687,"Yes, and the only one of her species in all the known universe. What a lonely life."
3693,"You should be ashamed of yourself, Fry. You'd have to be blind not to notice that Leela's a cyclops."
3695,Oh?
3713,Good Lord! He doesn't know about Santa Claus.
3715,"Back in 2801, the Friendly Robot Company built a robotic Santa to determine who'd be naughty and who'd been nice and distribute presents accordingly. But something went wrong."
3717,"Wait, you fool! Due to a programming error, Santa's standards were set too high and he invariably judges everyone to be naughty."
3719,Nice meeting you.
3743,Huh? You were gone?
3799,"Oh, dear. They'll be killed on our doorstep. And there's no trash pickup until January 3rd."
3801,Quick! The armour-plated chimney cover! Push! Push!
3813,"Yes, good thing I got us out of that one!"
3830,"Merry Xmas, everyone!"
3869,"Now, now, this won't do. Let me just give old Zoidy a sedative."
3875,Mm-hm...  Oh-ho!  Aha! There's the problem.
3877,"Relax, my chiton-y chum. There's no problem. You're just heavy with male jelly."
3879,It must be mating season for Zoidberg's people. A chaotic time when his behaviour is dictated by the tiny brain in his rump.
3881,There's only one thing we can do...
3883,"...We, by which I mean you, will have to rush him to his ancient homeworld which will shortly erupt in an orgy of invertebrate sex."
4141,Do I hear wedding bells?
4143,"Really? Oh, dear."
4313,I still don't understand why you wouldn't let me graft a laser cannon onto your chest. To crush those who disobey you. But I guess we're just two different people.
4404,We did all we could.
4406,Good as new? Yes.
4407,"Leela, Zoidberg, the rest of you, this is Flexo."
4450,Everyone get in bed with me. I have something to show you.  Feast your eyes on this!
4455,"It's a single atom of jumbonium. And element so rare, the nucleus alone is worth more than $50,000."
4457,"100,000. That's why I hid it here. Under my mattress."
4459,Why certainly.
4460,"The atom sits atop this dime stored tiara which will be awarded to the winner of this years Miss Universe pageant on the planet Tova 9.  Your job is to deliver it, safe and sound."
4466,"Due to the atom's tremendous value, Planet Express would go bankrupt if it was stolen. Therefore we'll need to hire on additional security for the mission."
4469,Flexo's great you say? Well that's good enough for me.  Welcome aboard lad.
4585,"Good news, everyone. I've taught the toaster to feel love.  And Hermes returns from his vacation today."
4590,Yo!
4600,"Sounds great, Hermes! Whatever you say. (whispering) Let's ditch him and go to the movies!"
4614,Down in front!
4651,Aw. They don't make movies like this anymore.
4655,"There are no rules. Two robots enter, one robot leaves. Then later the other robot leaves after being declared the winner."
4657,"Oh, did I mention the crippling, agonising pain? I'm pretty sure I did. Oh, yes, definitely."
4728,What the hell are you talking about?
4747,"Oh, good. Just let me put on my reading glasses.  Why, Zoidberg, there's a lovely photo of you in here."
4778,Poor little guy starved to death.
4789,"Good news everyone! Several years ago I tried to log on to AOL, and it just went through! Wheee! We're online!"
4790,Go ahead! Get into these net suits. I designed and tested them myself.
4792,Really? I guess when you're around it all day you stop noticing. Off you go.
4826,"Everyone please sign off, we have a delivery. Plus I have to use the phone -  Leela please tell the others that -"
4957,Saving a race of one-eyed monsters? Who could object to that?
4990,"No harm done. In the many decades you'll work to repay me for that shipment of popcorn you destroyed, you'll have plenty of time to search for your true home."
5095,That's a full time job.
5131,"Oh yes we must, yes."
5134,You can't just waltz into the Central Bureaucracy. It's a tangled web of red tape and regulations. I've never been but a friend of mine went completely mad trying to find the washroom there.
5136,Oh I've been there. Lot's of times!
5142,Well it doesn't look like I'll make it inside with the rest of you. Uh but good luck. Just leave me where I drop.
5153,Wonderful.
5168,"Dammit Hermes, just jump already. Stop hogging that healthy liver."
5208,"Well, it looks like I'll be needing my heroic bureaucrat back. At severely reduced pay of course."
5215,"Good news everyone, the university is bringing me up on disciplinary charges! Wait, that's not good news at all."
5217,"Yes but they won't listen. Everyone's always in favour of saving Hitler's brain but when you put it in the body of a great white shark (sarcastic) ooo, suddenly you've gone too far."
5219,"Listen to me you pompous frauds, if I'm going down, I'm taking you all with me. Dean Vernon, I know the truth. It was you driving your hover-car that night, not your horse. Dean Epsilon, I know all about your ""Department Of Pool Boy Studies."" And Dr Wernstrom...Werrrnstrom!"
5224,"And you Coach Smalley, or should I say ""Coach hairpiece""?"
5226,(muttering) Hundred and...what? Oooh!
5235,Eh wha?
5237,"Uh, what a pleasure it is to see my lifetime of accomplishments summed up in a 3-minute film. My best years are behind me. So much left undone. So little time."
5239,My life is over.
5245,So many loves half-loved. So many inventions half-invented. That damn time machine alone set me back 15 years.
5247,"There's no one to carry on after I'm gone. No one to take care of my work and my research and my fabulous fortune. By God, that's it! I've got to name a successor."
5250,There's no time to lose. I'm off to my lab to build a successor-naming machine!
5261,"Everyone, I have a very dramatic announcement. So anyone with a weak heart should leave now. Goodbye."
5263,"Oh yes, the announcement! As you all know, I am not long for this world..."
5268,...So I've picked my successor. It's someone in whom I have great faith - even though his mind is undeveloped and he's accomplished nothing.  My closest living relative...
5270,"My clone, Cubert Farnsworth."
5275,12 years ago I began the cloning process by removing some skin cells from one of the shaplier growths on my back.
5277,I left him in his first tube too long and he got squished up against the side.
5279,Let's find out.
5293,"Oh Cubert, come in here. I have something amazing to show you."
5297,As my successor I'm trusting you to carry on my work. These are just some of the half finished inventions you'll spend your life finishing.
5299,"That's my prizewinning smelloscope. If a dog craps anywhere in the universe, you can bet I won't be out of the loop. And this is my universal translator. Unfortunately so far it only translates into an incomprehensible dead language."
5302,Crazy gibberish!
5304,Why certainly. Step over here.
5305,These are the dark matter engine I invented. They allow my starship to travel between galaxies in mere hours.
5307,Of course not. That's why scientists increased the speed of light in 2208.
5309,And what makes my engines truly remarkable is the afterburner which delivers 200% fuel efficiency.
5311,Not at all. It's very simple.
5313,Now that's impossible. It came to me in a dream and I forgot it in another dream.
5315,Nothing is impossible. Not if you can imagine it. That's what being is a scientist is all about.
5322,Oh it's a gem of an evening! I feel so wonderful having someone to take over my life work! And it's all thanks to Cubert.
5324,You...wha?
5326,But-But what about my hopes and my dreams and my wonderful inventions?
5331,"Bad news everyone. By the time you watch this tape, I'll be gone. Leaving by nothing but a history of failure and my original hipbones. You see, I've been lying about my age. I'm not actually 150. I'm 160. Oh vanity, thy name is Professor Farnsworth. And now that I've nothing to live for, I've alerted the Sunset Squad robots to take me away."
5332,"Goodbye cruel world.  Goodbye cruel lamp.  Goodbye cruel velvet drapes, lined with what would appear to be some sort of cruel muslin......and the cute little pompom curtain pull cords, cruel though they may be a -"
5413,Eh...whuh...
5419,I'm as spry as a 140 year old.  See? I only broke one ankle.
5421,"Oh, they had me hooked up to a bizarre virtual world that seemed absolutely real."
5423,"It was as though I was living in a facility in Florida with hundreds of other old people. All day long we'd play bingo, eat oatmeal and wait for our children to call."
5425,"Oh my yes. Thank you all for saving me. Especially you my little clone. No matter what you decide to do with your life, I'm still proud of you."
5427,"Don't worry son. You will. Incidentally, you might want to read up on a condition known as ""wandering bladder."""
5429,No reason. No reason at all.
5435,Ah! The exact centre of the Atlantic Ocean. This seems the logical place for fish to congregate.
5437,Indeed so.
5443,"Yeah, cool."
5465,You'll never catch anything with that primitive technology. What you need is this fish pheromone.  The most potent aphrodisiac known to fishkind.  Uh-oh!
5467,"Oh, my!"
5470,"Bender, be careful. That's the ships diamond filament tether. It's unbreakable."
5472,It belonged to my grandmother.
5482,"It's not snagged, the mechano man has caught something!  Sweet Zombie Jesus! It's huge!"
5485,A colossal-mouth bass!
5491,"Dear Lord, that's over 150 atmospheres of pressure."
5493,"Well it's a spaceship, so I'd say anywhere between zero and one."
5497,That should do it.
5509,Not necessarily. This is chance for Fry to test out my experimental anti-pressure pill.
5511,Well then good news! It's a suppository.
5530,"You're simply hallucinating, you ... moron."
5535,He may have ocean madness but that's no excuse for ocean rudeness.
5559,I'm almost finish reconfiguring the ships propulsion system. We can leave as soon as the paper-mâché is dry.
5562,"No, I've been busy."
5565,"We'll form a search party. Now, we'll need oxygen."
5567,"Ooh, that reminds me: You've all taken your pressure pills, right?"
5572,Could it possibly be? Are the old legends true?  It is! It's the fabled lost city of Atlanta!
5575,"This is uncomfortable and humiliating. Now, if they could put it in the form of a suppository."
5595,"Yes, we all miss our loved ones and gases. Come on, Fry."
5599,"Fry, you half-mad, half-insane maniac, be reasonable. Don't you realise that if you stay at this depth your body will permanently adapt to the pressure?"
5601,It means you'll never be able to return to the surface.
5603,(shouting) I'm bored! Let's go!
5608,"(shouting) Let's go, damnit! Let's go!"
5612,Bye.
5626,There! The engine modifications are complete.
5698,Oh my. That steamed carrot was a bit spicy for me.
5711,Holy Zombie Jesus!
5742,"You look beautiful. Incidentally, my favourite artist is Picasso."
5744,"Better yet, I'll build someone to fill in for you.  Some kind of gamma powered mechanical monster, with freeway on-ramps for arms and a heart as black as coal..."
5876,Where am I now?
5956,"(shouting) Hey! Unless this is a nude love-in, get the hell off my property!"
5958,"I can, but that's because I'm not a penniless hippie."
5986,"There's one way, and only one way, to determine if an animal is intelligent. Dissect its brain!"
5988,Enough chit-chat. Restrain the specimen!
6039,"Dear Lord, they're back!"
6139,A toast to Leela. She showed us it's wrong to eat certain things.
6151,"Good, good."
6155,Toss me the speech centre of the brain!
6240,Good news. There's a report on TV with some very bad news.
6253,Moron!
6267,It'll be the end of civilised society.
6283,We could use my new invention: A pointy rock tied to a stick.
6285,Defend the fire!
6287,Wha?  W-What do you want from me?
6290,Played pelvic pinochle? I'm afraid so.
6292,"It's a humiliating story that I hope never to tell. Well, pull up a chair."
6293,"(voice-over) Our paths first crossed when I was a researcher at Mom's Friendly Robot Company.  The moment our eyes met, we knew we'd be going at it like woodchucks."
6294,"(voice-over) She was my first love - or at least the earliest one I can still remember. But then, 70 years ago today..."
6295,"Good news, Mom. I've invented a new children's toy.  I call it ""Q.T. McWhiskers""! When you pet it, it shoots rainbows from its eyes."
6298,"But things 8 feet tall aren't cute! That's why my Colossal Tammy Tinkle Doll was such a failure. Oh, you don't understand me. We're finished!"
6302,Make up with her? After she went all psycho when I thought everything was cool? Impossible!
6312,The thought of caressing that leathery hide makes the tapioca rise in my gullet.
6314,"Very well. If cop a feel I must, then cop a feel I shall!"
6316,Never fear. My magic fingers still know how to do their stuff!
6326,"Show us this, ""the wheel""."
6335,I'm ready to seduce. I'm wearing my kissing dentures and my evening truss.
6339,I was out fleeing some robots and the silvery moonlight glinting off their bloody claws made me think of you.
6341,Uh-huh. May I come in?
6345,"Here, I brought you these."
6347,You favourite what? Why does my foot hurt?
6351,"And you broke mine. Granted, that was four or five hearts ago."
6353,"Oh, inventing, sending delivery crews to their doom, breeding atomic monsters."
6355,And your skin still dangles so gracefully from your neck.
6357,"No, it was silly of me to object. One foot tall, eight feet, 15 feet; what does it matter?"
6359,"16 feet? Go to hell! I was a fool to think you'd changed, you old bat!"
6361,(shouting) Damned she-fossil!
6363,"(thinking) Here we go. Just unhook it and get the remote. So many hooks! Come on, Farnsworth. Drat, the first one's back on again! I give up! Wait! Victory!  Oh, my. Now I'll just...the remote...I'll just... (talking) Oh, my."
6369,"Oh, yes."
6387,"I love you, Mom. Let's grow ancient together."
6390,"Look: It started out as a calculated plot to rummage through your underwear. But once I got in there, I found more - much more. And now I want to shout our love from the rooftops. Perhaps I'll breed some sort of albino shouting gorilla."
6392,"But, dustcakes..."
6395,Yes. But I'll always love her in my own subtle way.
6401,"Good news, everyone! I've invented a device that allows you to operate equipment from great distances. I call it ""the fing-longer"".  Observe.  And, here we go.  There!"
6405,"Pretty long, eh?"
6407,"Oh, that's just the What-If machine I invented. You pose it a What-If question and it generates a video simulation of what would happen."
6409,Of course it works!  It's just not very long.
6423,Nothing except and even equally big monster. This is chance to try out my experimental enlarging ray. But we'll need a guinea pig.
6425,Gotcha!
6442,"Well, Leela, care to give the What-If machine a whirl?"
6449,"Leela, could you come in here for a moment. I have something important to tell you."
6450,"I can't live forever and I need an heir. Someone to spend my vast riches and take care of my man-eating anteaters when I'm gone.  The others simply aren't level-headed enough. They're too impulsive. Not like you. Not like old, predictable, dull-as-dishwater Leela."
6452,"That's why I've made you my sole heir. The day I die, you'll be a very wealthy woman. Oh, my, yes. Incredibly wealthy. The day I die. Because you're so unimpulsive."
6508,Who else has a question for the What-If machine? Scruffy? Fry?
6512,We're not seeing it again! Ask something less stupid.
6514,"That question is less stupid, though you asked it in a profoundly stupid way.  What would happen if Fry never came to the future?"
6517,It appears that the very fabric of space-time has ripped.
6587,"That story was preposterous. Stephen Hawking in a pizzeria! This thing isn't worth the gold it's made of.  Anyway, the fing-longer seems to be arousing success."
6591,So that's what things would be like if I'd invented the fing-longer.  A man can dream though. A man can dream.
6606,Fuf! Superstitious robot mumbo-jumbo.
6608,"Yes, you idiot.  The circuit diagram is right here on the inside of your case."
6621,Hmm.  It has motor eye sensors attached to motion detectors.
6633,"Just as I suspected. These robots were buried in improperly shielded coffins. Their programming leaked into the castles wiring through this old, abandoned modem allowing them to project themselves as holograms."
