,Quotes
492,Really? That'd be great! You sure I won't be imposing?
495,"Cool! Y'know, I've never even seen a robot's apartment before."
498,It's kinda cramped in here. I don't even have room to hang my clothes.
500,"Wait, Bender. Bender?"
502,"Bender, wake up!"
504,"Uh, listen, Bender, uh, where's your bathroom?"
506,Bathroom.
508,Bathroom!
510,"Ah, never mind!"
515,"Oh, it's Bender's apartment. He put in carpeting yesterday so now my head hits the ceiling. Hey, do you realise you're standing at a weird angle?  Now you're OK."
517,(sexily) Is that an invitation?
519,"Yeah, but he might get kind of upset. I don't think I can do that to him."
521,"Well, I'm moving out!"
523,"I'm sorry, Bender, but there's just not enough room."
532,"Hmm, I'm not sure we want to pay for a dimension we're not going to use."
533,"Well, I give up. What's the catch?"
535,Not one place even remotely liveable.
542,"Well, this place has everything except the only thing I care about: A TV."
545,Ooh!
547,"Man, it's a total sty! For the first time in a thousand years, I feel like I'm home."
551,"Ooh!  Hey, Amy!"
555,"Hey, hang on, All My Circuits is about to start!"
557,Hey!
560,"Shh, the wedding's about to start!"
562,Is he objecting or backing up?
569,It just went out.
572,"(shouting) Come back, Bender, its working!"
574,It's out again.
576,It's back on!
598,"It's tempting, but, well, I am already kinda settled in here."
600,"Uh, listen, is there maybe some way we could do this with you going and me not going?"
602,"Well, you were gonna live in the closet anyway. Won't you be just as happy back in your old place?"
604,I'll come visit sometime. And you can visit me here.
606,"Anyway, I'm sure it'll work out. This way we'll both be happy."
617,"Hey, thanks for coming."
619,"Ah, come on. Bender loves mobs."
621,Don't girl me with that girl stuff. Bender and me are guys. Guys don't have feelings.
623,Same thing.
638,What up?
640,Silent? You've been meddling for two solid weeks.
642,Really? I didn't think he'd miss this apartment that much.
644,"Oh, man. I had no idea. If only I knew where he was I'd go talk to him."
645,"Oh, stupid TV!  Bender! You're blind stinking sober!"
647,Don't do it!
650,Cutting Leela's head off won't solve anything!
652,"Hey, yeah! That sounds good. Can I give you a hand?"
654,But it's a useless antenna. It's not like he's a ham radio or something.
656,"Hey, it works! The static's gone."
662,She's right.
664,"Apology accepted. After all, you're only human."
666,What's wrong?
668,"Aww, this isn't right. Listen, Bender, if we found your antenna could they still reattach it?"
673,It's good to be home.
675,"So that's where those skin flakes went. Hmm, do you think this fruit tree's going to get enough light?"
677,"This is huge! Bender, why don't I just live in here?"
684,What was wrong with your date last night?
687,"Yeah. If you rule out every guy with a lizard tongue or a low I.Q. or an explosive violent temper, of course you're gonna be lonely."
699,Why's everyone wearing those rings?
701,I think they look cool.
716,No way! We've got so much in common.
718,"Uh, yeah! That rings a bell."
728,"Psst, I need the apartment tonight. Go see a saucy puppet show."
734,A delivery?
750,I bet you Leela's holding out for a nice guy with one eye.
752,"Yeah, that'd be a timesaver."
764,Wow! The Zapp Brannigan?
766,Who's the Zapp Brannigan?
770,Wow!
773,(teasing) Leela's got a boyfriend!
787,I heard that one time you single-handedly defeated a horde of rampaging somethings in the something something system.
789,Wow! I never would have thought of that!
805,What just happened?
807,Dang! Can I get this wrapped up?
838,"We can definitely escape, Bender. All you have to do is bend the hatch off this steam pipe."
840,No good! It's full of steam!
857,You wanna try escaping again?
859,"Man, Leela's been gone a long time. I hope she's at least making progress with Zapp Brannigan."
878,Really? Why?
880,What does that mean?
887,"Yeah, a barbecue! I'll wear my hilarious apron."
897,Where'd they all go?
899,I can't believe we flew halfway across the galaxy and enjoyed a steam just to get lunch for that stupid animal!
902,The planet's kerploding!
905,"Man, lucky for us Zapp Brannigan's nearby."
907,What? What are you talking about?
910,"How could you, Leela? I thought you had some standards. I mean, jeez, he's a dumb, gross gorilla!"
912,No!
930,"Wow, way to tell that guy off. Now what's your secret escape plan?"
934,Pew!
940,We're heroes!
949,"It really puts things in perspective. I mean, from up here an entire world can seem utterly insignificant."
951,I don't get this. Is blernsball exactly the same as baseball?
954,"Boring? Baseball wasn't -- hmm, so they finally jazzed it up?"
955,Home run! Ha ha! Yay! Right?
957,What just happened? Why is the ball on that springy thing?
965,"Mmm, at least hotdogs haven't changed."
967,Me!
971,"Hey, I'm starting to get the hang of this game. The blerns are loaded, the count's three blerns and two anti-blerns and the infield blern rule is in effect, right?"
981,What are you talking about? There's all kinds of robots down there.
983,11?
986,What's wrong?
992,"Well, aren't they?"
995,Why is that great news?
1004,Really? Which one?
1007,"Man, that one was a blast!"
1012,So let me get this straight: This planet is completely uninhabited?
1014,Oh. Kinda like how a warehouse is inhabited by boxes.
1020,"Yeah, but I guess I'd be kinda angry too if I had to go to some uninhabited planet."
1023,"Ah, Bender must be done with the delivery."
1025,"Oh, my God! We have to go down and rescue him."
1027,W-what are we gonna do?
1030,"(mechanical voice) I am fully operational, captain."
1032,I can sorta dance like a robot. Will that help?
1034,"Man, we look stupid. We should've gotten store-bought costumes."
1039,"Uh, yup! Just two robots out roboting it up!  Eh?"
1043,(whispering) C!  (talking) Is the puppy mechanical in any way?
1054,I can't. I have to go to the bathroom.
1056,"Oh, right. I wonder where they smoke in high school."
1060,Uh...
1062,"I think the leak's stopping itself. Wait. Wait. Yeah, there we go. Wait. Yeah!"
1075,"Wow, the 3-D's great!"
1080,God help us!
1083,"Umm, too much romance, not enough human killing."
1089,I'm over here.
1093,It's him! He's OK!
1095,Ahh! It's good to hear his voice!
1097,My God! He's become evil.  I mean eviler!
1112,Psst! Bender!
1114,We've been looking for you. Last we heard you were under arrest as a human sympathiser.
1118,We're rescuing you.
1120,Say what?
1122,"But, Bender, we're your friends."
1124,That's not true.
1126,"Bye, Bender. I'll miss you."
1134,"Hey, wait a minute! Isn't anyone going to defend us?"
1142,Call technical support.
1145,No!
1150,"Oh, yeah."
1153,You don't look very old.
1159,But the judge already sentenced us at the trial!
1169,Damn right!
1181,Stop! Take one more step and I'll breathe fire on you!
1187,"So long, suckers!  Uh, hello, suckers!"
1192,We wanted to show you that we really do respect your robot heritage.
1195,But that doesn't make it any less meaningful.
1199,"I can't take it anymore! They've been at it for hours!  (shouting) Give it a rest, you two!"
1202,"Uh, excuse me? I missed a few lectures. Uh, what subject is this?"
1204,What a nightmare!
1207,What a weird dream! I'll never get back to sleep.
1208,So you're telling me they broadcast commercials into people's dreams?
1210,"But, how is that possible?"
1212,That's awful. It's like brainwashing.
1214,"Well, sure, but not in our dreams. Only on TV and radio. And in magazines and movies and at ball games and on buses and milk cartons and t-shirts and written in the sky. But not in dreams. No siree!"
1222,Cool.  Can I try these on before I buy them?
1224,: Ooh! Ho ho ho!
1228,$30? I can't afford that. Unless... Do you take Visa?
1230,American Express?
1232,Discover card?
1235,"No, I can't afford them. Being poor sucks. What kind of world is this where they advertise things not everybody can afford?"
1238,Hey who's the rocker jockey?
1244,"Hey, Bender. Sounds like you could use a little of that oil."
1249,"78, 79. 79.50. Crud! We're 50 cents short."
1251,"Hey, that's my old bank. Maybe my account's still open."
1253,"Yeah, well, I did open the account over a thousand years ago. What about my ATM card?"
1255,"Sure! It's the price of a cheese pizza and a large soda back where I used to work, Panucci's Pizza."
1257,Alright!
1263,Pizza dinner on me!  Just keep the tab under $50 million.
1265,"Uh, yeah. We'll have one with everything but anchovies and one with my all time favourite topping, anchovies!"
1267,Anchovies? You know? Those little headless fish?
1270,What?!
1273,"So none of you has ever had anchovies? Oh, man! You don't know what you're missing. They were all salty and oily and they melted in your mouth and --"
1275,I just wished I could've showed you guys how great they were. I may be rich but I still can't buy back all the things I miss from the 20th century.
1277,So? What do you think?
1280,What's wrong with it?
1285,Yes!
1287,I have an idea for a sitcom.
1292,Anchovies?!
1294,"15,000!"
1297,"50,000!"
1299,Don't tell me how to spend my money.
1303,"100,000."
1306,500!
1308,Two.
1310,14!
1312,One jillion dollars.
1314,"Oh. In that case, 50 million."
1319,Now for some good old 20th century TV.
1321,"Ah, those were the days."
1324,Eh?
1326,I've been sitting right here. I picked up my life exactly where I left off a thousand years ago. Now if you'll excuse me it's 8 o'clock. Time to get biz-ay!
1328,I could if you hadn't turned on the lights and shut off the stereo.
1330,I'm rich! I can live whenever I want.
1333,"Junk? Maybe you can't understand this but I've finally found what I need to be happy, and it's not friends: It's things."
1335,Just leave me alone.
1337,"I don't need them. Not when I have my antique videos, my bucket of fossilised KFC and 50 million dollars worth of anchovies."
1368,I didn't order any --
1372,Where am I?
1374,"That sounds like me but, I thought I got frozen. Wasn't I in the future?"
1376,"So I'm really back? That's exactly what I wanted, I guess. Who are you?"
1378,You are? Did you grow a moustache since last night?
1383,"Hey, look! Anchovies!"
1385,Ooh!
1387,Uh...
1392,Wait. You're Pamela Anderson! Cool! What can I get you?
1396,"Uh, cheese and a --  That was quick!"
1398,10.77. Same as my PIN number.
1404,"Oh, I had a nightmare I was in the year 2000 and you guys never existed. I'm so glad I'm awake now and you're really here."
1407,"No, that's not true!"
1411,"Bender! Leela! Don't leave me. Wait a minute! Hey, buddy what year is this?"
1413,3000? Yes! I'm still in the future! Life is wonderful!  Wait! What are you doing with my stuff?
1415,"Oh, no, my ATM card! My secret PIN number! 1077. I've got nothing left. Except..."
1418,Leela! Bender! I missed you so much!
1420,I was robbed. They got everything except these.
1425,Sorry. But the anchovies aren't for sale.
1427,"You might as well put that chequebook away, because I've discovered something even more important. My friends. And they aren't worth even a penny to me. That's why these anchovies are going on a pizza, so I can share the food I love with the people I like."
1429,What a nice lady!
1430,"OK, my friends. Get ready for the most delicious extinct animal you've ever tasted."
1432,"Ah, no one likes them at first but they'll grow on you."
1434,There aren't any more. And there never will be.
1442,"Hey, what you watching?"
1448,"Its OK, Bender, I like cooking too."
1455,You're gonna be the ship's cook?
1459,Bam!
1460,So this is Little Neptune?
1465,Ooh! What's this?
1467,Wait a minute! This says Z-Ray.
1469,"Hmm, I can see where that would be an advantage. Do you take cash?"
1471,"I'm not a little kid, Leela. I grew up in this city. These are my people. What up?"
1473,See?
1474,Wow! You guys sell every kind of meat here except human!
1481,"Now that you mention it, I do have trouble breathing underwater sometimes. I'll take the gills."
1483,Can't imagine why I would.
1489,"I'm capable of making my own decisions, Leela. Did you ever stop to think I might be happier with gills?"
1500,(shouting) Hey Bender how's dinner coming?
1504,"Yeah, OK."
1507,That's the saltiest thing I've ever tasted. And I once a big heaping bowl of salt!
1510,My vision's fading. I think I'm gonna die.
1514,Ow!
1516,"Jeez, will you lay off! I was delivering things before you were born! I think I know what I'm doing."
1517,"Stupid slug. I've never been so thirsty. Oh, come on! Go down already!  Ah!"
1518,Hello? Anybody home?
1521,No! It wasn't me!
1523,I didn't mean to. He just looked so cool and refreshing.
1528,It could have been. But chances were equally good it was an Emperor.
1530,You might.
1534,I gotta go with Bender.
1537,"Gee, you think so, Captain? I'd better check with my Prime Minister."
1540,"Hey, thanks!  Wow! This got here just in time."
1542,"Umm, how about that one?"
1544,"On second thought, I'll take that one."
1547,"You don't have to beat around the bush, Leela, we all know who you're talking about...uh, me, right?"
1554,"There won't be a lot of long-winded speeches, will there?"
1556,Will there be cake?
1559,There you go.
1562,"Oh, yeah! Yeah, he's right!"
1565,So?
1567,"80,000 years?"
1569,Damn! I knew you wouldn't have asked unless it was really high or really low.
1571,Well at least my assassin will get what's coming to him.
1573,"Hey, I plan on having a few brewskis myself."
1575,"Yeah, I was going to thumb through that later."
1577,"Hell, no. If I stopped to think ahead, I wouldn't be Emperor. And I wouldn't even be here in the year 3000. It's just like the story of the grasshopper and the octopus. All year long the grasshopper kept burying acorns for winter while the octopus mooched off his girlfriend and watched TV. But then the winter came and the grasshopper died and the octopus ate all his acorns and also he got a racecar. Is any of this getting through to you?"
1579,Who asked you to? I told you a hundred times to stop treating me like a baby. Now go. Go gather your nuts you nagging grasshopper.
1581,I'll be fine. It's not like anyone's gonna drink me.  Quit it!
1583,What up?
1585,"Right! I, Fry, who drank Bont the Viscous, who drank Ungo the Moist, who guzzled Zorn the Stagnant..."
1586,"...who slurped Hudge the Dewy, who enjoyed a soup composed principally of Throm the Chunky, do solemnly swear to rule with honour and insanity - uh, integrity!"
1592,My tummy hurts!
1595,Ow!
1598,What am I gonna do?
1601,But won't that crush my bones?
1605,I could vomit or urinate. Would you feel better about that?
1608,That's a great idea! Crying.
1612,It's no use. I wanna cry but I'm just too macho.
1614,What do you mean? I was Emperor of a whole planet.
1616,These things happen.
1618,Phew! That's a load off my mind.
1624,She'll never help me. She's still mad that I told her never to help me.
1637,What the hell is that?
1640,This is the saddest day of my life. And I still can't cry.
1643,I can't believe it. She's risking her life for me after the way I treated her. I don't deserve this. I feel terrible.
1645,Is she alright?
1647,No. No!
1650,This can't be happening.
1652,"All Leela ever wanted to do was help me. But I was to proud, too stupid to accept it.  I wish I had died instead of her."
1654,Leela! You're alive!
1661,"Thanks, Leela. From now on, I'll take all the help you're willing to give. I know you just want what's best for me.  Ow! What was that for?  Hey, come on!  That hurt!"
1663,"(crying) Oh, now I understand."
1665,"(crying) Thanks, everybody. I love you all. You guys are true -- ow! Cut it out, Bender! That's a tender area!"
1669,"Hey, wait a minute! Who are you?"
1671,"Oh, you're welcome."
1678,Wow! I love symposia.
1684,Sounds like fun. How long do I have left to live?
1687,Who's the gross nerd?
1694,Who's that jerk?
1706,"Don't worry, Professor, it's no competition for your death clock."
1726,"No, Professor, don't give up. There were plenty of times in my century when I was gonna give up but I never did. Never! Hey, are you even listening to me? Oh, I give up!"
1729,Did you build the Smellescope?
1731,Smells like strawberries.
1733,"Pine needles. Oh, man, this is great! Hey, as long as you don't make me smell Uranus."
1736,Oh. What's it called now?
1738,"No, no, I think I'll just smell around a bit over here!  Hmm.  Hmm."
1744,So this thing's gonna destroy the whole city?  What the heck is it?
1747,Wow! You got that off the Internet? In my day the Internet was only used to download pornography.
1753,"Hey, hey, gimmie a break! What do you do with it?"
1757,The future is disgusting.
1759,"Hey! You have no right to criticise the 20th century. We gave the world the lightbulb, the steamboat and the cotton gin."
1761,"Yeah, well, they probably just copied us."
1794,"Hmm, sporty!"
1795,Wow!
1797,It's not filth. It's a glorious monument to the achievements of the 20th century. Look! A real Beanie Baby.  Oh! A Mr. Spock collector's plate!  Some Bart Simpson dolls!
1801,This junk isn't garbage! I can dig in any random pile and find something great.
1802,"(gasping) Alright, let's get to work."
1806,We're gonna die! (calmly) Right?
1811,We're saved!
1816,"No, it's my fault too. I'm sure I threw out more than my share of that trash up there. Also, one month my toilet broke and it just went straight in the garbage can.  Leela was right. The people of the 20th century were idiotic slobs. Especially me."
1834,"Uh, what about garbage?"
1837,Then it's time to make some more.
1839,Stand back and watch the master! This Slurm can.  Now it's garbage. These papers.  Garbage. This picture of your wife.  Pure garbage. Now you try it.
1841,"Good!  Don't finish that cruller, throw it away  Bender. Drink that beer and drop the bottle on the ground.  Very nice."
1843,People of New New York. Take a lesson from the 20th century. Stop all this pain-in-the-ass recycling and throw your garbage on the floor.
1844,Go ahead. Just chuck it any old place like I used to. Your city is counting on you.
1850,Oops!
1852,It worked!
1858,Who cares? That won't be for hundreds of years.
1860,That's the 20th century spirit!
1863,This is awesome! I've been waiting a thousand years to see a Beastie Boys show.
1865,Sure!
1870,Will you guys shut up! I'm trying to look cool.
1873,Wow! An old-fashioned mosh pit! Come on guys. Tonight we're gonna party like its 1999...again.
1875,"Man, these guys rock harder than ever!"
1887,"Wow! I love you guys! Back in the 20th century, I had all five of your albums."
1889,Cool! Can I borrow the new ones? And a couple of blank tapes?
1900,Hey uh Bender. What are we doing in this bad neighbourhood?
1904,Who was that guy?
1912,Bender? No way!  I definitely would've noticed something.
1917,I know Big Vinnie said he was giving me the kiss of death but I still think he was gay.
1919,"A little.  You OK, Bender?"
1925,What's happening? I-I feel weird!
1931,And you made me feel like a jerk for trusting you. Just like when my friend Richie swore he wasn't taking drugs and then he sold me my mom's VCR and then later I found out he was taking drugs. You make me ashamed to be your friend.
1944,Great he's whacked out on electricity again.
1946,Religon? Is this another scam to get free yarmulkes?
1967,Does that mean we can eat now?
1969,"Oh, uh, but I don't want to."
1973,Bender's stupid religion is driving me nuts.
1976,We've got to get the old Bender back.
1979,"Uh, this."
1983,"Whoa, whoa, whoa, wait, Bender. So long as we're here why don't we take in some, exotic dancing!"
1986,"Come on, it'll be fun! Maybe we could even drink a little fortified wine."
1990,And there's Hookerbot 5000. She's got a heart of solid gold!
1993,"Pfft, that's for losers. C'mon, sin your heart out."
1997,"Go for it, Bender. You know you wanna!"
2000,Look's like we got the old Bender back!
2005,"Well he didn't check out. The ashtray's still here.  Look, Nibbler's caught the scent of vodka and motor oil! Go, boy. Follow that stench."
2012,Wait! I remember this place. They shut it down after all those people caught salmonella from the flume ride.
2014,"Unbelievable. It's an actual, factual Robot Hell."
2016,Actually --
2031,(singing) I don't feel well.
2033,(singing) Maybe he likes it here in hell.
2035,(singing) Maybe he's back at the motel.
2037,(singing) My ass has blisters from the slide.
2039,"Bender, are you alright?"
2045,Wouldn't a solid gold fiddle weigh hundreds of pounds and sound crummy?
2048,"(whispering) No, do you?"
2056,Run!
2064,Good old Bender!
2070,Yeah. I'm never going to another planet called Cannibalon!
2077,This is great! I haven't had time off since I was 21 through 24.
2082,"Hey, uh, where's my suitcase?  Ow!"
2091,Huh?  Ooh! How do you do?
2095,"Man, first class seems nice!"
2099,Well at least we get a window!
2102,I guess that just leaves you and your fake fiancé ... all alone ... on a romatic cruise.
2104,
2138,"Yeah, it's pretty romantic-- Uh, I mean platonic. Th-That sure is one platonic view!"
2140,Hmm? Mmmm!
2143,"Well, you got anything else for him?"
2146,Hmm? Mmmm!
2147,"See you later, wuvvums!"
2149,"I'm not going out with Amy. It's just to fool her parents. Hey, you're not jealous, are you?"
2151,"Good, 'cause I consider my fake relationship with you a lot more meaningful."
2170,"Go, Professor!"
2192,"Thank you, sir."
2194,"Well, rest assured, Leela's the only girl for me."
2200,(whispering) Sure I can. I learned how to handle delicate social situations from a little show called Three's Company.
2204,"Um, let me think. Come and knock on our door, nuh nuh nuh nuh nuh nuh. Uh, Mr Roper--"
2207,Uh ...
2213,"Ah, now there's something we can all enjoy."
2218,"Hey, Leela, why'd you run off from dinner?"
2220,"Oh, look, I'm not actually interested in her if that's what's bothering you."
2222,"I know, we seem like a perfect match, but I just don't feel that way about her."
2224,Yeah.
2226,And me.
2228,Talk about a mood killer!
2236,"You're going back or the Countess, aren't you?"
2238,"I'll tell them you went out prying the wedding ring off his cold, dead finger."
2250,Then we're dead meat. No one could squeeze under there!
2273,Look! It's our nebula. Whenever I see it I'll think back to that moment when we almost--  Never mind!
2276,"Goodbye, Bender."
2280,Look!
2289,"Don't cry, Bender. Nobody really knows what happens in a black hole. It's possible she's still alive in another dimension somewhere. Right, Professor?"
2296,Who's it going to?
2302,Is it dangerous?
2304,Very impressive. Back in the 20th century we had no idea there was a university on Mars.
2307,Does that mean it's safe to breathe the air?
2313,What was your minor?
2331,"I tell you, being here really takes me back to my college days."
2334,Good old Coney Island College! Go Whitefish!
2336,"Oh, yeah?  Read it and weep. I'm a certified college dropout."
2339,"What?! That's not fair. I deserve the same respect any other college dropout gets. By God, I'm gonna enroll here at Mars University and drop out all over again!"
2341,"Aww, thanks for believing in me."
2343,"Oh, I don't know.  Hey, Professor, what are you teaching this semester?"
2345,Mathematics of wanton burrito meals. I'll be there!
2347,See you in class!
2357,"Hey, pretty nice for a single. Two desks, two chairs, a couple of beds.  A woodpecker."
2359,"Oh, right, cool. (shouting) C'mon in, roomie!  (talking) What the--?"
2361,My roommate's a monkey?
2364,You know each other?
2368,Is he genetically engineered?
2371,"I understood the word ""hat""!"
2373,You want a banana?
2375,I don't like you.
2376,This is gonna be a cakewalk!
2380,Swish!
2382,"I'm from the 20th century. Go ahead, ask me anything."
2384,Ooh ... I know this ... whatyya call it? Lite Brite!
2402,"So, Chrissy, we seem to be hitting it off. If you're not doing anything later might I escort you to a kegger?"
2407,"Sorry, I overslept."
2409,It's that obnoxious monkey. He kept me up all night with his constant thinking. Just thinking and thinking. He's trying to make me look like an idiot.
2411,I hate that rodent!
2413,That'll show him.
2421,Now these monkeys I like!  What's that? You wanna come out?
2426,"Hey, uh, Guenter? Why don't you get up on the chandelier with your parents and I'll take a picture?"
2431,You mean peer pressure?
2432,Look out! He's got a gun!
2436,"Hey, hey, cheer up. Not everyone turns out like their parents. I mean, look at me. My folks were honest hardworking people."
2441,"Look, Guenter, if you're so miserable here, maybe you should just go back to the jungle."
2445,"Thanks, Professor!"
2447,(screaming) Ow!
2453,I guess he realised I was right when I told him to go back to the jungle.
2455,"Hey, don't blame me. You tried to force Guenter to be a human but he's an animal. He belongs in the wild. Or in the circus on one of those tiny tricycles. Now that's entertainment."
2468,"Wow"" The jungles on Mars look just like the jungles on Earth."
2474,There's our man!
2477,"No, the banana, the banana!"
2479,"Banana, banana, banana!"
2487,No.
2494,'Preciate it Guenter!
2498,Guenter! You're alive!
2508,"Pizza delivery! Wow, so this is a real TV station, huh?"
2510,What are you showing right now?
2512,"Ah, I dunno. That's a chick show. I prefer programmes of the genre ""world's blankiest blank""."
2514,I'm in!
2520,Pfft! Like anyone on Earth cares.
2526,"Ow! Hey, quit it, Hermes. It's Labor Day."
2528,That's the one.
2533,"(unenthusiastic) Eh, I think I'll just stay here."
2535,But this is HDTV. It's got better resolution than the real world!
2537,Not covered!
2540,"Wait, Mount Rushmore and the Leaning Tower of Pisa? I didn't know they were both in New York!"
2548,"Ah, just like my dad used to make ... until McDonald's fired him."
2557,"It's OK, Leela, go ahead. I got a lot of work to do."
