,Quotes
780,"Hello, I'm Leela, captain of the Planet Express delivery ship. We've come aboard to plead for your assistance."
783,"Oh, not at all. I'm just so uh...really thrilled to meet you!"
785,(flattered) You don't mean that!
792,"Captain Brannigan, we really need to talk to you about our mission."
795,We're hoping to save the animals of Vergon 6 from extinction. And if you could just --
797,Wait! What's wrong?
799,But people already interfered. That planet was mined completely hollow.
801,This doesn't make any sense.
803,Fine! We'll save the animals without your help.
808,Ow! I might've liked Zapp Brannigan if he weren't a pompous dimwit who threw me in prison.
824,"Good. This will be my chance to reason with him, captain to captain."
828,I didn't realise you were such a coin-a-sewer.
830,Captain...
832,...if we could speak seriously for a moment...
834,...I'd like you to reconsider letting us rescue those animals.
836,What?
842,I'm not really in the mood.
844,Can I please just go back to prison?
846,Much rather!  What are you doing?
848,"No, and it's pronounced ""sham-pane""."
850,Its not a big deal.
852,"Oh, forget it."
854,It comes with the job.
856,"Oh, come on, cheer up, it's not that bad."
861,"Uh, listen, Zapp."
863,"Zapp, last night was a mistake."
865,"No, just a regular mistake. For a split second my common sense was overwhelmed by pity."
867,The only kind of crawling I'm doing to you is away - from!
869,"Look, I'm going down to Vergon 6 to save those animals whether you like it or not."
871,"Threaten all you -- wait, what?"
873,Eurgh!
881,(defensively) Nothing.
883,"(defensively) We just talked, OK?!"
884,Alright. We don't have much time to collect these animals. The planet is supposed to collapse in approximately two hours ago.
885,"Hello there.  Hmm, he doesn't seem to be on the checklist."
888,"No! I don't care how hilarious your apron is, we're not cooking him.  Aww, I'll call him Nibbler."
890,I hope he'll be OK in there with all those big animals.
895,Good. That's the last species.
898,Nibbler!
901,"Leave him alone. It's not his fault that he's an unstoppable killing machine. Is it, snoogums?"
903,"Prepare for lift-off.  We're out of fuel. Bender, I told you to fill the tank before we left."
906,"No way, forget it! I refuse to go crawling back to him!"
908,(defensively) Nothing. We just talked.
911,That's enough. Don't you think I feel bad enough already?
913,"Alright, alright I'll call him.  I mean if living is that important to you."
915,"Hello, Zapp?"
917,"Zapp, we're out of fuel..."
918,...and Vergon 6 is about to implode. We need your help.
920,Bird's don't crawl.
922,"Look, are you going to rescue us or not?"
924,(sexfully) Please...
925,...Big Z?
928,"I would never abandon a helpless animal. Y'know, Zapp, once I thought you were a big pompous buffoon. Then I realised that inside you were just a pitiful child. But now I realise that outside that child is a big pompous buffoon!"
931,"Uh, I guess to sit here and wait for death."
935,I don't believe it! It's dark matter.
937,"His species must've filled the entire planet with it. Did you do that, you cute little --  Come on. That should be more than enough fuel to get us outta here. Bender, pick it up and put it in the engine."
938,We made it!  And some of the animals survived.
941,(thinking) Dear Captain's Diary. I may not have found love on this mission but I did find a cute little companion who excretes starship fuel. And that's just as good.
948,"What do you think of the view, Fry?"
953,"Face it, Fry. Baseball was as boring as mom and apple pie. That's why they jazzed it up."
958,It's traditional. Just like aluminium bats and the seventh inning grope.
972,"Except for the word ""blern"" that was complete gibberish."
974,Alright! Yes! Miller's on a pace to hit 70 blerns!
977,"Exactly! He was a machine designed to hit blerns! I mean, come on, Wireless Joe was nothing but a programmable bat on wheels."
979,Yep.
998,"Hey, hold on. I understand these robots hate humans, but how do they feel about humanoid aliens?"
1002,This is the first actual work you've ever had to do around here.
1006,"Oh, come on, Bender. Last month it was Robomadom and before that Robonza."
1015,"OK, Bender, we're here. It's time to get to work."
1017,"Now we can't land on the surface because those robots will kill Fry and me. So we'll have to stay up here and lower you with the winch. And remember: You don't know humans, you don't work for humans, and, above all, you don't like humans."
1019,"Hmm, he seems pretty angry."
1021,Maybe we ought to do something nice for him.
1022,There! This oughta show that stupid robot we care about him.
1026,"No, we can't! They'll kill us on sight."
1028,I don't know! I don't know! It's not an easy decision. If only I had two or three minutes to think about it.
1029,"OK. If we're going to save Bender, we've got to look and act exactly like robots."
1031,"We'll have to walk like robots, talk like robots and, if necessary, solve complex differential equations like robots."
1033,"Fry, first of all this is serious. And second of all:"
1035,"Yeah, but there wasn't a Woolworth's in this quadrant."
1038,Robot...we be.
1045,Then we'll go with that data file.
1049,"Now if you see any robots, just stay out of their way.  (shouting) So far, so good."
1051,Have you seen this robot?
1053,"Come on, Fry, walk like a robot."
1055,Robots don't have bathrooms.
1057,Listen. Just go behind those garbage cans. I'll stand guard.
1058,"Hurry up, Fry!"
1064,I'm sorry. My friend and I have to go and perform some mindless repetitive tasks.
1069,Quick! Let's duck in here!
1076,Mine's not working.
1081,OK. Keep an eye out for Bender.
1085,What's that?
1087,Try to stay with the crowd so no one notices how crummy you look.
1116,Good for you. Now let's all get back to the ship.
1135,Yeah! I mean he might not have a case but I'm genuinely not a human.
1146,Look! One eye! Count them: One! Not human!
1149,Are you alright?
1151,Who are you?
1155,What's going on here?
1182,He'll do it. He's crazy!
1194,Of course.
1209,Of course.
1213,Didn't you have ads in the 20th century?
1250,"I'd love to chip in, but Bender stole my wallet."
1261,"I know Fry's rich, but do we really have to wear these top hats?"
1278,"I know you spent a lot of money on this place, Fry, but it's awfully primitive. The floors are made of such hard wood."
1283,That's cute!
1286,"I just don't get it. Who was this Ted Danson? And why would you pay $10,000 for his skeleton?"
1289,You're just saying that because he bought you that antique robot toy.
1298,Are you crazy? It's a can of old fish.
1302,"Oh, my God, it's Mom! I've never seen her in person before."
1304,"Fry, you can't bid against Mom. She's the richest, most powerful person in the world. And she's so adorable."
1323,Fry? Are you there?
1325,You haven't been to work in three days. What have you been doing?
1327,You can't just sit here in the dark listening to classical music.
1329,"Fry, this isn't healthy. You're living in the past."
1331,But we're your friends and we live here in the year 3000.
1336,Fry please.   My ponytail's caught in the door.
1405,Since when do you care about us?
1408,Goodbye-eee!
1416,You're Fry's relative. Do you have any idea how he got so crazy?
1419,You did? What happened?
1423,It's Mom.
1444,Is that a cooking show?
1446,Bender! I didn't know you liked cooking! That's so cute!
1457,"I know you like cooking shows but you're a robot, you don't even have a sense of taste."
1462,Among other things.
1470,"Fry, you have to be more careful. We're not in the 20th century. You don't know how things work here."
1475,What's this spice for?
1476,Oh! That's ridiculous. (whispering) I'll take two pounds!
1480,"Hey, have you seen Fry?"
1488,What the hell were you doing? I warned you to stay away from those guys.
1496,"Uh, Professor, are we even allowed in the Forbidden Zone?"
1498,"Uh, Professor..."
1503,"(whispering) Listen, this is Bender's first meal and he's a little sensitive. So let's be supportive, OK?"
1506,"(shouting) Oh, dear God!"
1513,"OK, Fry, here's the package to deliver and for once in your life be careful. This is my first visit to the Galaxy Of Terror and I'd like it to be a pleasant one."
1515,"Don't touch anything or talk to anyone. Just go to the palace, drop it off and come right back."
1527,"So after I specifically asked you not to touch anything, you drank a bottle of strange blue liquid? It could have been poisonous acid!"
1536,"That's it, Fry. As your captain I order you back to the ship. You are in way over your head."
1546,"Does anyone else think it's odd that a shiftless 25-year-old delivery boy could drop out of the sky, kill the emperor and be rewarded instead of punished?"
1563,"(whispering) Fry, I have to talk to you. You're in terrible danger."
1564,"You see Emperor Plon here?  He met his end when he was drunk by Emperor Strug. And before he could even wipe his mouth, Strug was drunk by Shwab."
1566,Look at all these guys. Do you have any idea what the average length of their reigns was?
1568,No. One week.
1570,Every Emperor ascended to power by assassinating the previous one. And guess who's next?
1572,"You're in tremendous danger, you idiot! Half of these Emperors were drunk at their own coronation."
1574,"No, they were assassinated. In fact, the law says you'll be killed on the spot if you fail to recite the oath from memory."
1576,That is completely reckless. Don't you ever think ahead?
1578,I give up! You're gonna get yourself killed and this time I won't be here to save you.
1580,"That's it! I'm never helping you again! If anyone except you needs me, I'll be in the ship."
1628,I'll accept.
1631,I like you.
1633,I don't know why I should. I mean after what he --
1653,What are you talking about?
1655,Of course I'm alive.
1660,"Listen, Fry, I think I can get us out of this if you're willing to let me help you."
1662,"I know. Amy, get the bottle."
1664,Come on. Everybody help out Fry.
1666,"How we doing, Amy?"
1682,Does it really work?
1715,"Uh, Professor...?"
1734,I don't get it.
1741,I think it's moving.
1752,"Fry, what the hell were you people thinking back then? How could you just throw your garbage away?"
1754,We recycle everything. Robots are made from old beer cans.
1756,And that sandwich you're eating is made of old discarded sandwiches.  Nothing just gets thrown away.
1758,Typical 20th century attitude.
1760,Those things are all from the 19th century.
1782,Can't we just shoot a missile at it?
1791,That's all? But --
1793,Odour at magnitude 8.  Magnitude 12. Magnitude 31.  We're breaking up. Turn on the anti-smell device.
1796,Look at all this filth.
1800,"Fry, this stuff was garbage when it was new. Let's blow it up already!"
1803,"Let's see. If that's Hypodermic Ridge then the bomb must go right here.  Get ready to run. We've got 25 minutes. Uh, 15 minutes.  5 minutes.  6h minutes?"
1805,"That idiot! It wasn't set for 25 minutes, it was set for 52 seconds."
1809,"Hey, watch it! You'll put somebody's eye out!"
1812,"Yeah, but this garbage ball's unstoppable now. New New York is done for."
1828,That rat! Do something!
1832,But where can we find a substance the exact density and consistency as garbage?
1849,Just fire the damn thing.
1857,"Should we really be celebrating? I mean, what if the second garbage ball returns to Earth like the first one did?"
1868,Impressive. They're busting mad rhymes with an 80% success rate.
1874,"Ow! Hey, watch it!"
1911,If I didn't know better I'd almost think he was abusing electricity.
1913,"Bender, why are you spending so much time in the bathroom? Are you jacking on in there?"
1918,Did he use his tongue?
1921,Uh oh. There seems to be some sort of electrical disturbance in the Coalsack Nebula.
1923,Electrical. Anyway it's going to take some careful piloting to avoid it.
1924,We're out of control. We're heading straight into the electric field!
1928,"Bender, we didn't mind your drinking, or your kleptomania, or your pornography ring."
1930,But this electricity abuse crossed the line. You almost killed us.
1947,"Give him a break, Fry. If this helps Bender clean up his act then I think we should be supportive."
1960,This is unbelievable. The old Bender never would have taken us out to dinner.
1971,What are you doing to my ship?
1974,Amen.
1977,"And I think I know a way to do it. We have to reacquaint him with a little thing called ""sleaze""."
1981,"Uh, here."
1984,"Hey, great idea!"
1988,"Hey, Bender, looks at that woman's purse. It's hanging by a spaghetti strand."
1994,Go nuts.
2004,What in hell happened to Bender?
2013,Hmm. Look! It's the symbol of Bender's old religion.
2015,Who would've thought hell would really exist? And that it would be in New Jersey!
2032,(singing) It's up to us to rescue him.
2034,(singing) It's us who tempted him to sin.
2036,"(singing) Come on, Fry, don't be scared,"
2041,"Alright, Beelzebot, what'll it take to get our friend back?"
2043,Wait. What fiddle contest?
2047,(whispering) Do you know how to play the fiddle?
2049,"(whispering) No, but I used to play the drums. They're sorta similar. (talking) What happens if we lose?"
2051,We'll do it.
2055,Time for the drum solo!
2058,"Hurry, Bender!"
2060,"Oh, sorry."
2062,"Uh, do you think you could be just little less evil than that."
2069,That was the worst delivery ever.
2075,Vacation?
2081,Looks nice.
2084,"Oh, God! Not Zapp Brannigan!"
2086,"Let's just say we've ""crossed paths""."
2090,"It's tempting, but, uh, I have a fiancé now. Uh, hmm, uh, hmm, uh, we--, uh ...  Him! Fry, darling, meet Zapp Brannigan."
2098,This is it.
2103,Take it off or I'll break it off.
2137,"Well, our accommodations aren't great but it sure is beautiful our here."
2139,"Fry, just be quiet. I'm beginning to think this whole fake fiancé thing was a terrible, terrible--"
2142,"Uh, look, before you get any crazy ideas, that was for Zapp."
2144,"Alright, can we try not to complicate this?"
2148,It would have been nice if you'd told me you were going out with Amy.
2150,What? No. No! Of course not!
2186,But I didn't even limbo.
2196,Amy!
2199,(whispering) What are we gonna do? Fry can't pretend to be both our boyfriends.
2219,I didn't run off. I had plenty of time to finish eating and stroll away while you were kissing Amy.
2221,"Oh, are you sure? I mean, she has two eyes, you have two eyes."
2223,Nice nebula.
2225,Look's like everybody's got somebody. Except me.
2227,"What was that?  Oh, my God! We're heading straight into a black hole."
2232,OK. We just have to get from here to the escape pods.
2234,"Come on, before its too late!"
2247,Hurry! The escape pods should be just ahead!
2249,It won't move. And the door release is on the other side.
2265,We can't leave yet. We've got to wait for Bender. The high gravity must be slowing down his looting.
2275,I don't know. But we can't wait any longer.
2278,Something's wrong. We're two metric tons overweight.
2288,"But she saved all our lives. Without her, we're light enough to get away."
2300,In what field?
2306,"They planted traditional college foliage: ivy, trees, hemp. Soon the whole planet was terraformed."
2311,You went to college?
2335,"Don't take this the wrong way, Fry, but you don't seem like the educated type."
2337,Please! Everyone knows 20th century colleges were basically expensive daycare centres.
2340,You won't last two weeks.
2358,I think that's probably your roommate.
2367,So what makes Guenter talk?
2430,"What you did to Guenter was cruel. At the risk of sounding like an after-school special, I think we learned who the real animal was today."
2434,"Hey, what's going on? I thought you didn't like bananas."
2437,"Besides, Guenter, you're not like other monkeys. You've got the hat."
2439,That's so sad. I didn't even know monkeys could cry.
2443,But he's not your father. That guy in the punch bowl was your father.
2451,So he just ran away in the middle of the exam?
2457,"Nuh-uh, I'm staying out of this. Now here's my opinion: What we should do is..."
2459,I said we'll go to the jungle and let Guenter decide once and for all.
2470,I see some movement up there. I think it's him.
2472,Oops.
2475,"Professor, you'll offer Guenter the hat and, Fry, you'll offer him the banana. We'll let him choose whether he wants to be intelligent or just a mindless animal."
2480,"Wait, what's that sound?"
2485,No! No!
2488,Not there.
2491,"(shouting) Help us, Guenter!"
2495,"Oh, no! Hurry, Guenter, climb up the vine. You can still save yourself."
2530,Who's up for one last summer beach trip?
2534,"Fry, you're wasting your life sitting in front of that TV. You need to get out and see the real world."
2536,Everyone's too polite to say anything but you're covered with bed sores.
2538,Just get in the car.
2541,"They are now. In the 2600's New Yorkers elected a super-villain governor, and he stole most of the world's monuments."
2556,No. I'm not attracted to bullies. No matter how big and ...  ... handsome they are.
2560,Fry! Although I suppose we could go for a walk along the beach.
2565,It's very nice. We should get a picture before the tide comes in.
2569,"Oh, my God!"
2581,The Earth is under attack. Can't we just forget about that?
2584,"Well, you heard the windbag: We've been drafted. Everyone into the ship."
2595,"Thanks, but I'm not technically human."
2604,"Maybe we should wait 'til afterwards, in case neither of us comes back."
2607,"Fry, this isn't TV, it's real life. Can't you tell the difference?"
2609,"Bender, damage report."
2612,We did it! We won!
2620,"This is hopeless.  If we're gonna get blown to bits, we might as well do it in the comfort of our own home."
2641,"You do not, you big fat liar. You don't know anyone. All you do is watch TV."
2646,They're going to destroy the entire Earth if they don't see some stupid TV show about some bimbo lawyer?
2661,"Uh-uh, forget it. A: I'm camera shy, and B: I get tongue tied in front of an audience armed with death rays."
2663,Gimme the script.
2670,"Your Honour, I move for a mistrial, on the grounds that I'm also having a hot, naked affair with the foreman of this jury."
2676,Sleeping with you.
2678,"Uh, g-- uh, getting back to the, uh, matter, uh-uh, if it please the court ... (whispering) Fry, there's nothing else here. You only wrote two pages of dialogue."
2680,What are we supposed to do now?
2682,Uh...
2684,"I say ... I'm giving up the law.  And I'm giving up being single. Your Honour, will you marry me?"
2688,"Why not? It's clever, it's unexpected."
2697,(reading) I will now make my closing statement. With my fiancé deceased ... ... I hereby return to my single female lawyer career. No matter what any man says.
2725,I've never seen anyone so addicted to Slurm.
2727,"Bender, what's wrong?"
2729,You poor baby. Let me check if you have a fever.  Ow!
2743,"Hey, what's rattling around in there?"
2764,"Fry, are you alright?"
2767,"Ooh, look at that!"
2798,"Hey, look! The disgusting little men are starting to sing."
2816,"Hey, what's behind that door?"
2818,Is it the secret ingredient?
2821,I was just curious because of the armed guards.
2826,What are you doing?
2828,No. That's moronic.
2830,"Bender, why did you jump in?"
2833,Where are we?
2836,Something's rotten on the planet Wormulon. Look at this.
2837,This all must have something to do with the secret ingredient.
2839,No. There's already a soda like that: Soylent Cola.
2841,It varies from person to person.
2847,(whispering) Quick.
2849,It's the end of the line. This must be where they put in the secret ingredient.
2852,Blech!
2854,Fry!  Fry!
2856,That's the only ingredient of Slurm.
2860,The exit! We made it.
2863,"You wish, you slimy worm! Heyya!"
2867,How can you trick people into drinking something that comes out of your behind? It's disgusting.
2884,"Fry, untie us, quick!"
2886,You pig. Stop stuffing your craw and save us.
2888,"Yeah, we're boned."
2890,Hurry!
2893,We're close to the exit. I can smell those filthy orange guys.
2903,She's gaining on us.
2922,For Slurms!
2933,Aww! Somebody likes snouts.
2938,"Don't yell at Nibbler like that.  You hurt his feelings. Come on, pet him and make up."
2940,I said pet him.
2942,Are you alright?
2944,"Not you.  Aww, poor baby chipped a fang."
2952,No!
2954,Next time I'm keeping it.
2961,"Aww, look how cuddly he looks in his new cape!"
2970,"Come on, let's all sing Happy Birthday!"
2974,"Bender, I thought you were supposed to be cooking for this party."
2976,"Just make a simple cake. And this time, if someone's going to jump out of it, make sure you put them in after you cook it."
2981,"Bender, what's going--  (crying) No!"
2985,(crying) Aren't you upset at all? How would you feel if I flushed Fry down the toilet?
2987,(crying) You have no sympathy for anyone else's feelings.
2989,You do?
2992,(crying) I wouldn't feel so bad if Bender just understood the pain he caused me.
2997,I wish just once Bender could feel exactly what I feel.
3022,"Thank you, Professor. I'm happy that Bender can finally feel my pain."
3024,I'm not mopey. You shut up!
3026,"Thanks for taking me out, Amy. I feel slightly less miserable already."
3028,A puppy? Nibbler loved to eat puppies.
3038,(theatrical happiness) Sure. I'm having a great time -- really. You two go enjoy yourselves.
3049,Now he's flushed himself down the toilet? Who's he gonna flush next?
3051,You're right. I feel terrible.
3053,I guess we'd better go down into the sewers and look for him.
3056,There's no such thing as mutants. That's a ridiculous urban myth.
3061,What is it?
3063,"OK, check the guidebook."
3065,"Wait, what's that?"
3067,"Bender, you didn't have to come down here."
3069,(crying) He was so cute.
3072,(shouting) Nibbler?
3074,"It's no use. We'd better turn back. Which way, Fry?"
3076,(simultaneously) Idiot.
3079,(shouting) Mutants!
3080,Mutants! They're real!
3093,"No, we're on the top."
3097,"Listen. We actually came down here to find our pet, Nibbler. He got flushed down the toilet."
3103,(shouting) Nibbler?
3113,El Chupanibre? What's that?
3117,Wait. Our pet Nibbler loves fresh crocodile. It's his favourite treat. He must be El Chupanibre.
3120,You don't understand. He would never hurt people. Let us help you capture him.
3123,I volunteer.
3128,Nightfall? How can you tell down here?
3136,"Bender, do something."
3139,I can't. I love every living creature.
3141,As a friend.
3144,"Well, I could use a new tank top."
3146,A fashionable tank top. And designer boots ... encrusted with jewels.
3148,Yeah. And I could afford it all if I didn't have to feed that stupid Nibbler.
3151,You know what else I could use? A weekend at one of those fancy spas. And a Toblerone.
3153,You did it!
3158,"And it's all thanks to Bender. I love you, Bender."
3164,"You know, Bender may not have learned anything from me, but I think I actually learned something from him.  (shouting) So long, jerkwads!"
3174,What's the mission?
3182,What are we delivering?
3184,We'll get them there as quickly as we can.
3195,"If you don't mind, we're here to deliver the scissors for the ribbon-cutting."
3197,What for?
3199,But they're not even sharp. Who could I possibly hurt with them?
3201,What?
3227,"Dismiss all charges? Your Honour, I know the case is closed and you've rendered your verdict, but I wanna testify."
3230,"That's a stupid question. What matters is Zapp Brannigan is the sorriest captain I've ever seen, and I saw the idiot blow up DOOP headquarters with my own eye."
3234,(reluctantly) Yes.
3236,(reluctantly) Yes.
3238,Zapp Brannigan.
3251,"Alright, this is the third hose fight I've broken up today and the second one using actual hoses. Now move your lazy asses and start scrubbing the ship like I ordered you to."
3254,Zapp?
3256,I never loved you.
3258,What do you want?
3260,You don't know how to do any of those things.
3279,"Thanks, Kif. Very nice work."
3281,"I said ""very nice work""."
3283,"OK, crew, listen up. Your job is to delivery these 40 pillows to that hotel."
3285,They're not heavy in here because we have an anti-grav pump. But once you get out on the surface the gravity will be very intense.
3287,I don't want any screw-ups. Use the hover-dolly and just deliver one pillow at a time.
3293,What the hell happened?
3295,I told you dumb apes not to overload it. Each of those pillows weighs 150lbs here.
3298,"No way, Jack. You disobeyed an order, so now you have to deliver all 40 pillows by hand."
3300,Just get to work.
3304,"Y'know, why don't we talk about something besides Zapp for a while?"
3319,"On what grounds, you slobbering oaf?"
3323,You really don't want me to be captain anymore?
3325,"But, didn't I do a good job?"
3327,"Sometimes a captain needs to do those things. Besides I, I thought we were friends."
3359,Let me guess. He cancelled naptime? He ran out of beer?  So he's about to kill us?
3363,"Oh, no! He's disabled the steering. We're gonna crash!"
3365,"OK, OK. We have one chance. Are you willing to do what I say as captain?"
3367,Even if I make you work hard?
3369,Then go get the hover-dolly you didn't break and load all the dark matter into the left engine.
3372,Just do it.
3374,Hurry! I don't wanna die at the age of 25.
3378,You did it! You actually did it!
3382,"Well, actually--"
3384,"Your Honour, it's all true: My female incompetence, Zapp's cat-like reflexes, the stuff that made no sense, all of it."
3391,No.
3394,"Oh, alright."
3397,Let's mutiny!
3403,"There's a political debate on! Quick, change the channel!"
3406,"Look, I know there are no car chases but this is important. One of these two men will become president of the world."
3408,The United States is part of the world.
3413,Don't let their identical DNA fool you. They differ on some key issues.
3417,You're not registered?
3419,That's not true. The first robot president won by exactly one vote.
3422,"The point is, one vote can make a difference and even though it won't, I'm still taking you to get registered."
3464,What are you talking about?
3474,Bender? What happened to you?
3520,"Fry, he opened up relations with China. He doesn't want to hear about your ding-dong."
3543,"Bender, he's got your body!"
3545,Nixon must have bought your body from the pawn shop.
