,Characters,Quotes
89,BENDER,"I'm a bender. I bend girders, that's all I'm programmed to do."
90,FRY,You any good at it?
91,BENDER,"You kidding? I was a star! I could bend a girder to any angle: 30 degrees, 32 degrees, you name it! (unsure) 31. (normal) But I couldn't go on living once I found out what the girders were for."
92,FRY,What?
93,BENDER,"Suicide booths!  Well, Fry, it was a pleasure meeting you, I'm gonna go kill myself."
94,FRY,Wait! You're the only friend I have!
95,BENDER,You really want a robot for a friend?
96,FRY,"Yeah, ever since I was six."
97,BENDER,"Well, OK. But I don't want people thinking we're robo-sexuals, so if anyone asks, you're my debugger."
98,FRY,"Oh, no, it's the Cyclops!  Don't look! Don't look!"
99,BENDER,I'm not looking!
100,LEELA,This is officer 1B-DI requesting back-up.
101,SMITTY,We'll be there in five minutes.
102,BENDER,"We can hide in here, it's free on Tuesdays."
103,NIMOY,Welcome to the Head Museum. I'm Leonard Nimoy.
104,FRY,Spock? Hey! Do the thing!
105,NIMOY,I don't do that anymore.
106,FRY,This is unbelievable! What do you heads do all day?
107,NIMOY,We share our wisdom with those who seek it. It's a life of quiet dignity.
108,WOMAN,Feeding time!
109,URL.],
110,LEELA,Hmm.
111,LEELA,"I'm sorry, Fry, but I have to install your career chip."
112,FRY,"Yeah, well, if you're sorry why are you doing it?"
113,LEELA,It's my job. You gotta do what you gotta do!
114,LEELA,Watch it!
115,NIXON,That's it! You just made my list!
116,FRY,Ow! Stoppit! Down boy! Bad president!
117,SMITTY,"Alright, buddy, step away from the head!"
118,URL,I'm gonna get 24th century on his ass!
119,LEELA,"Please, officers, there's no need to use force."
120,URL,"Let us handle this, weirdy."
121,LEELA,"Oh, come on, he's just a poor kid from the Stupid Ages."
122,SMITTY,"Keep your big nose out of this, eyeball!"
123,LEELA,No-one makes fun of my nose.
124,URL,Damn!
125,LEELA,You guys were totally out of control.
126,SMITTY,It's our job. We're peace officers.
127,URL,"Yeah, you know the law: You gotta do what you gotta do."
128,BENDER,"Oh, we're trapped!"
129,FRY,"Wait a second. You're a bender, right? We can get out of here if you just bend the bars."
130,BENDER,"Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?"
131,FRY,Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?
132,BENDER,I'll have to check my program...yep.
133,LEELA,Open up!
134,FRY,"C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals...and animal robots."
135,BENDER,"You're full of crap, Fry!  You make a persuasive argument, Fry."
136,FRY,"Come on, Bender! You can do it."
137,BENDER,Can't...I...can't...do...it!
138,FRY,Yes!
139,BENDER,"You were right, Fry! From now on I'm going to bend what I want, when I want, who I want! I'm unstoppable!"
140,FRY,I don't know how you did that.
141,LEELA,Wait!
142,BENDER,"(shouting) No, thanks."
143,BENDER,Looks like one of us will have to bend this grate.
144,FRY,Good Lord! What is this?
145,BENDER,"It's the decaying ruins of Old New York. Welcome home, pal!"
146,FRY,"Its my old neighbourhood. Man, this brings back a lot of memories."
147,BENDER,"Keep 'em to yourself, pops."
148,FRY,This is where I brought my girlfriend on our very first date.
149,FRY,My God! She's gone. Everyone I ever knew or cared about is gone.
150,BENDER,Wait! There's someone you know!
151,FRY,"Oh, can't you leave me alone? I'm miserable enough already."
152,LEELA,"Look, I know it's not much consolation but I understand how you feel."
153,FRY,"No, you don't. I've got no home, no family..."
154,BENDER,No friends.
155,FRY,...My whole world is gone. You can't possibly understand what it feels like to be so alone.
156,LEELA,I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.
157,FRY,"Look, Leela, I don't understand this world but you obviously do, so I give up. If you really think I should be a delivery boy, I'll do it.  Your chip. What are you doing?"
158,LEELA,Quitting.
159,FRY,Why?
160,LEELA,Because I've always wanted to. I just never realised it before I met you.
161,FRY,What is the matter with you?
162,BENDER,I just wanted to be part of the moment.
163,LEELA,"Hey, he stole my ring!"
164,BENDER,"Sorry.  Well, that solves the mystery of the missing ring. This calls for a drink."
165,LEELA,I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.
166,FRY,Correction. We're unemployed but we have a doddering old relative to mooch off of.
167,CLARK [ON TV],"Hello, I'm Dick Clark's head. Welcome to a special year 3000 edition of New Year's Rockin' Eve!"
168,FARNSWORTH,Who are you?
169,FRY,I'm your dear old Uncle Fry.
170,FARNSWORTH,I don't have an Uncle Fry.
171,BENDER,You do now!
172,FARNSWORTH,"By God, I am your nephew! This is absolutely incredible!"
173,BENDER,Can we have some money?
174,FARNSWORTH,"Oh, my, no."
175,FARNSWORTH,Let me show you around. That's my lab table and this is my work-stool. And over there is my intergalactic spaceship! And here's where I keep assorted lengths of wire.
176,FRY,Whoa! A real live spaceship!
177,FARNSWORTH,I designed it myself. Let me show you some of the different lengths of wire I used.
178,SMITTY,"Attention, job deserters! Come out with your hands up. We have you partially surrounded."
179,FRY,No!
180,NIXON,Get those bums!
181,BENDER,"Well, we're boned!"
182,LEELA,Can't we get away in the ship?
183,FARNSWORTH,I suppose it is technically possible. Though I am already in my pyjamas.
184,FRY,I'll get us out of here.
185,FARNSWORTH,Can anyone drive stick?
186,LEELA,I can. As long as I don't have to parallel park.
187,URL,"If they try to take off, give 'em an ass-ful of laser."
188,LEELA,Prepare for lift-off. Ten.
189,CROWD,Nine!
190,CROWD,Amania!
191,CROWD,Seven!
192,ALIENS,(in alien) Six.
193,TERRY,(dramatically) Five!
194,NIMOY,Four.
195,FARNSWORTH,Three.
196,BENDER,Two.
197,LEELA,One!
198,FRY,Blast-off!
199,NIXON,Fire! Fire!
200,SMITTY,I can't see nothing. Pretty though!
201,FRY,"So I guess without jobs, we'll be fugitives forever."
202,FARNSWORTH,"Not necessarily. Are you three, by any chance, interested in becoming my new spaceship crew?"
203,BENDER,New crew? W-What happened to the old crew?
204,FARNSWORTH,Of those poor sons of -- but that's not important. The important thing is I need a new crew. Anyone interested?
205,FRY,Yes! Yes! That's exactly the job I've always wanted!
206,LEELA,"Thanks for the offer, Professor, but we don't have the proper career chips."
207,FARNSWORTH,"Oh, that won't be a problem. As luck would have it I saved the chips from my previous crew."
208,FRY,This is awesome! Are we gonna fly through space fighting monsters and teaching alien women to lurve?
209,FARNSWORTH,"If by that you mean ""transporting cargo"" then yes. It's a little home business I started to fund my research."
210,FRY,Cool! What's my job gonna be?
211,FARNSWORTH,You will be responsible for ensuring that the cargo reaches its destination.
212,FRY,"So, I'm gonna be a delivery boy?"
213,FARNSWORTH,Exactly!
214,FRY,Alright! I'm a delivery boy!
215,THE END,
216,"""THE SERIES HAS LANDED""",
217,FARNSWORTH,As new employees I'd like your opinion on our commercial. I paid to have it air during the Superbowl.
218,FRY,Wow!
219,FARNSWORTH,"Not on the same channel, of course."
220,ANNOUNCER,Interplanetary deliveries - what a headache!
221,MAN,Uh... (shouting) I'm not Evans!
222,ANNOUNCER,"When those other companies aren't brave or foolhardy enough to go, trust Planet Express for reliable, on time delivery."
223,EVANS,"Here's your package, Mr. Horrible Gelatinous Blob."
224,EVANS,"Thank you, sir!"
225,ANNOUNCER,Planet Express: Our crew is replaceable. Your package isn't.
226,FRY,Are there really giant birds like that?
227,FARNSWORTH,"No, no! That was all just special effects! Now let's have breakfast. I hope everyone likes eggs."
228,FRY,I'm never going to get used to the 31st century.  Caffinated bacon? Baconated grapefruit? Admiral Crunch?
229,LEELA,"Well, if you don't like that try some Archduke Chocula."
230,FARNSWORTH,"Ah, Hermes! Crew, meet Hermes Conrad. He manages my delivery business, pays the bills, notifies next of kin, what have you."
231,HERMES,Someone come and dropped this package through the slot last night. Now which one of you is the captain?
232,FARNSWORTH,"Oh, my! I haven't picked a new captain yet. It's always so hard to choose."
233,FARNSWORTH,"Hmm, you!"
234,HERMES,"OK, Captain, this is just a standard legal release protecting Planet Express from lawsuits in the event of the unforeseen."
235,LEELA,(reading) Death by airlock failure.
236,HERMES,Mmm.
237,LEELA,(reading) Death by brain parasite.
238,HERMES,Yeah.
239,LEELA,(reading) Death by sonic diarrhoea?
240,HERMES,"(chuckling) Oh, you don't want that!"
241,LEELA,"Look, I don't know about any of your previous captains but I intend to do as little dying as possible."
242,HERMES,Sign the paper!
243,FARNSWORTH,"Now Fry, before you go into space you'll need to see our staff doctor. I should warn you though, he's a little unusual. (whispering) He wears sandals!"
244,FRY,Hi -- eurgh!
245,FARNSWORTH,"Dr. Zoidberg, this is Fry, the new delivery boy. He needs a physical."
246,ZOIDBERG,"Excellent, excellent!"
247,FARNSWORTH,You'll be fine.
248,ZOIDBERG,Now open your mouth and let's have a look at that brain.  No no no no no not that mouth!
249,FRY,I only have one.
250,ZOIDBERG,Really?
251,FRY,"Uh, is there a human doctor around?"
252,ZOIDBERG,"Young lady, I'm an expert on humans. Now pick a mouth, open it and say... What? My mother was a saint! Get out!"
253,FARNSWORTH,"Dear Lord, Bender, you're filthy."
254,BENDER,"Yeah, like you don't have crap in your neck!"
255,FARNSWORTH,"Amy, why don't you give his body a going over with the cleaning pick?"
256,AMY,OK. Does it hurt when I go like this?
257,LEELA,Ow!
258,BENDER,A little.
259,FRY,"Well, the doctor says I'm as healthy as a crab. Can I go into space now?"
260,FARNSWORTH,"As soon as we finish cleaning Bender. Oh, and Fry, this is our intern, Amy Wong. She's an engineering student of mine. (whispering) I like having her around because she's the same blood type as me."
261,AMY,"Hey! You're the unfrozen guy! From the 20th century, right?"
262,FRY,(chuffed) Last time I checked.
263,LEELA,Hang on. Amy Wong? Of the Mars Wongs?
264,AMY,Look. We're not as rich as everybody says.
265,LEELA,Uh-huh! What sorority do you belong to?
266,AMY,(ashamed) Kappa Kappa Wong.
267,BENDER,"Hey, rich girl. Look over here! It's me, Bender. I'm being entertaining. (singing) La la la look at my head. It's all painted look at my head! I got a big old head, hey! Ho! (talking) Alright, show's over, I'm tired."
268,FARNSWORTH,"Ah, to be young again. And also a robot! Now as I recall you youngsters have a package to deliver."
269,FRY,"Finally! Come on Bender, let's mosey!"
270,BENDER,"Nice catch, idiot!"
271,FRY,So where are we going anyway?
272,LEELA,Nowhere special. The moon.
273,FRY,The moon? The moon moon? Wow! I'm gonna be a famous hero just like Neil Armstrong and those other brave guys no one ever heard of!
274,AMY,"Oh, I love stuff like the moon! Can I come, Leela?"
275,LEELA,Well...I guess so. Just be careful. I'd like to hold off any major screwups until at least my second day as captain.
276,FANSWORTH,Nothing will go wrong.  (whispering) If something goes wrong bring back the blood.
277,FRY,Can I do the countdown?
278,LEELA,"Huh? Oh sure, knock yourself out."
279,FRY,Ten......nine --
280,LEELA,OK we're here!
281,FRY,"Hurry up, I wanna see the moon!"
282,LEELA,"Relax, its open till 9."
283,FRY,That's one small step for Fry --
284,MAN,And one giant line for admission!
285,FRY,"Wow!  Um, can I have cuts?"
286,MAN,Hmm -- No!
287,FRY,You're not gonna believe this but they landed an amusement park on the moon!
288,AMY,Guh! It's the happiest place orbiting Earth.
289,FRY,"Lets go, already!"
290,LEELA,"Fry, we have a crate to deliver."
291,FRY,Let's just dump it in the sewer and say we delivered it.
292,BENDER,Too much work. Lets burn it and say we dumped it in the sewer.
293,LEELA,"OK, if everyone's finished being stupid --"
294,FRY,I had more but you go ahead.
295,LEELA,We'll deliver that crate like professionals and then we'll go home.
296,FRY,But I've never been to the moon before.
297,LEELA,"Alright. We'll deliver that crate like professionals...and then we'll go ride the bumper cars.  Amy, why don't you help Fry hoist down the crate. Then lock up when you're done. Just be careful."
298,AMY,"Aye, aye, Captain! I mean only one eye. I mean, yes, sir, um, ma'am!"
299,AMY,Clear?
300,FRY,Clear!
301,AMY,Ready to hoist?
302,FRY,Ready!
303,AMY,Ow!
304,FRY,My first space delivery.
305,FRY,"Uh, greetings, Moon Man, we come in peace. I am Fry from the planet Earth."
306,SAL,"Wise guy, huh? If I wasn't so lazy I'd punch you in the stomach."
307,FRY,"But you are lazy, right?"
308,SAL,"Oh, don't get me started."
309,CRATER FACE,"Hi, I'm Crater Face! Welcome to Luna Park. I'll have to confiscate your alcohol, sir."
310,BENDER,Better mascots than you have tried.
311,CRATER FACE,At least I still have my self respect!
312,LEELA,Who buys this trash?
313,BENDER,Idiots who need gifts for other idiots.
314,FRY,"Hey, I got you guys refrigerator magnets."
315,BENDER,"Get it off! Get it off! Get it -- uh oh!  (singing) How many roads must a man walk down, before you... (talking) Keep those things off of me! Magnets screw up my inhibition unit!"
316,FRY,So you flip out and start acting like some crazy folk singer?
317,BENDER,Yes. I guess a robot would have to be crazy to wanna be a folk singer.
318,WHALERBOTS,"(singing) We're whalers on the moon,"
319,WHALERBOT,"Bender, hey, Bender! Over here!"
320,BENDER,"Oh, jeez, I went to high school with that guy!"
321,ANNOUNCER,Monsanto presents: The Goophy Gopher Revue!
322,GOPHER #1,Why does a moon rock taste better than an Earth rock?
323,GOPHER #2,Because it's a little meteor!
324,FRY,This is weak!
325,GOPHER #1,Address all complaints to the Monsanto Corporation.
326,LEELA,"What's wrong, Fry?"
327,FRY,"I don't know. This place is great and all but its just so artificial. The gravity, the air, the gophers. You might as well stay on Earth.  That's what I came to see! I wanna go out there and jump around like an astronaut. Screw this phoney stuff!"
328,LEELA,But the phoney stuff is what's fun. It's boring out there.
329,BENDER,Yeah! You're the kind of guy who visits Jerusalem and doesn't want to see the Sexeteria!
330,LEELA,Maybe I should take Fry on the Luna Rover ride. You get to wear a space suit and drive around on the surface. And the line's short because it's educational.
331,FRY,I don't care how educational it is. Let's do it!
332,BENDER,(shouting) Next year in Jerusalem!
333,FRY,Finally! Get ready for some serious moon action.
334,NARRATOR,(voice-over) The story of lunar exploration started with one man. A man with a dream.
335,RALPH KRAMDENBOT,"One of these days, Alice. Bang! Zoom! Straight to the moon!"
336,LEELA,"Wow, I never realised the first astronauts were so fat!"
337,FRY,"That's not an astronaut, it's a TV comedian. And he was just using space travel as a metaphor for beating his wife."
338,AMY,Wow! I could swear I was really playing virtual skeeball!  Hm?
339,BENDER,"Look, it's that crate we were gonna throw in the sewer."
340,AMY,The keys to the ship!  They must have fallen into the crate! Leela's gonna kill me!
341,BENDER,Nah. She'll probably make me do it.
342,AMY,Mister? Could you please get those keys out for me?
343,SAL,What do I look like? A guy who's not lazy?
344,NARRATOR,"(voice-over) No one knows where, when or how Man first landed on the moon..."
345,FRY,I do.
346,NARRATOR,(voice-over) ...but our fungineers think it might have happened something like this:
347,WHALERBOTS,"(singing) We're whalers on the moon,"
348,GOPHERS,"(singing) We carry a harpoon,"
349,LEELA,(singing) ...and sing a whaling tune. We're whalers on the moon...
350,FRY,That's not how it happened.
351,LEELA,"Oh, really? I don't see you with a fungineering degree! p>"
352,FRY,This is stupid. I'm taking this thing out to the real moon.
353,LEELA,"Fry, no. This is my first mission and I'm not gonna let us get in any trouble. Besides, the car's on a track."
354,FRY,Not for long!
355,WHALERBOT,Ooh aah! I died doin' what I loved.
356,LEELA,"OK, you're on the surface. Now I'll give you 10 minutes. Then you'll get bored, turn around and apologise for being such a jerk. Agreed?"
357,FRY,Agreed.  Yee-haw! Woo! Yeah! Crank up the radio!
358,WHALERBOTS,We're whalers on the -
359,FRY,Yee-haw!
360,LEELA,Time's up. Make a U-turn at the next crater.
361,FRY,No not yet. How 'bout we go look for the original moon landing site?
362,LEELA,That's crazy! It's been lost for centuries!
363,FRY,Well I'm feelin' lucky!  Uh... I'm ready to go back now.
364,FRY,"We're gonna die! It's every man for himself!  Help me, Leela!  You did it! We're safe!"
365,LEELA,No. Now we're gonna die.
366,FRY,It's every man for himself.
367,BENDER,"Hey, look what I won from a tourist's pocket!"
368,AMY,Shut up. You're distracting me.
369,BENDER,"Come on, it's just like making love. Y'know: Left, down, rotate 62 degrees, engage rotor."
370,AMY,I know how to make love!
371,BENDER,"Here, let me do it.  Ah, lousy arm. Must be rigged!  That's her, officers! Uh, that's the woman who programmed me for evil!"
372,BENDER,"Yeah, well, I'm gonna go build my own theme park, with blackjack and hookers. In fact, forget the park!"
373,FRY,"(gasping) I'm sorry, Leela, I can't go on any further. Just leave me to die in that barn over there."
374,LEELA,Thank God!
375,FARMER,"Trespassers, eh?"
376,FRY,"No, sir. We're amusement park patrons."
377,FARMER,"Ooh, that's a wicked sinful place. Tilt-a-whirl's OK, but the rest is mighty wicked."
378,LEELA,Our car broke down and we're out of oxygen. Can we borrow some?
379,FARMER,"Huh, borry? Looky here, city girl, oxygen don't grow on trees. You'll have to earn it doing chores on my hydroponic farm. You can go back to your precious theme park at sun up."
380,FRY,I guess we could do chores for a few hours.
381,LEELA,"Fry, night lasts two weeks on the moon."
382,FARMER,Yup. Drops down to -173!
383,FRY,Fahrenheit or Celsius?
384,FARMER,"First one, then th'other. And them spacesuits ain't a-heated so you ain’t goin' nowhere til sunrise. You can sleep in the barn. Just don't be a-touchin' my three beautiful robot daughters. Y'hear?"
385,FRY,Robot daughters?
386,FARMER,This here is Lulabelle 7.
387,LULABELLE 7,Yoo-hoo!
388,FARMER,Daisy-Mae 128K.
389,DAISY-MAE 128K,Yoo-hoo!
390,FARMER,And the Crushinator.
391,CRUSHINATOR,(mechanical voice) Yoo-hoo.
392,FRY,Whoa!
393,LEELA,"I told you to turn around and go back to the park. But oh, no, the park was too phoney. We had to see the real moon."
394,FRY,"And it was great! We got to see craters and rocks and that one incredible rock that looked like a crater and, and these fellas."
395,LEELA,"Fry, face it. The moon is a dump. It's a boring dried up wasteland. And the only reason anybody ever comes here is for the tacky little amusement park. Can't you just accept that?"
396,FRY,I guess I can't.
397,FARMER,I'll learn ye to sleep with my robot daughters!
398,BENDER,He'll never find me in here.
399,LEELA,Bender?
400,FRY,"Oh, Bender. You didn't touch the Crushinator, did you?"
401,BENDER,Of course not. A lady that fine you gotta romance first.
402,FARMER,"Oh, no you don't! C'mere Crushinator."
403,CRUSHINATOR,"(mechanical voice) Yes, Pa."
404,FRY,It's too low.
405,LEELA,Hang on. Hang on. Jump.  Hold on to your helmet!
406,FARMER,"God darn, it Crushinator, jump!"
407,CRUSHINATOR,"(mechanical voice) No, Pa. I love him."
408,FRY,"Hey, cool! Dark side of the moon!"
409,LEELA,"Nightfall's coming.  Hurry, before we freeze."
410,BENDER,"What do you mean ""we"", mammal?"
411,FARNSWORTH,"Oh, dear! I really ought to do something. But I am already in my pyjamas."
412,LEELA,We can't outrun it forever.
413,FRY,Over there! Look! It's the moon landing site! We found it!
414,LEELA,"Quick, get in."
415,FRY,"It's that flag from MTV! And Neil Armstrong's footprint!  Hey! My foot's bigger! Leela, isn't this the greatest thing you've ever seen?"
416,LEELA,"Fry, look around. It's just a crummy plastic flag and a dead man's tracks in the dust.  Now get in here before you freeze."
417,BENDER,"Oh, no room for Bender, huh? Fine! I'll go build my own lunar lander, with blackjack and hookers. In fact, forget the lunar lander and the blackjack. Ah, screw the whole thing."
418,LEELA,Well if the oxygen holds out we might live long enough to starve to death.
419,FRY,"Look, Leela, I'm sorry. I never should have dragged you out here."
420,LEELA,"That's right, you shouldn't have. I still don't get what the big attraction is."
421,FRY,I never told anybody this but a thousand years ago I used to look up at the moon and dream about being an astronaut. I just didn't have the grades. Nor the physical endurance. Plus I threw up a lot and nobody liked spending a week with me.
422,LEELA,A week would be a little much.
423,FRY,"The moon was like this awesome, romantic, mysterious thing, hanging up there in the sky where you could never reach it, no matter how much you wanted to. But you're right. Once you're actually here it's just a big dull rock. I guess I just wanted you to see it through my eyes, the way I used to."
424,LEELA,"Fry, look. It really is beautiful. I don't know why I never noticed before."
425,FARMER,"Had to come back for the Crushinator, eh, robot? Well I got you this time."
426,FRY,It's Amy! We're saved!
427,LEELA,Amy? Where'd she learn to operate the controls like that?
428,BENDER,Not the magnet! No! No! Nooo --  Uh-oh!
429,BENDER,"(singing) She'll be comin' round the mountain when she comes,"
430,FARMER,"Aww, dang it!"
431,BENDER,"(singing) She'll be riding six white horses when she comes,"
432,LEELA,"So, Fry, was the real moon anything like the moon you used to dream about?"
433,FRY,"Well, close enough!"
434,THE END,
435,BENDER,"Well I'll shoot her with my ray gun when she comes,"
436,FUTURAMA,
437,"""I, ROBOT""",
438,BENDER,Hey!
439,HERMES,"Fry, mon, if you're going to be living in the office you could at least be on time for work."
440,FRY,I'm sorry. I was up really late poking through people's desks.
441,HERMES,"Alright, people. I will now outline today's 12-point agenda. We'll begin with point one then race forward --"
442,HERMES,"Concerning our pest problem: Somebody's been leaving food around and it's attracting owls. And I, for one, am getting tired of cleaning those owl traps.  Now......as this shocking graph indicates, our water consumption has tripled in the last month. I notice Fry has been here for a month, so I'm appointing him head of a committee to find who's responsible. Fry?  Am I cracking up, or is Fry's living here starting to get in the way of bus -"
443,LEELA,What the hell are you doing?! You're getting a huge dose of radiation!
444,FRY,And great lift!
445,LEELA,Do you know how long it's going to take me to recalibrate these engines?
446,FRY,"Hey, when you look this good, you don't have to know anything."
447,LEELA,"Professor, We need to talk to you about Fry."
448,BENDER,"That's right, we want some money -- wait, what's this about Fry?"
449,LEELA,He's a nice guy but we think it's about time he got his own place.
450,FARNSWORTH,"Oh, fuff! He's not causing any trouble. Now, if you don't mind, I'm rather busy. I seem to have mislaid my alien mummy. This sarcophagus should contain the remains of Emperor Nimballa, who ruled Zubin 5 over 29 million years ago."
451,FRY,"Hey, Professor, great jerky!"
452,FARNSWORTH,"My God, this is an outrage! I was going to eat that mummy! Fry has got to go!"
453,TV.],
454,ANNOUNCER,Bachelor chow: Now with flavour!
455,COMMENTATOR,And Bigfoot is down!
456,FRY,"Sheesh! 40,000 channels and only 150 have anything good on."
457,ANNOUNCER,"All My Circuits is brought to you by Robo Fresh: Designed by a robot, for a robot."
458,CALCULON,"I've been processing this for some time, Monique, and well, will you marry me?"
459,MONIQUE,"Oh, Calculon!  It fits! Then you must know that I'm --"
460,CALCULON,"Metric? I've always known. But for you, my darling, I'm willing to convert."
461,FRY,"Hmm, must be a friend of theirs."
462,BENDER,"Fry, we've got to discuss your living arrangements."
463,LEELA,We've all talked it over and --
464,BENDER,"Hey, All My Circuits! Move over.  Ahh!"
465,LEELA,"Fry, sometimes in close quarters, people do inconsiderate things without realising it."
466,FRY,I know but I forgive you.
467,LEELA,"No, Fry, by ""close quarters"" I mean this office..."
468,FRY,Uh-huh.
469,LEELA,"...and by ""people"" I mean you!"
470,FRY,Right.
471,LEELA,"And by ""inconsiderate"" I mean --"
472,FRY,Leela! We're trying to watch TV.
473,BENDER,"Yeah, would you kindly shut your noise hole?"
474,FRY,"So, who's that weird-looking guy?"
475,BENDER,That's a human.
476,FRY,What's he do?
477,BENDER,"Eh, the usual human stuff. He laughs, he learns, he loves."
478,FRY,Boring!
479,HUMAN FRIEND,Calculon? I thought you were in a coma.
480,CALCULON,"That's what I wanted you to think with your soft, human brain."
481,FRY,"Hey, uh, why is the TV getting smaller?"
482,HERMES,We'll bill you for the couch.
483,BENDER,"Cheer up, meatbag, you've barely touched your amoeba."
484,FRY,It looked good but I just don't feel like eating. You want it?
485,BENDER,"Nah, I'm trying to watch my input. I need plenty of wholesome, nutritious alcohol.  The chemical energy keeps my fuel cells charged."
