,Characters,Quotes,Characters_consolidated
93,BENDER,"Suicide booths!  Well, Fry, it was a pleasure meeting you, I'm gonna go kill myself.",BENDER
94,FRY,Wait! You're the only friend I have!,FRY
95,BENDER,You really want a robot for a friend?,BENDER
96,FRY,"Yeah, ever since I was six.",FRY
97,BENDER,"Well, OK. But I don't want people thinking we're robo-sexuals, so if anyone asks, you're my debugger.",BENDER
98,FRY,"Oh, no, it's the Cyclops!  Don't look! Don't look!",FRY
100,LEELA,This is officer 1B-DI requesting back-up.,LEELA
102,BENDER,"We can hide in here, it's free on Tuesdays.",BENDER
104,FRY,Spock? Hey! Do the thing!,FRY
106,FRY,This is unbelievable! What do you heads do all day?,FRY
111,LEELA,"I'm sorry, Fry, but I have to install your career chip.",LEELA
112,FRY,"Yeah, well, if you're sorry why are you doing it?",FRY
113,LEELA,It's my job. You gotta do what you gotta do!,LEELA
116,FRY,Ow! Stoppit! Down boy! Bad president!,FRY
119,LEELA,"Please, officers, there's no need to use force.",LEELA
121,LEELA,"Oh, come on, he's just a poor kid from the Stupid Ages.",LEELA
123,LEELA,No-one makes fun of my nose.,LEELA
125,LEELA,You guys were totally out of control.,LEELA
129,FRY,"Wait a second. You're a bender, right? We can get out of here if you just bend the bars.",FRY
130,BENDER,"Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?",BENDER
131,FRY,Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?,FRY
132,BENDER,I'll have to check my program...yep.,BENDER
134,FRY,"C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals...and animal robots.",FRY
135,BENDER,"You're full of crap, Fry!  You make a persuasive argument, Fry.",BENDER
136,FRY,"Come on, Bender! You can do it.",FRY
137,BENDER,Can't...I...can't...do...it!,BENDER
139,BENDER,"You were right, Fry! From now on I'm going to bend what I want, when I want, who I want! I'm unstoppable!",BENDER
140,FRY,I don't know how you did that.,FRY
143,BENDER,Looks like one of us will have to bend this grate.,BENDER
144,FRY,Good Lord! What is this?,FRY
145,BENDER,"It's the decaying ruins of Old New York. Welcome home, pal!",BENDER
146,FRY,"Its my old neighbourhood. Man, this brings back a lot of memories.",FRY
147,BENDER,"Keep 'em to yourself, pops.",BENDER
148,FRY,This is where I brought my girlfriend on our very first date.,FRY
149,FRY,My God! She's gone. Everyone I ever knew or cared about is gone.,FRY
150,BENDER,Wait! There's someone you know!,BENDER
151,FRY,"Oh, can't you leave me alone? I'm miserable enough already.",FRY
152,LEELA,"Look, I know it's not much consolation but I understand how you feel.",LEELA
153,FRY,"No, you don't. I've got no home, no family...",FRY
155,FRY,...My whole world is gone. You can't possibly understand what it feels like to be so alone.,FRY
156,LEELA,I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.,LEELA
157,FRY,"Look, Leela, I don't understand this world but you obviously do, so I give up. If you really think I should be a delivery boy, I'll do it.  Your chip. What are you doing?",FRY
160,LEELA,Because I've always wanted to. I just never realised it before I met you.,LEELA
161,FRY,What is the matter with you?,FRY
162,BENDER,I just wanted to be part of the moment.,BENDER
164,BENDER,"Sorry.  Well, that solves the mystery of the missing ring. This calls for a drink.",BENDER
165,LEELA,I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.,LEELA
166,FRY,Correction. We're unemployed but we have a doddering old relative to mooch off of.,FRY
169,FRY,I'm your dear old Uncle Fry.,FRY
170,FARNSWORTH,I don't have an Uncle Fry.,FARNSWORTH
172,FARNSWORTH,"By God, I am your nephew! This is absolutely incredible!",FARNSWORTH
173,BENDER,Can we have some money?,BENDER
175,FARNSWORTH,Let me show you around. That's my lab table and this is my work-stool. And over there is my intergalactic spaceship! And here's where I keep assorted lengths of wire.,FARNSWORTH
176,FRY,Whoa! A real live spaceship!,FRY
177,FARNSWORTH,I designed it myself. Let me show you some of the different lengths of wire I used.,FARNSWORTH
182,LEELA,Can't we get away in the ship?,LEELA
183,FARNSWORTH,I suppose it is technically possible. Though I am already in my pyjamas.,FARNSWORTH
184,FRY,I'll get us out of here.,FRY
185,FARNSWORTH,Can anyone drive stick?,FARNSWORTH
186,LEELA,I can. As long as I don't have to parallel park.,LEELA
188,LEELA,Prepare for lift-off. Ten.,LEELA
201,FRY,"So I guess without jobs, we'll be fugitives forever.",FRY
202,FARNSWORTH,"Not necessarily. Are you three, by any chance, interested in becoming my new spaceship crew?",FARNSWORTH
203,BENDER,New crew? W-What happened to the old crew?,BENDER
204,FARNSWORTH,Of those poor sons of -- but that's not important. The important thing is I need a new crew. Anyone interested?,FARNSWORTH
205,FRY,Yes! Yes! That's exactly the job I've always wanted!,FRY
206,LEELA,"Thanks for the offer, Professor, but we don't have the proper career chips.",LEELA
207,FARNSWORTH,"Oh, that won't be a problem. As luck would have it I saved the chips from my previous crew.",FARNSWORTH
208,FRY,This is awesome! Are we gonna fly through space fighting monsters and teaching alien women to lurve?,FRY
209,FARNSWORTH,"If by that you mean ""transporting cargo"" then yes. It's a little home business I started to fund my research.",FARNSWORTH
210,FRY,Cool! What's my job gonna be?,FRY
211,FARNSWORTH,You will be responsible for ensuring that the cargo reaches its destination.,FARNSWORTH
212,FRY,"So, I'm gonna be a delivery boy?",FRY
214,FRY,Alright! I'm a delivery boy!,FRY
217,FARNSWORTH,As new employees I'd like your opinion on our commercial. I paid to have it air during the Superbowl.,FARNSWORTH
219,FARNSWORTH,"Not on the same channel, of course.",FARNSWORTH
226,FRY,Are there really giant birds like that?,FRY
227,FARNSWORTH,"No, no! That was all just special effects! Now let's have breakfast. I hope everyone likes eggs.",FARNSWORTH
228,FRY,I'm never going to get used to the 31st century.  Caffinated bacon? Baconated grapefruit? Admiral Crunch?,FRY
229,LEELA,"Well, if you don't like that try some Archduke Chocula.",LEELA
230,FARNSWORTH,"Ah, Hermes! Crew, meet Hermes Conrad. He manages my delivery business, pays the bills, notifies next of kin, what have you.",FARNSWORTH
232,FARNSWORTH,"Oh, my! I haven't picked a new captain yet. It's always so hard to choose.",FARNSWORTH
235,LEELA,(reading) Death by airlock failure.,LEELA
237,LEELA,(reading) Death by brain parasite.,LEELA
239,LEELA,(reading) Death by sonic diarrhoea?,LEELA
241,LEELA,"Look, I don't know about any of your previous captains but I intend to do as little dying as possible.",LEELA
243,FARNSWORTH,"Now Fry, before you go into space you'll need to see our staff doctor. I should warn you though, he's a little unusual. (whispering) He wears sandals!",FARNSWORTH
245,FARNSWORTH,"Dr. Zoidberg, this is Fry, the new delivery boy. He needs a physical.",FARNSWORTH
251,FRY,"Uh, is there a human doctor around?",FRY
253,FARNSWORTH,"Dear Lord, Bender, you're filthy.",FARNSWORTH
254,BENDER,"Yeah, like you don't have crap in your neck!",BENDER
255,FARNSWORTH,"Amy, why don't you give his body a going over with the cleaning pick?",FARNSWORTH
259,FRY,"Well, the doctor says I'm as healthy as a crab. Can I go into space now?",FRY
260,FARNSWORTH,"As soon as we finish cleaning Bender. Oh, and Fry, this is our intern, Amy Wong. She's an engineering student of mine. (whispering) I like having her around because she's the same blood type as me.",FARNSWORTH
262,FRY,(chuffed) Last time I checked.,FRY
263,LEELA,Hang on. Amy Wong? Of the Mars Wongs?,LEELA
265,LEELA,Uh-huh! What sorority do you belong to?,LEELA
267,BENDER,"Hey, rich girl. Look over here! It's me, Bender. I'm being entertaining. (singing) La la la look at my head. It's all painted look at my head! I got a big old head, hey! Ho! (talking) Alright, show's over, I'm tired.",BENDER
268,FARNSWORTH,"Ah, to be young again. And also a robot! Now as I recall you youngsters have a package to deliver.",FARNSWORTH
269,FRY,"Finally! Come on Bender, let's mosey!",FRY
271,FRY,So where are we going anyway?,FRY
272,LEELA,Nowhere special. The moon.,LEELA
273,FRY,The moon? The moon moon? Wow! I'm gonna be a famous hero just like Neil Armstrong and those other brave guys no one ever heard of!,FRY
275,LEELA,Well...I guess so. Just be careful. I'd like to hold off any major screwups until at least my second day as captain.,LEELA
277,FRY,Can I do the countdown?,FRY
278,LEELA,"Huh? Oh sure, knock yourself out.",LEELA
281,FRY,"Hurry up, I wanna see the moon!",FRY
282,LEELA,"Relax, its open till 9.",LEELA
283,FRY,That's one small step for Fry --,FRY
285,FRY,"Wow!  Um, can I have cuts?",FRY
287,FRY,You're not gonna believe this but they landed an amusement park on the moon!,FRY
290,LEELA,"Fry, we have a crate to deliver.",LEELA
291,FRY,Let's just dump it in the sewer and say we delivered it.,FRY
292,BENDER,Too much work. Lets burn it and say we dumped it in the sewer.,BENDER
293,LEELA,"OK, if everyone's finished being stupid --",LEELA
294,FRY,I had more but you go ahead.,FRY
295,LEELA,We'll deliver that crate like professionals and then we'll go home.,LEELA
296,FRY,But I've never been to the moon before.,FRY
297,LEELA,"Alright. We'll deliver that crate like professionals...and then we'll go ride the bumper cars.  Amy, why don't you help Fry hoist down the crate. Then lock up when you're done. Just be careful.",LEELA
304,FRY,My first space delivery.,FRY
305,FRY,"Uh, greetings, Moon Man, we come in peace. I am Fry from the planet Earth.",FRY
307,FRY,"But you are lazy, right?",FRY
310,BENDER,Better mascots than you have tried.,BENDER
313,BENDER,Idiots who need gifts for other idiots.,BENDER
314,FRY,"Hey, I got you guys refrigerator magnets.",FRY
315,BENDER,"Get it off! Get it off! Get it -- uh oh!  (singing) How many roads must a man walk down, before you... (talking) Keep those things off of me! Magnets screw up my inhibition unit!",BENDER
316,FRY,So you flip out and start acting like some crazy folk singer?,FRY
317,BENDER,Yes. I guess a robot would have to be crazy to wanna be a folk singer.,BENDER
320,BENDER,"Oh, jeez, I went to high school with that guy!",BENDER
327,FRY,"I don't know. This place is great and all but its just so artificial. The gravity, the air, the gophers. You might as well stay on Earth.  That's what I came to see! I wanna go out there and jump around like an astronaut. Screw this phoney stuff!",FRY
328,LEELA,But the phoney stuff is what's fun. It's boring out there.,LEELA
329,BENDER,Yeah! You're the kind of guy who visits Jerusalem and doesn't want to see the Sexeteria!,BENDER
330,LEELA,Maybe I should take Fry on the Luna Rover ride. You get to wear a space suit and drive around on the surface. And the line's short because it's educational.,LEELA
331,FRY,I don't care how educational it is. Let's do it!,FRY
332,BENDER,(shouting) Next year in Jerusalem!,BENDER
333,FRY,Finally! Get ready for some serious moon action.,FRY
336,LEELA,"Wow, I never realised the first astronauts were so fat!",LEELA
337,FRY,"That's not an astronaut, it's a TV comedian. And he was just using space travel as a metaphor for beating his wife.",FRY
339,BENDER,"Look, it's that crate we were gonna throw in the sewer.",BENDER
341,BENDER,Nah. She'll probably make me do it.,BENDER
349,LEELA,(singing) ...and sing a whaling tune. We're whalers on the moon...,LEELA
350,FRY,That's not how it happened.,FRY
351,LEELA,"Oh, really? I don't see you with a fungineering degree! p>",LEELA
352,FRY,This is stupid. I'm taking this thing out to the real moon.,FRY
353,LEELA,"Fry, no. This is my first mission and I'm not gonna let us get in any trouble. Besides, the car's on a track.",LEELA
356,LEELA,"OK, you're on the surface. Now I'll give you 10 minutes. Then you'll get bored, turn around and apologise for being such a jerk. Agreed?",LEELA
357,FRY,Agreed.  Yee-haw! Woo! Yeah! Crank up the radio!,FRY
360,LEELA,Time's up. Make a U-turn at the next crater.,LEELA
361,FRY,No not yet. How 'bout we go look for the original moon landing site?,FRY
362,LEELA,That's crazy! It's been lost for centuries!,LEELA
363,FRY,Well I'm feelin' lucky!  Uh... I'm ready to go back now.,FRY
364,FRY,"We're gonna die! It's every man for himself!  Help me, Leela!  You did it! We're safe!",FRY
365,LEELA,No. Now we're gonna die.,LEELA
366,FRY,It's every man for himself.,FRY
367,BENDER,"Hey, look what I won from a tourist's pocket!",BENDER
369,BENDER,"Come on, it's just like making love. Y'know: Left, down, rotate 62 degrees, engage rotor.",BENDER
371,BENDER,"Here, let me do it.  Ah, lousy arm. Must be rigged!  That's her, officers! Uh, that's the woman who programmed me for evil!",BENDER
372,BENDER,"Yeah, well, I'm gonna go build my own theme park, with blackjack and hookers. In fact, forget the park!",BENDER
373,FRY,"(gasping) I'm sorry, Leela, I can't go on any further. Just leave me to die in that barn over there.",FRY
376,FRY,"No, sir. We're amusement park patrons.",FRY
378,LEELA,Our car broke down and we're out of oxygen. Can we borrow some?,LEELA
380,FRY,I guess we could do chores for a few hours.,FRY
381,LEELA,"Fry, night lasts two weeks on the moon.",LEELA
393,LEELA,"I told you to turn around and go back to the park. But oh, no, the park was too phoney. We had to see the real moon.",LEELA
394,FRY,"And it was great! We got to see craters and rocks and that one incredible rock that looked like a crater and, and these fellas.",FRY
395,LEELA,"Fry, face it. The moon is a dump. It's a boring dried up wasteland. And the only reason anybody ever comes here is for the tacky little amusement park. Can't you just accept that?",LEELA
398,BENDER,He'll never find me in here.,BENDER
400,FRY,"Oh, Bender. You didn't touch the Crushinator, did you?",FRY
401,BENDER,Of course not. A lady that fine you gotta romance first.,BENDER
405,LEELA,Hang on. Hang on. Jump.  Hold on to your helmet!,LEELA
408,FRY,"Hey, cool! Dark side of the moon!",FRY
409,LEELA,"Nightfall's coming.  Hurry, before we freeze.",LEELA
410,BENDER,"What do you mean ""we"", mammal?",BENDER
411,FARNSWORTH,"Oh, dear! I really ought to do something. But I am already in my pyjamas.",FARNSWORTH
412,LEELA,We can't outrun it forever.,LEELA
413,FRY,Over there! Look! It's the moon landing site! We found it!,FRY
415,FRY,"It's that flag from MTV! And Neil Armstrong's footprint!  Hey! My foot's bigger! Leela, isn't this the greatest thing you've ever seen?",FRY
416,LEELA,"Fry, look around. It's just a crummy plastic flag and a dead man's tracks in the dust.  Now get in here before you freeze.",LEELA
417,BENDER,"Oh, no room for Bender, huh? Fine! I'll go build my own lunar lander, with blackjack and hookers. In fact, forget the lunar lander and the blackjack. Ah, screw the whole thing.",BENDER
418,LEELA,Well if the oxygen holds out we might live long enough to starve to death.,LEELA
419,FRY,"Look, Leela, I'm sorry. I never should have dragged you out here.",FRY
420,LEELA,"That's right, you shouldn't have. I still don't get what the big attraction is.",LEELA
421,FRY,I never told anybody this but a thousand years ago I used to look up at the moon and dream about being an astronaut. I just didn't have the grades. Nor the physical endurance. Plus I threw up a lot and nobody liked spending a week with me.,FRY
422,LEELA,A week would be a little much.,LEELA
423,FRY,"The moon was like this awesome, romantic, mysterious thing, hanging up there in the sky where you could never reach it, no matter how much you wanted to. But you're right. Once you're actually here it's just a big dull rock. I guess I just wanted you to see it through my eyes, the way I used to.",FRY
424,LEELA,"Fry, look. It really is beautiful. I don't know why I never noticed before.",LEELA
427,LEELA,Amy? Where'd she learn to operate the controls like that?,LEELA
428,BENDER,Not the magnet! No! No! Nooo --  Uh-oh!,BENDER
429,BENDER,"(singing) She'll be comin' round the mountain when she comes,",BENDER
431,BENDER,"(singing) She'll be riding six white horses when she comes,",BENDER
432,LEELA,"So, Fry, was the real moon anything like the moon you used to dream about?",LEELA
435,BENDER,"Well I'll shoot her with my ray gun when she comes,",BENDER
440,FRY,I'm sorry. I was up really late poking through people's desks.,FRY
443,LEELA,What the hell are you doing?! You're getting a huge dose of radiation!,LEELA
445,LEELA,Do you know how long it's going to take me to recalibrate these engines?,LEELA
446,FRY,"Hey, when you look this good, you don't have to know anything.",FRY
447,LEELA,"Professor, We need to talk to you about Fry.",LEELA
448,BENDER,"That's right, we want some money -- wait, what's this about Fry?",BENDER
449,LEELA,He's a nice guy but we think it's about time he got his own place.,LEELA
450,FARNSWORTH,"Oh, fuff! He's not causing any trouble. Now, if you don't mind, I'm rather busy. I seem to have mislaid my alien mummy. This sarcophagus should contain the remains of Emperor Nimballa, who ruled Zubin 5 over 29 million years ago.",FARNSWORTH
451,FRY,"Hey, Professor, great jerky!",FRY
452,FARNSWORTH,"My God, this is an outrage! I was going to eat that mummy! Fry has got to go!",FARNSWORTH
456,FRY,"Sheesh! 40,000 channels and only 150 have anything good on.",FRY
461,FRY,"Hmm, must be a friend of theirs.",FRY
462,BENDER,"Fry, we've got to discuss your living arrangements.",BENDER
463,LEELA,We've all talked it over and --,LEELA
464,BENDER,"Hey, All My Circuits! Move over.  Ahh!",BENDER
465,LEELA,"Fry, sometimes in close quarters, people do inconsiderate things without realising it.",LEELA
466,FRY,I know but I forgive you.,FRY
467,LEELA,"No, Fry, by ""close quarters"" I mean this office...",LEELA
469,LEELA,"...and by ""people"" I mean you!",LEELA
471,LEELA,"And by ""inconsiderate"" I mean --",LEELA
472,FRY,Leela! We're trying to watch TV.,FRY
473,BENDER,"Yeah, would you kindly shut your noise hole?",BENDER
474,FRY,"So, who's that weird-looking guy?",FRY
477,BENDER,"Eh, the usual human stuff. He laughs, he learns, he loves.",BENDER
481,FRY,"Hey, uh, why is the TV getting smaller?",FRY
483,BENDER,"Cheer up, meatbag, you've barely touched your amoeba.",BENDER
484,FRY,It looked good but I just don't feel like eating. You want it?,FRY
485,BENDER,"Nah, I'm trying to watch my input. I need plenty of wholesome, nutritious alcohol.  The chemical energy keeps my fuel cells charged.",BENDER
486,FRY,What are the cigars for?,FRY
487,BENDER,They make me look cool.,BENDER
488,FRY,I can't believe they threw me out like that. I must have been really acting like a jerk.,FRY
489,BENDER,"Yeah, but everybody's a jerk. You, me, this jerk.  That's my philosophy. So, where you gonna stay?",BENDER
490,FRY,I don't know. Do refrigerators still come in cardboard boxes?,FRY
491,BENDER,"Yeah, but the rents are outrageous. Why don't you just come move in with me?",BENDER
492,FRY,Really? That'd be great! You sure I won't be imposing?,FRY
493,BENDER,"Nah, I've always wanted a pet.",BENDER
494,BENDER,Here we are. Your new home.,BENDER
495,FRY,"Cool! Y'know, I've never even seen a robot's apartment before.",FRY
496,BENDER,"Come on in, I'll give you the tour!",BENDER
497,BENDER,"Let's see, where to start. OK, this is the TV area, that over there's the breakfast nook, and over here is where you'll be living which is great because, until now, it's just been wasted space.",BENDER
498,FRY,It's kinda cramped in here. I don't even have room to hang my clothes.,FRY
499,BENDER,"Look, pal, you've only got one set of clothes and you're not taking them off while I'm here. Well, I'm bushed. G'night.",BENDER
501,BENDER,(sleep-talking) Kill all humans...kill all humans...must kill all the humans.,BENDER
503,BENDER,I was having the most wonderful dream. I think you were in it.,BENDER
504,FRY,"Uh, listen, Bender, uh, where's your bathroom?",FRY
511,BENDER,"(sleep-talking) Hey, sexy mama...wanna kill all the humans?",BENDER
512,LEELA,We sure are cheerful this morning.,LEELA
513,BENDER,"Yeah, this past week with Fry's been a blast! Y'know, beneath this warm, sunny exterior, beats the cold, mechanical heart of a robot.",BENDER
515,FRY,"Oh, it's Bender's apartment. He put in carpeting yesterday so now my head hits the ceiling. Hey, do you realise you're standing at a weird angle?  Now you're OK.",FRY
516,LEELA,Look at yourself. You're a wreck! You've got to find a new place to live.,LEELA
517,FRY,(sexily) Is that an invitation?,FRY
518,LEELA,"Love your optimism, Fry. But seriously, you've got to tell Bender you're moving out.",LEELA
519,FRY,"Yeah, but he might get kind of upset. I don't think I can do that to him.",FRY
520,BENDER,"Hey, there's my little space heater.",BENDER
523,FRY,"I'm sorry, Bender, but there's just not enough room.",FRY
524,BENDER,Not enough room? My place is two cubic metres and we only take up 1.5 cubic metres. We've got room for a whole nother two-thirds of a person.,BENDER
525,LEELA,What if I just helped the two of you find a bigger apartment?,LEELA
526,BENDER,I don't know. I've got a lot of great memories in my old place.  And now they're gone.,BENDER
528,LEELA,At least it's got a great view.,LEELA
531,LEELA,Wow! Now this is fantastic!,LEELA
532,FRY,"Hmm, I'm not sure we want to pay for a dimension we're not going to use.",FRY
533,FRY,"Well, I give up. What's the catch?",FRY
535,FRY,Not one place even remotely liveable.,FRY
536,FARNSWORTH,"Oh, how awful. Did he at least die painlessly...? To shreds, you say. Well, how is his wife holding up...? To shreds, you say. Very well then.  Sad, sad, terrible, gruesome news about my colleague, Dr. Mobootu.",FARNSWORTH
537,LEELA,Was his apartment rent-controlled?,LEELA
538,LEELA,"Wow, this is beautiful.",LEELA
539,BENDER,What's with all the crap?,BENDER
542,FRY,"Well, this place has everything except the only thing I care about: A TV.",FRY
546,BENDER,"Whoa, slow down! This place just doesn't feel like home. It just isn't...cosy. Ahh, I can barely move.   It's perfect!",BENDER
547,FRY,"Man, it's a total sty! For the first time in a thousand years, I feel like I'm home.",FRY
548,BENDER,"Yeah! It's gonna be fun on the bun! Y'know Fry, of all the friends I've had, you're the first.",BENDER
550,LEELA,"Happy housewarming, Fry!  It's a miniature fruit salad tree.",LEELA
553,FARNSWORTH,"This is for you, Fry  Zevulon the Great. He's teriyaki style.",FARNSWORTH
554,BENDER,"Wow, heavy drinking crowd!  I'd better go out for more beer.",BENDER
555,FRY,"Hey, hang on, All My Circuits is about to start!",FRY
556,BENDER,"I know, but I need alcohol to power up my batteries. If Calculon's wedding doesn't go just right I'll be emotionally and electrically drained.",BENDER
560,FRY,"Shh, the wedding's about to start!",FRY
562,FRY,Is he objecting or backing up?,FRY
568,BENDER,Hey what happened to the TV?,BENDER
570,BENDER,This is an outrage! I'm gonna go yell at the manager!,BENDER
572,FRY,"(shouting) Come back, Bender, its working!",FRY
575,BENDER,What? That's the last straw!,BENDER
578,BENDER,Yeah! And you'd better get rid of whatever's causing it or we're outta this dump!,BENDER
586,BENDER,You people are nuts. My antenna never interfered with my old TV.,BENDER
587,LEELA,You had cable. This is satellite.,LEELA
588,FARNSWORTH,Obviously your thoughts are being transmitted on the same frequency.,FARNSWORTH
590,BENDER,"Madam, I believe you're mistaken!",BENDER
591,BENDER,"Wow, that lady's got a huge ass!",BENDER
592,BENDER,"Those could be anyone's thoughts, fat ass!",BENDER
597,BENDER,"Fine! Come on, Fry, let's move to that apartment that smelled like a sewer. You liked that one, right?",BENDER
598,FRY,"It's tempting, but, well, I am already kinda settled in here.",FRY
599,BENDER,Or we could live underground with the mutants. A little fire'll show 'em who's boss!,BENDER
600,FRY,"Uh, listen, is there maybe some way we could do this with you going and me not going?",FRY
602,FRY,"Well, you were gonna live in the closet anyway. Won't you be just as happy back in your old place?",FRY
603,BENDER,"But, then we wouldn't be roommates.",BENDER
604,FRY,I'll come visit sometime. And you can visit me here.,FRY
606,FRY,"Anyway, I'm sure it'll work out. This way we'll both be happy.",FRY
607,BENDER,"(downbeat) Happy. Yeah, that's Bender. Always happy.",BENDER
617,FRY,"Hey, thanks for coming.",FRY
618,LEELA,"Fry, you're Bender's best friend. How could you let that mob kick him out?",LEELA
619,FRY,"Ah, come on. Bender loves mobs.",FRY
620,LEELA,Only when he's in them and you know it. You really hurt his feelings.,LEELA
621,FRY,Don't girl me with that girl stuff. Bender and me are guys. Guys don't have feelings.,FRY
622,LEELA,"Bender's not a guy, he's a robot.",LEELA
625,BENDER,"My roommate's gone. And all he left behind was an eyelash and three skin flakes.  Oh, what's the point?!",BENDER
626,LEELA,"Bender?  My God, you're a mess!",LEELA
628,LEELA,"Look at that five o'clock rust. You've been up all night not drinking, haven't you?",LEELA
629,BENDER,Hey. What I don't do is none of your business.,BENDER
630,LEELA,"Please, Bender. Have some malt liquor. If not for yourself then for the people who love you.",LEELA
631,BENDER,I hate the people who love me and they hate me.,BENDER
632,LEELA,"Oh, now look. It's obvious you miss being Fry's roommate. But there's got to be a better way to deal with this.",LEELA
633,BENDER,Like how? Having my antenna removed?,BENDER
634,LEELA,"Well, if that would work.",LEELA
635,BENDER,Are you crazy? That's Little Bender you're talking about. I can't cut it off. You're not a robot or a man so you wouldn't understand. I gotta get out of here.,BENDER
636,LEELA,Wait! I want you to look me in the eye and promise you won't get behind the wheel without some kind of alcoholic beverage in your hand.,LEELA
639,LEELA,I can't just stand by and be silent about Bender anymore.,LEELA
640,FRY,Silent? You've been meddling for two solid weeks.,FRY
641,LEELA,Well I can't just do that anymore. Your best friend is out there somewhere destroying himself.,LEELA
642,FRY,Really? I didn't think he'd miss this apartment that much.,FRY
643,LEELA,"He doesn't care about the apartment, he cares about you. And you turned your back on him.",LEELA
644,FRY,"Oh, man. I had no idea. If only I knew where he was I'd go talk to him.",FRY
645,FRY,"Oh, stupid TV!  Bender! You're blind stinking sober!",FRY
646,BENDER,That's right! I'm sober and crazy and I don't know what I might do!,BENDER
648,BENDER,"I don't know what it is yet. Oh, yeah, now I remember. I thought I could live alone, but I can't. So, I'm gonna do what it takes to be your roommate again.",BENDER
650,FRY,Cutting Leela's head off won't solve anything!,FRY
651,BENDER,"No, I'm going to chop off my antenna.",BENDER
652,FRY,"Hey, yeah! That sounds good. Can I give you a hand?",FRY
653,LEELA,"Fry, don't help him mutilate himself.",LEELA
654,FRY,But it's a useless antenna. It's not like he's a ham radio or something.,FRY
655,BENDER,I'm gonna do it! I'm really gonna do it! Don't try and stop me! Here goes.,BENDER
656,FRY,"Hey, it works! The static's gone.",FRY
