,Characters,Quotes,Scenes,Fry,Other,Leela,Bender,Farnsworth,Hermes,Zoidberg,Amy,Zapp
59,Leela,Well that's tough! Lots of people don't like their jobs but we do them anyway.  You gotta do what you gotta do. Now hold out your hand. I'm gonna implant your career chip. It'll permanently label you as a delivery boy.,9,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Fry,Keep that thing away from me!,9,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Leela,"Hold still, dammit. I don't have good depth perception!  You've got until the count of five to let me out of here. One--",9,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Fry,See you in a thousand years!  You owe me one.,9,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Fry,Whoa!,10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
64,Other,JFK Jr. Airport.,10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
65,Other,Radio City Mutant Hall.,10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
66,Fry,Cool!  Um. Cross Town Express?,10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
67,Other,Pft! Tourist!,10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
68,Fry,Hey! A phone booth! I can call my nephew.  Wow! A real live robot! Or is that some kind of cheesy New Year's costume?,10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
69,Bender,Bite my shiny metal ass.,10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
70,Fry,It doesn't look so shiny to me.,10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
71,Bender,"Shinier than yours, meatbag!",10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
72,Bender,"Listen, buddy, I'm in a hurry here. Let's try for a two-fer!",10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
73,Other,Please select mode of death,10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
74,Fry,"Yeah, I'd like to place a collect call.",10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
75,Other,You have selected,10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
76,Bender,"Great choice!  Bring it on, baby!",10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
77,Bender,"C'mon, c'mon! Kill me already! By the way, my name's Bender!",10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
78,Fry,Help! What's happening?,10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
79,Other,"You are now dead. Thank you for using Stop-N-Drop, America's favourite suicide booth since 2008.",10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
80,Bender,"Lousy, stinking rip-off!  Well, I didn't have anything else planned for today. Let's go get drunk!",10,75.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
81,Leela,"Two, three-- Hey!",11,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Other,Welcome to the world of tomorrow!,11,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Leela,"Shut up, Terry.",11,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Other,"This is unacceptable, Leela. You must find this Mr. Fry and install his chip.",12,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Leela,"Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him.",12,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Other,"Well that's your job, whether you like it or not. And it's my job to make you do your job whether I like it or not, which I do, very much! Now get to work!  Life is good!",12,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Fry,Why would a robot need to drink?,13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
88,Bender,"I don't need to drink, I can quit anytime I want!  So they made you a delivery boy, huh? Man, that's as bad as my job.",13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
89,Fry,"Really? What do you do, Bender?",13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
90,Bender,"I'm a bender. I bend girders, that's all I'm programmed to do.",13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
91,Fry,You any good at it?,13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
92,Bender,You kidding? I was a star! I could bend a girder to any angle,13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
93,Fry,What?,13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
94,Bender,"Suicide booths!  Well, Fry, it was a pleasure meeting you. I'm gonna go kill myself.",13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
95,Fry,Wait! You're the only friend I have!,13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
96,Bender,You really want a robot for a friend?,13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
97,Fry,"Yeah, ever since I was six.",13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
98,Bender,"Well, OK. But I don't want people thinking we're robo-sexuals. So, if anyone asks, you're my debugger.",13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
99,Fry,"Oh, no, it's the Cyclops!  Don't look! Don't look!",13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
100,Bender,I'm not looking!,13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
101,Leela,This is officer 1B-DI requesting back-up.,13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
102,Other,We'll be there in five minutes.,13,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
103,Bender,We can hide in here. It's free on Tuesdays!,14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
104,Other,Welcome to the Head Museum. I'm Leonard Nimoy.,14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
105,Fry,Spock? Hey! Hey... Do the thing!,14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
106,Other,I don't do that anymore.,14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
107,Fry,This is unbelievable! What do you heads do all day?,14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
108,Other,We share our wisdom with those who seek it. It's a life of quiet dignity.,14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
109,Other,Feeding time!,14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
110,Leela,"Hmm.  I'm sorry, Fry, but I have to install your career chip.",14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
111,Fry,"Yeah, well, if you're sorry why are you doing it?",14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
112,Leela,It's my job. You gotta do what you gotta do!  Watch it!,14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
113,Other,That's it! You just made my list!,14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
114,Fry,"Ow! Stop it! Down, boy! Bad president!",14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
115,Other,"Alright, buddy, step away from the head!",14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
116,Other,I'm gonna get 24th century on his ass!,14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
117,Leela,"Please, officers, there's no need to use force.",14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
118,Other,"Let us handle this, weird-y.",14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
119,Leela,"Oh, come on, he's just a poor kid from the Stupid Ages.",14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
120,Other,"Keep your big nose out of this, eyeball!",14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
121,Leela,No-one makes fun of my nose.,14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
122,Other,Damn!,14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
123,Leela,You guys were totally out of control.,14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
124,Other,It's our job. We're peace officers.,14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
125,Other,"Yeah, you know the law",14,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
126,Bender,"Oh, we're trapped!",15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
127,Fry,"Wait a second. You're a bender, right? We can get out of here if you just bend the bars.",15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
128,Bender,"Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?",15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
129,Fry,Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?,15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
130,Bender,I'll have to check my program ... yep.,15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
131,Leela,Open up!,15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
132,Fry,"C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals ... and animal robots.",15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
133,Bender,"You're full of crap, Fry!  You make a persuasive argument, Fry.",15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
134,Fry,"Come on, Bender! You can do it.",15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
135,Bender,Can't ... I ... can't ... do ... it!,15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
136,Fry,Yes!,15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
137,Bender,"You were right, Fry! From now on I'm going to bend what I want, when I want, who I want! I'm unstoppable!",15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
138,Fry,I don't know how you did that.,15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
139,Leela,Wait!,15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
140,Bender,"No, thanks.",15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
141,Bender,Looks like one of us will have to bend this grate.,15,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
142,Other,Ruins of Old New York. Fry and Bender step off the ladder and look over the vast ruins of the city that looks like the city from,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
143,Fry,Good Lord! What is this?,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
144,Bender,"It's the decaying ruins of Old New York. Welcome home, pal!",16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
145,Fry,"It's my old neighbourhood. Man, this brings back a lot of memories.",16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
146,Bender,"Keep 'em to yourself, Pops!",16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
147,Fry,This is where I brought my girlfriend on our very first date.,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
148,Fry,My God! She's gone. Everyone I ever knew or cared about is gone.,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
149,Bender,Wait! There's someone you know!,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
150,Fry,"Oh, can't you leave me alone? I'm miserable enough already.",16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
151,Leela,"Look, I know it's not much consolation but I understand how you feel.",16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
152,Fry,"No, you don't. I've got no home, no family--",16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
153,Bender,No friends.,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
154,Fry,My whole world is gone. You can't possibly understand what it feels like to be so alone.,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
155,Leela,I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
156,Fry,"Look, Leela, I don't understand this world but you obviously do, so I give up. If you really think I should be a delivery boy, I'll do it.  Your chip. What are you doing?",16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
157,Leela,Quitting.,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
158,Fry,Why?,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
159,Leela,Because I've always wanted to. I just never realised it before I met you.,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
160,Fry,What is the matter with you?,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
161,Bender,I just wanted to be part of the moment.,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
162,Leela,Hey! He stole my ring!,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
163,Bender,"Sorry.  Well, that solves the mystery of the missing ring. This calls for a drink.",16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
164,Leela,I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
165,Fry,Correction,16,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0
166,Other,"Hello, I'm Dick Clark's head. Welcome to a special year 3000 edition of New Year's Rockin' Eve!",17,75.0,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0
167,Farnsworth,Who are you?,17,75.0,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0
168,Fry,I'm your dear old Uncle Fry.,17,75.0,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0
169,Farnsworth,I don't have an Uncle Fry.,17,75.0,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0
170,Bender,You do now!,17,75.0,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0
171,Farnsworth,"By God, I am your nephew! This is absolutely incredible!",18,0.0,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0
172,Bender,Can we have some money?,18,0.0,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0
173,Farnsworth,"Oh, my, no.",18,0.0,75.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0
174,Farnsworth,Let me show you around. That's my lab table and this is my work-stool. And over there is my intergalactic spaceship!  And here's where I keep assorted lengths of wire.,19,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0
175,Fry,Whoa! A real live spaceship!,19,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0
176,Farnsworth,I designed it myself. Let me show you some of the different lengths of wire I used.,19,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0
177,Other,"Attention, job deserters! Come out with your hands up. We have you partially surrounded.",19,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0
178,Fry,No!,19,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0
179,Other,Get those bums!,19,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0
180,Bender,"Well, we're boned!",19,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0
181,Leela,Can't we get away in the ship?,19,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0
182,Farnsworth,I suppose it is technically possible. Though I am already in my pyjamas.,19,75.0,75.0,75.0,75.0,75.0,0.0,0.0,0.0,0.0
183,Fry,I'll get us out of here.,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Farnsworth,Can anyone drive stick?,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Leela,I can. As long as I don't have to parallel park.,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Other,"If they try to take off, give 'em an ass-ful of laser.",20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Leela,Prepare for lift-off. Ten.,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Other,Nine!,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Other,Amania!,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Other,Seven!,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Other,Six.,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Other,Five!,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Other,Four.,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Farnsworth,Three.,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Bender,Two.,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Leela,One!,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Fry,Blast-off!,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Other,Fire! Fire!,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Other,I can't see nothing. Pretty though!,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Fry,"So, I guess, without jobs, we'll be fugitives forever.",20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Farnsworth,"Not necessarily. Are you three, by any chance, interested in becoming my new spaceship crew?",20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Bender,New crew? W-What happened to the old crew?,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Farnsworth,Of those poor sons of-- But that's not important. The important thing is I need a new crew. Anyone interested?,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Fry,Yes! Yes! That's exactly the job I've always wanted!,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Leela,"Thanks for the offer, Professor, but we don't have the proper career chips.",20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,Farnsworth,"Oh, that won't be a problem. As luck would have it, I saved the chips from my previous crew.",20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,Fry,This is awesome! Are we gonna fly through space fighting monsters and teaching alien women to lurve?,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,Farnsworth,"If by that you mean ""transporting cargo"" then yes. It's a little home business I started to fund my research.",20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,Fry,Cool! What's my job gonna be?,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,Farnsworth,You will be responsible for ensuring that the cargo reaches its destination.,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Fry,"So, I'm gonna be a delivery boy?",20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,Farnsworth,Exactly!,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,Fry,Alright! I'm a delivery boy!,20,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Farnsworth,"As new employees, I'd like your opinion on our commercial. I paid to have it air during the Super Bowl.",21,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
215,Fry,Wow!,21,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
216,Farnsworth,"Not on the same channel, of course.",21,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
217,Other,Interplanetary deliveries - what a headache!,21,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
218,Other,Evans! Where's that package from Earth?,21,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
219,Other,I'm not Evans!,21,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
220,Other,He should've used Planet Express!,21,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
