,Characters,Quotes,show
197,Fry,No sir Were amusement park patrons,futurama
199,Fry,I guess we could do chores for a few hours,futurama
202,Fry,And it was great We got to see craters and rocks and that one incredible rock that looked like a crater and  and these fellas,futurama
204,Fry,Oh Bender You didnt touch the Crushinator did you,futurama
207,Fry,Hey cool Dark side of the moon,futurama
212,Fry,Over there Look Its the moon landing site We found it,futurama
213,Fry,Its that flag from MTV And Neil Armstrongs footprint  Hey My foots bigger Leela isnt this the greatest thing youve ever seen,futurama
217,Fry,Look Leela Im sorry I never should have dragged you out here,futurama
219,Fry,I never told anybody this but a thousand years ago I used to look up at the moon and dream about being an astronaut I just didnt have the grades Nor the physical endurance Plus I threw up a lot and nobody liked spending a week with me,futurama
221,Fry,The moon was like this awesome romantic mysterious thing hanging up there in the sky where you could never reach it no matter how much you wanted to  But youre right Once youre actually here its just a big dull rock I guess I just wanted you to see it through my eyes the way I used to,futurama
228,Fry,Im sorry I was up really late poking through peoples desks,futurama
231,Fry,Hey When you look this good you dont have to know anything,futurama
236,Fry,Hey Professor great jerky,futurama
238,Fry,Sheesh 40000 channels and only 150 have anything good on,futurama
239,Fry,Hmm must be a friend of theirs,futurama
244,Fry,I know but I forgive you,futurama
248,Fry,Leela Were trying to watch TV,futurama
250,Fry,So whos that weirdlooking guy,futurama
252,Fry,Hey uh why is the TV getting smaller,futurama
254,Fry,It looked good but I just dont feel like eating You want it,futurama
256,Fry,What are the cigars for,futurama
257,Fry,I cant believe they threw me out like that I must have been really acting like a jerk,futurama
259,Fry,I dont know Do refrigerators still come in cardboard boxes,futurama
261,Fry,Really Thatd be great You sure I wont be imposing,futurama
264,Fry,Cool Yknow Ive never even seen a robots apartment before,futurama
267,Fry,Its kinda cramped in here I dont even have room to hang my clothes,futurama
271,Fry,Uh listen Bender Uh wheres your bathroom,futurama
275,Fry,Oh its Benders apartment He put in carpeting yesterday so now my head hits the ceiling Hey do you realise youre standing at a weird angle  Now youre OK,futurama
278,Fry,Yeah but he might get kind of upset I dont think I can do that to him,futurama
280,Fry,Im sorry Bender but theres just not enough room,futurama
286,Fry,Hmm Im not sure we want to pay for a dimension were not going to use,futurama
287,Fry,Well I give up Whats the catch,futurama
288,Fry,Not one place even remotely liveable,futurama
292,Fry,Well this place has everything except the only thing I care about,futurama
294,Fry,Man its a total sty For the first time in a thousand years I feel like Im home,futurama
299,Fry,Hey hang on All My Circuits is about to start,futurama
301,Fry,Sh The weddings about to start,futurama
302,Fry,Is he objecting or backing up,futurama
305,Fry,Come back Bender Its working,futurama
315,Fry,Its tempting but well I am already kinda settled in here,futurama
317,Fry,Uh listen is there maybe some way we could do this with you going and me not going,futurama
318,Fry,Well you were gonna live in the closet anyway Wont you be just as happy back in your old place,futurama
320,Fry,Ill come visit sometime And you can visit me here,futurama
321,Fry,Anyway Im sure itll work out This way well both be happy,futurama
324,Fry,Ah come on Bender loves mobs,futurama
326,Fry,Dont girl me with that girl stuff Bender and me are guys Guys dont have feelings,futurama
340,Fry,Silent Youve been meddling for two solid weeks,futurama
342,Fry,Really I didnt think hed miss this apartment that much,futurama
344,Fry,Oh man I had no idea If only I knew where he was Id go talk to him,futurama
345,Fry,Oh stupid TV  Bender Youre blindstinking sober,futurama
348,Fry,Cutting Leelas head off wont solve anything,futurama
350,Fry,Hey yeah That sounds good Can I give you a hand,futurama
352,Fry,But its a useless antenna Its not like hes a ham radio or something,futurama
354,Fry,Hey it works The statics gone,futurama
357,Fry,Apology accepted After all youre only human,futurama
360,Fry,Aw this isnt right Listen Bender if we found your antenna could they still reattach it,futurama
364,Fry,So thats where those skin flakes went Hmm do you think this fruit trees going to get enough light,futurama
366,Fry,This is huge Bender why dont I just live in here,futurama
369,Fry,What was wrong with your date last night,futurama
371,Fry,Yeah If you rule out every guy with a lizard tongue or a low IQ or an explosive violent temper of course youre gonna be lonely,futurama
375,Fry,Whys everyone wearing those rings,futurama
378,Fry,No way Weve got so much in common,futurama
379,Fry,Uh yeah That rings a bell,futurama
383,Fry,Pst I need the apartment tonight Go see a saucy puppet show,futurama
395,Fry,I bet you Leelas holding out for a nice guy with one eye,futurama
397,Fry,Yeah thatd be a timesaver,futurama
401,Fry,Whos the Zapp Brannigan,futurama
409,Fry,I heard that one time you singlehandedly defeated a horde of rampaging somethings in the somethingsomethingsystem,futurama
410,Fry,Wow I never would have thought of that,futurama
417,Fry,Dang Can I get this wrapped up,futurama
424,Fry,We can definitely escape Bender All you have to do is bend the hatch off this steam pipe,futurama
425,Fry,No good Its full of steam,futurama
431,Fry,You wanna try escaping again,futurama
432,Fry,Man Leelas been gone a long time I hope shes at least making progress with Zapp Brannigan,futurama
442,Fry,Yeah a barbecue Ill wear my hilarious apron,futurama
448,Fry,I cant believe we flew halfway across the galaxy and enjoyed a steam just to get lunch for that stupid animal,futurama
453,Fry,Man lucky for us Zapp Brannigans nearby,futurama
455,Fry,What What are you talking about,futurama
457,Fry,How could you Leela I thought you had some standards I mean jeez hes a dumb gross gorilla,futurama
463,Fry,Wow Way to tell that guy off Now whats your secret escape plan,futurama
471,Fry,It really puts things in perspective I mean from up here an entire world can seem utterly insignificant,futurama
473,Fry,I dont get it Is blernsball exactly the same as baseball,futurama
475,Fry,Boring Baseball wasnt  hmm so they finally jazzed it up,futurama
476,Fry,What just happened Why is the ball on that springy thing,futurama
479,Fry,Mmmm at least hot dogs havent changed,futurama
482,Fry,Hey Im starting to get the hang of this game The blerns are loaded the counts three blerns and two antiblerns and the infield blern rule is in effect right,futurama
490,Fry,What are you talking about Theres all kinds of robots down there,futurama
504,Fry,Man that one was a blast,futurama
508,Fry,So let me get this straight,futurama
510,Fry,Oh Kinda like how a warehouse is inhabited by boxes,futurama
516,Fry,Yeah but I guess Id be angry too if I had to go to some uninhabited planet,futurama
519,Fry,Ah Bender must be done with the delivery,futurama
520,Fry,Oh my God We have to go down and rescue him,futurama
522,Fry,Well what are we going to do,futurama
526,Fry,I can sort of dance like a robot Will that help,futurama
528,Fry,Man we look stupid We shouldve gotten store bought costumes,futurama
530,Fry,Uh yup Just two robots out roboting it up  Eh,futurama
531,Fry,Is the puppy mechanical in any way,futurama
536,Fry,I cant I have to go to the bathroom,futurama
538,Fry,Oh right I wonder where they all smoke in high school,futurama
540,Fry,I think the leaks stopping itself  Wait Yeah,futurama
544,Fry,Umm too much romance not enough human killing,futurama
546,Fry,Ahh Its good to hear his voice,futurama
548,Fry,My God Hes become evil  I mean eviler,futurama
556,Fry,Weve been looking for you Last we heard you were under arrest as a human sympathiser,futurama
561,Fry,But Bender were your friends,futurama
564,Fry,Bye Bender Ill miss you,futurama
567,Fry,Hey wait a minute Isnt anyone gonna defend us,futurama
571,Fry,But the judge already sentenced us at the trial,futurama
576,Fry,Stop Take one more step and Ill breathe fire on you,futurama
577,Fry,So long suckers  Uh hello suckers,futurama
580,Fry,We wanted to show you that we really do respect your robot heritage,futurama
582,Fry,But that doesnt make it any less meaningful,futurama
584,Fry,I cant take it anymore Theyve been at it for hours   Give it a rest you two,futurama
585,Fry,Uh excuse me I missed a few lectures Uh what subject is this,futurama
586,Fry,What a weird dream Ill never get back to sleep,futurama
587,Fry,So youre telling me they broadcast commercials into peoples dreams,futurama
588,Fry,But how is that possible,futurama
590,Fry,Thats awful Its like brainwashing,futurama
592,Fry,Well sure but not in our dreams Only on TV and radio And in magazines and movies and at ball games on buses and milk cartons and Tshirts and bananas and written on the sky But not in dreams No siree,futurama
594,Fry,Cool  Can I try these on before I buy them,futurama
596,Fry,30 I cant afford that Unless  Do you take Visa,futurama
597,Fry,No I cant afford them Being poor sucks What kind of world is this where they advertise things not everybody can afford,futurama
598,Fry,Hey whos the rocker jockey,futurama
599,Fry,Hey Bender Sounds like you could use a little of that oil,futurama
601,Fry,78 79 7950 Crud Were 50 cents short,futurama
603,Fry,Hey thats my old bank Maybe my accounts still open,futurama
604,Fry,Yeah well I did open the account over a thousand years ago What about my ATM card,futurama
605,Fry,Sure Its the price of a cheese pizza and a large soda back where I used to work Panuccis Pizza,futurama
608,Fry,Pizza dinner on me  Just keep the tab under 50 million,futurama
609,Fry,Uh yeah Well have one with everything but anchovies and one with my all time favourite topping anchovies,futurama
610,Fry,Anchovies You know Those little headless fish,futurama
613,Fry,So none of you has ever had anchovies Oh man You dont know what youre missing They were all salty and oily and they melted in your mouth and,futurama
614,Fry,I just wish I couldve showed you guys how great they were I may be rich but I still cant buy back all the things I miss from the 20th century,futurama
620,Fry,I have an idea for a sitcom,futurama
624,Fry,Dont tell me how to spend my money,futurama
627,Fry,Oh In that case 50 million,futurama
628,Fry,Now for some good old 20th century TV,futurama
630,Fry,Ive been sitting right here I picked up my life exactly where I left off a thousand years ago Now if youll excuse me its eight oclock Time to get bizay,futurama
632,Fry,I could if you hadnt turned on the lights and shut off the stereo,futurama
634,Fry,Im rich I can live whenever I want,futurama
637,Fry,Junk Maybe you cant understand this but Ive finally found what I need to be happy and its not friends its things,futurama
639,Fry,I dont need them Not when I have my antique videos my bucket of fossilised KFC and 50 million dollars worth of anchovies,futurama
640,Fry,Its the price of a cheese pizza and a large soda,futurama
641,Fry,That sounds like me but I thought I got frozen Wasnt I in the future,futurama
642,Fry,So Im really back Thats exactly what I wanted I guess Who are you,futurama
643,Fry,You are Did you grow a moustache since last night,futurama
644,Fry,Wait Youre Pamela Anderson Cool What can I get you,futurama
645,Fry,Uh cheese and a  That was quick,futurama
646,Fry,1077 Same as my PIN number,futurama
647,Fry,Oh I had a nightmare I was in the year 2000 and you guys never existed Im so glad Im awake now and youre really here,futurama
650,Fry,Bender Leela Dont leave me Wait a minute Hey buddy what year is this,futurama
651,Fry,3000 Yes Im still in the future Life is wonderful  Wait What are you doing with my stuff,futurama
652,Fry,Oh no My ATM card My secret PIN number  1077 Ive got nothing left Except,futurama
655,Fry,Leela Bender I missed you so much,futurama
656,Fry,I was robbed They got everything except these,futurama
657,Fry,Sorry But the anchovies arent for sale,futurama
658,Fry,You might as well put that chequebook away because Ive discovered something even more important,futurama
659,Fry,OK my friends Get ready for the most delicious extinct animal youve ever tasted,futurama
660,Fry,Ah no one likes them at first but theyll grow on you,futurama
661,Fry,There arent any more And there never will be,futurama
667,Fry,Its OK Bender I like cooking too,futurama
669,Fry,Youre gonna be the ships cook,futurama
673,Fry,So this is Little Neptune,futurama
675,Fry,Wait a minute This says ZRay,futurama
676,Fry,Hmm I can see where that would be an advantage Do you take cash,futurama
678,Fry,Im not a little kid Leela I grew up in this city These are my people  What up,futurama
679,Fry,Wow You guys sell every kind of meat here except human,futurama
683,Fry,Now that you mention it I do have trouble breathing underwater sometimes Ill take the gills,futurama
684,Fry,Cant imagine why I would,futurama
686,Fry,Im capable of making my own decisions Leela Did you ever stop to think I might be happier with gills,futurama
694,Fry,Hey Bender hows dinner coming,futurama
697,Fry,Thats the saltiest thing Ive ever tasted And Ive once ate a big heaping bowl of salt,futurama
699,Fry,My visions fading I think Im gonna die,futurama
703,Fry,Jeez will you lay off I was delivering things before you were born I think I know what Im doing,futurama
704,Fry,Stupid slug Ive never been so thirsty  Ah,futurama
705,Fry,I didnt mean to He just looked so cool and refreshing,futurama
707,Fry,It could have been But chances were equally good it was an Emperor,futurama
711,Fry,Gee you think so Captain Id better check with my Prime Minister,futurama
712,Fry,Hey thanks  Wow This got here just in time,futurama
713,Fry,On second thought Ill take that one,futurama
715,Fry,You dont have to beat around the bush Leela We all know who youre talking about  uh me right,futurama
716,Fry,There wont be a lot of longwinded speeches will there,futurama
720,Fry,Damn I knew you wouldnt have asked unless it was really high or really low,futurama
722,Fry,Well at least my assassin will get whats coming to him,futurama
724,Fry,Hey I plan on having a few brewskis myself,futurama
726,Fry,Yeah I was going to thumb through that later,futurama
728,Fry,Hell no If I stopped to think ahead I wouldnt be Emperor And I wouldnt even be here in the year 3000 Its just like the story of the grasshopper and the octopus All year long the grasshopper kept burying acorns for winter while the octopus mooched off his girlfriend and watched TV But then the winter came and the grasshopper died and the octopus ate all his acorns and also he got a racecar Is any of this getting through to you,futurama
730,Fry,Who asked you to I told you a hundred times to stop treating me like a baby Now go Go gather your nuts you nagging grasshopper,futurama
732,Fry,Ill be fine Its not like anyones gonna drink me  Quit it,futurama
733,Fry,Right I Fry who drank Bont the Viscous who drank Ungo the Moist who guzzled Zorn the Stagnant,futurama
734,Fry,Who slurped Hudge the Dewy who enjoyed a soup composed principally of Throm the Chunky do solemnly swear to rule with honour and insanity Uh integrity,futurama
737,Fry,But wont that crush my bones,futurama
739,Fry,I could vomit or urinate Would you feel better about that,futurama
740,Fry,Thats a great idea Crying,futurama
741,Fry,Its no use I wanna cry but Im just too macho,futurama
743,Fry,What do you mean I was Emperor of a whole planet,futurama
746,Fry,Phew Thats a load off my mind,futurama
749,Fry,Shell never help me Shes still mad that I told her never to help me,futurama
756,Fry,This is the saddest day of my life And I still cant cry,futurama
758,Fry,I cant believe it Shes risking her life for me after the way I treated her I dont deserve this I feel terrible,futurama
762,Fry,All Leela ever wanted to do was help me But I was to proud too stupid to accept it  I wish I had died instead of her,futurama
766,Fry,Thanks Leela From now on Ill take all the help youre willing to give I know you just want whats best for me  That hurt,futurama
769,Fry,Thanks everybody I love you all You guys are true Ow Cut it out Bender Thats a tender area,futurama
770,Fry,Hey wait a minute Who are you,futurama
776,Fry,Sounds like fun How long do I have left to live,futurama
785,Fry,Dont worry Professor its no competition for your death clock,futurama
793,Fry,No Professor dont give up There were plenty of times in my century when I was gonna give up but I never did Never Hey are you even listening to me Oh I give up,futurama
795,Fry,Did you build the Smellescope,futurama
797,Fry,Smells like strawberries,futurama
798,Fry,Pine needles Oh man this is great Hey as long as you dont make me smell Uranus,futurama
801,Fry,No no I think Ill just smell around a bit over here  Hmm,futurama
805,Fry,So this things gonna destroy the whole city  What the heck is it,futurama
807,Fry,Wow You got that off the Internet  In my day the Internet was only used to download pornography,futurama
811,Fry,Hey gimmie a break What do you do with it,futurama
815,Fry,The future is disgusting,futurama
817,Fry,Hey You have no right to criticise the 20th century We gave the world the lightbulb the steamboat and the cotton gin,futurama
819,Fry,Yeah well they probably just copied us,futurama
829,Fry,Its not filth Its a glorious monument to the achievements of the 20th century  Some Bart Simpson dolls,futurama
831,Fry,This junk isnt garbage I can dig in any random pile and find something great,futurama
832,Fry,Alright lets get to work,futurama
840,Fry,No its my fault too Im sure I threw out more than my share of that trash up there Also one month my toilet broke and it just went straight in the garbage can  Leela was right The people of the 20th century were idiotic slobs Especially me,futurama
844,Fry,Then its time to make some more,futurama
845,Fry,Stand back and watch the master This Slurm can  Pure garbage Now you try it,futurama
846,Fry,People of New New York take a lesson from the 20th century Stop all this painintheass recycling and throw your garbage on the floor,futurama
847,Fry,Go ahead Just chuck it any old place like I used to Your city is counting on you,futurama
853,Fry,Who cares That wont be for hundreds of years,futurama
855,Fry,Thats the 20th century spirit,futurama
856,Fry,This is awesome Ive been waiting a thousand years to see a Beastie Boys show,futurama
860,Fry,Will you guys shut up Im trying to look cool,futurama
861,Fry,Wow An oldfashioned mosh pit Come on guys Tonight were gonna party like its 1999  again,futurama
862,Fry,Man these guys rock harder than ever,futurama
864,Fry,Wow I love you guys Back in the 20th century I had all five of your albums,futurama
865,Fry,Cool Can I borrow the new ones And a couple of blank tapes,futurama
871,Fry,Hey uh Bender What are we doing in this bad neighbourhood,futurama
877,Fry,Bender No way  I definitely wouldve noticed something,futurama
881,Fry,I know Big Vinnie said he was giving me the kiss of death but I still think he was gay,futurama
882,Fry,A little  You OK Bender,futurama
888,Fry,Whats happening II feel weird,futurama
892,Fry,And you made me feel like a jerk for trusting you Just like when my friend Richie swore he wasnt taking drugs and then he sold me my moms VCR and then later I found out he was taking drugs You make me ashamed to be your friend,futurama
897,Fry,Great Hes whacked out on electricity again,futurama
899,Fry,Religion Is this another scam to get free yarmulkes,futurama
907,Fry,Does that mean we can eat now,futurama
909,Fry,Oh uh but I dont want to,futurama
913,Fry,Benders stupid religion is driving me nuts,futurama
915,Fry,Weve got to get the old Bender back,futurama
920,Fry,Whoa whoa whoa wait Bender So long as were here why dont we take in some exotic dancing,futurama
922,Fry,Come on itll be fun Maybe we could even drink a little fortified wine,futurama
925,Fry,And theres Hookerbot 5000 Shes got a heart of solid gold,futurama
927,Fry,Pfft Thats for losers Cmon sin your heart out,futurama
928,Fry,Go for it Bender You know you wanna,futurama
930,Fry,Looks like we got the old Bender back,futurama
934,Fry,Well he didnt check out The ashtrays still here  Look Nibblers caught the scent of vodka and motor oil Go boy Follow that stench,futurama
937,Fry,Wait I remember this place They shut it down after all those people caught salmonella from the flume ride,futurama
939,Fry,Unbelievable Its an actual factual Robot Hell,futurama
946,Fry,Maybe he likes it here in Hell,futurama
948,Fry,Maybe hes back at the motel,futurama
950,Fry,My ass has blisters from the slide,futurama
954,Fry,Wouldnt a solid gold fiddle weigh hundreds of pounds and sound crummy,futurama
962,Fry,Yeah Im never going to another planet called Cannibalon,futurama
965,Fry,This is great I havent had time off since I was 21 through 24,futurama
968,Fry,Hey uh wheres my suitcase  Ow,futurama
974,Fry,Man first class seems nice,futurama
976,Fry,Well at least we get a window,futurama
978,Fry,I guess that just leaves you and your fake fianc  all alone  on a romantic cruise,futurama
986,Fry,Yeah its pretty romantic Uh I mean platonic ThThat sure is one platonic view,futurama
989,Fry,Well you got anything else for him,futurama
992,Fry,Im not going out with Amy Its just to fool her parents Hey youre not jealous are you,futurama
994,Fry,Good cause I consider my fake relationship with you a lot more meaningful,futurama
1002,Fry,Well rest assured Leelas the only girl for me,futurama
1004,Fry,Sure I can I learned how to handle delicate social situations from a little show called Threes Company,futurama
1005,Fry,Um let me think Come and knock on our door nuh nuh nuh nuh nuh nuh Uh Mr Roper,futurama
1007,Fry,Ah now theres something we can all enjoy,futurama
1008,Fry,Hey Leela whyd you run off from dinner,futurama
1010,Fry,Oh look Im not actually interested in her if thats whats bothering you,futurama
1012,Fry,I know we seem like a perfect match but I just dont feel that way about her,futurama
1015,Fry,Talk about a mood killer,futurama
1019,Fry,Youre going back or the Countess arent you,futurama
1021,Fry,Ill tell them you went out prying the wedding ring off his cold dead finger,futurama
1026,Fry,Then were dead meat No one could squeeze under there,futurama
1030,Fry,Look Its our nebula Whenever I see it Ill think back to that moment when we almost  Never mind,futurama
1036,Fry,Dont cry Bender Nobody really knows what happens in a black hole Its possible shes still alive in another dimension somewhere Right Professor,futurama
1042,Fry,Very impressive Back in the 20th century we had no idea there was a university on Mars,futurama
1045,Fry,Does that mean its safe to breathe the air,futurama
1055,Fry,I tell you being here really takes me back to my college days,futurama
1056,Fry,Good old Coney Island College Go Whitefish,futurama
1058,Fry,Oh yeah  Read it and weep Im a certified college dropout,futurama
1061,Fry,What Thats not fair I deserve the same respect any other college dropout gets By God Im gonna enroll here at Mars University and drop out all over again,futurama
1063,Fry,Aww thanks for believing in me,futurama
1064,Fry,Oh I dont know  Hey Professor what are you teaching this semester,futurama
1067,Fry,Hey pretty nice for a single Two desks two chairs a couple of beds  A woodpecker,futurama
1069,Fry,Oh right cool  What the,futurama
1073,Fry,Is he genetically engineered,futurama
1075,Fry,I understood the word hat,futurama
1077,Fry,This is gonna be a cakewalk,futurama
1078,Fry,Im from the 20th century Go ahead ask me anything,futurama
1079,Fry,Ooh  I know this  whatyya call it Lite Brite,futurama
1081,Fry,So Chrissy we seem to be hitting it off If youre not doing anything later might I escort you to a kegger,futurama
1083,Fry,Its that obnoxious monkey He kept me up all night with his constant thinking Just thinking and thinking Hes trying to make me look like an idiot,futurama
1087,Fry,Now these monkeys I like  Whats that You wanna come out,futurama
1089,Fry,Hey uh Guenter Why dont you get up on the chandelier with your parents and Ill take a picture,futurama
1093,Fry,Hey hey cheer up Not everyone turns out like their parents I mean look at me My folks were honest hardworking people,futurama
1096,Fry,Look Guenter if youre so miserable here maybe you should just go back to the jungle,futurama
1102,Fry,I guess he realised I was right when I told him to go back to the jungle,futurama
1104,Fry,Hey dont blame me You tried to force Guenter to be a human but hes an animal He belongs in the wild Or in the circus on one of those tiny tricycles Now thats entertainment,futurama
1108,Fry,Wow The jungles on Mars look just like the jungles on Earth,futurama
1113,Fry,No the banana the banana,futurama
1122,Fry,Pizza delivery Wow so this is a real TV station huh,futurama
1123,Fry,What are you showing right now,futurama
1124,Fry,Ah I dunno Thats a chick show I prefer programmes of the genre worlds blankiest blank,futurama
1125,Fry,Pft Like anyone on Earth cares,futurama
1126,Fry,Ow Hey quit it Hermes Its Labor Day,futurama
1128,Fry,Eh I think Ill just stay here,futurama
1130,Fry,But this is HDTV Its got better resolution than the real world,futurama
1132,Fry,Wait Mount Rushmore and the Leaning Tower of Pisa I didnt know they were both in New York,futurama
1138,Fry,Ah just like my dad used to make  until McDonalds fired him,futurama
1142,Fry,Its OK Leela go ahead I got a lot of work to do,futurama
1143,Fry,50 bucks Not even if she was my girlfriend You take her,futurama
1146,Fry,Voila The greatest sandcastle ever built This is the kind of castle King Arthur would have lived in if he were a fiddler crab,futurama
1148,Fry,Ooh yeah Anyone have a camera,futurama
1150,Fry,Were all gonna die arent we,futurama
1159,Fry,You mean while Im sleeping in it,futurama
1160,Fry,WWouldnt it make more sense to send the robots in first a,futurama
1163,Fry,Im gonna be a sciencefiction hero just like Uhura or Captain Janeway or Xena,futurama
1165,Fry,Sure I just like TV better,futurama
1167,Fry,Alright scumwads This ones for Benders cocktail,futurama
1171,Fry,Miniskirts That sounds familiar,futurama
1173,Fry,Thats where I know her from Shes Jenny McNeal She was a character on a TV show back in the 20th century Single Female Lawyer,futurama
1177,Fry,Its crazy How could they even know about a show from a thousand years ago,futurama
1181,Fry,Yknow I saw the first 30 seconds of that episode If I could make up an ending maybe we could act it out ourselves,futurama
1184,Fry,OK Leela youll be starring as Jenny,futurama
1192,Fry,Well it took an hour to write I thought it would take an hour to read,futurama
1194,Fry,I dont know I dont know Just say anything As long as its compelling mesmerising a tour de force,futurama
1198,Fry,Married Jenny cant get married,futurama
1200,Fry,But thats not why people watch TV Clever things make people feel stupid and unexpected things make them feel scared,futurama
1201,Fry,You see TV audiences dont want anything original They wanna see the same thing theyve seen a thousand times before,futurama
1203,Fry,Trust me on this While other people were out living their lives I wasted mine watching TV because deep down I knew it might one day help me save the world Plus I would have lost my Workmans Comp if I had gone outside Now just read these cue cards,futurama
1207,Fry,Way to overact Zoidberg,futurama
1208,Fry,Yep  It was just a matter of knowing the secret of all TV shows,futurama
1210,Fry,I like those odds  Rats Just another tooth,futurama
1211,Fry,I gotta find that golden bottlecap,futurama
1213,Fry,This is nothing Back in high school I used to drink a hundred cans of cola a week Right up until my third heart attack,futurama
1224,Fry,I unno Try it on me  Ow My sperm,futurama
1226,Fry,Huh didnt hurt that time,futurama
1229,Fry,All this prolonged exposure to radiation is making me thirsty  Ah if only there was some way of knowing which can had the winning bottlecap inside,futurama
