,Characters,Quotes
248,Nibbler,"I can do more than talk. I can pontificate. You must not use the code of codes. With each and every use, you risk tearing the universe asunder."
249,Amy,"Oh, he's so adorable."
250,Fleb,The poodle-monkey may be right. The legend warns that the code is powerful and dangerous.
251,Nudar,"My God. We'd better use it only three or four times. Six, max."
252,Nibbler,But even a single use could shatter the universe!
253,Nudar,Got it. Two or three times.
254,Nibbler,"I see I have no choice. Nibblonians, attack!"
255,???,Hey! That tickles.
256,Schlump,And the pitch!
257,Nibblonian,"Mayday, mayday!"
258,Aliens,Hey! Hey! Hey!
259,Nibblonian,Scamper!
260,Zoidberg,Aawww...
261,Nibbler,"Alas, our kitten-class attack ships were no match for their mighty chairs. The universe is doomed. Doomed!"
262,Fry,Can I pull up my pants now?
263,Nibbler,Dooooooomed!
264,Nudar,Stand back you wing wangs. I'm gonna try out this timesphere with a quick test drive to yesterday.
265,Farnsworth,Bushwah. You can't go mucking about in the past without creating paradoxes.
266,Nibbler,"I'm afraid he can. It's a paradox correcting time code. It all works perfectly. Except when it rips open the universe. Don't do it, I beg you ..."
267,Nudar,"Yesterday please, and make it snappy."
268,Crew,wha???
269,Nudar,Hello.
270,Nudar-2,Howdy.
271,Bender,Hey! What the ...?
272,Zoidberg,"There was one, but now there's two."
273,Nudar,"Nothing gets past you eagle eye. I went back to last night and met the me of that time for a drink. One thing led to another and we ended up at my place, or should I say our place."
274,Leela,Blech.
275,Nudar,"Oh come on, ya bunch of prudes!"
276,Farnsworth,"This isn't merely revolting, it's impossible to boot. I know a paradox when I see one."
277,Farnsworth,Whaaa?
278,Farnsworth,"Ahh, paradox resolved. Someone get a mop."
279,Dwight,"You're looking well, pops."
280,Hermes,"How can you look me in the eye 'n eye and say that? I'm nothin' but a brain. A useless, filthy brain."
281,Barbados Slim,You forgot lice infested.
282,Hermes,"I didn't forget it, I just chose not to ....  Barbados Slim! What are you doin' here? IS there somethin' goin' on between you two?"
283,LaBarbara,"Oh no no no no, we jus' ah happened to run into each other shortly after your accident."
284,Slim,And every night since then.
285,LaBarbara,You're so crazy.
286,Hermes,"Woman! No! Ohh, who am I kiddin'? Without my body, I'm a nobody."
287,LaBarbara,I'm sorry Hermes. But look at Barbados. You can't argue with those luscious pecks.
288,Hermes,No I can't. But I can ask him to stop wiggling them in my face.
289,Slim,I'm not wiggling them. They do that by themselves.
290,Nudar,I think I'll go back in time and steal the Liberty Bell before it cracked. Or is the crack the valuable part?
291,Farnsworth,"I don't know, you naked crook!"
292,Fleb,"We have a problem Nudar. It's a one way time code. It can take us to the past, but it can't bring us back to the present."
293,Bender,"Oh oh oh oh oh oh! Masters, if I might, let me do the stealing. I'll go to the past and snatch everything I can get my greasy mitts on. Then, as a robot, I could just wait it out for a few centuries in the limestone cavern beneath this building. Oh, it'll be ever so much fun."
294,Nudar,"Hey, that's perfect. We sit back and let dum dum here do the stealing."
295,Bender,Dum dum away. Zero zero one one ....
296,Leela,The Mona Lisa!
297,Bender,"Sorry, it's not quite finished."
298,Bender,Let's just say he may not make it to The Last Supper. Hahahahahaha.
299,Farnsworth,Preposterous twaddlecock! Time travel is impossible.
300,Fry,"But Professor, you time traveled yourself, remember, when we went back to Roswell?"
301,Farnsworth,"That proves nothing. And furthermore, you'd think I'd remember a thing like that. Plus, who are you anyway?"
302,Bender,"Man, this is fun on a bun. Here I go again."
303,Nibbler,Oh no you don't.
304,Bender,"Scarab, four arm, bird, bird, bird!"
305,Bender,"Boo! Hahahaha. Naw, it's just me, Bender."
306,Farnsworth,"I must tell you Hedonismbot, I hate to sell my doomsday devices to a private collector. But with my business stolen I have to make ends meet. You will be careful?"
307,Hedonismbot,"I shan't touch them till I've had Jambi lock the absinthe and ether away. Ohhhh, what does this one do?"
308,Farnsworth,"Uh, that one kills everything everywhere."
309,Hedonismbot,How delightful. And this one?
310,Farnsworth,Sir! The sphereoboom is not for sale.
311,Farnsworth,It's my sentimental favorite.
312,Hedonismbot,"No need to explain. I too have known unconventional love. Perhaps you and I, and Jambi, could get together and compare notes sometime, eh?"
313,MC,... resulting in peace between east and west coat rappers ...
314,MC,Good god!
315,Bender,"I accept this Nobel peace prize not just for myself, but for crime robots everywhere. Skål!"
316,Bender,"Not so neutral now, are you Sweden?"
317,Leela,Be honest with me. Does my eye look monstery? I don't want to look monstery for my date with Lars.
318,Hermes,"At least a monster has a body. What I wouldn't give for Wolfman's torso, or any of the groovy ghoulies."
319,Leela,"Ohh, I think I'll wear that slutty dress I've been saving for Easter."
320,Fry,I'd like to punch Lars right in his ruggedly good looking face!
321,Nudar,"Like all rich people, we're gonna need weapons to shoot poor people."
322,Schlump,In self defense?
323,Nudar,"Yes, that too. Bender, go steal the doomsday device chained to the professor's wrist."
324,Bender,"Never! Ha ha, I'm kidding. You guys know I have to do whatever you say."
325,Nudar,"Here, swap this for the real one."
326,Bender,Ahhh! The old switcheroo.
327,Nudar,"Yes, but don't wake him. You'll need jeweler's tools and foot cup silencers."
328,Bender,"Hey! I don't tell you how to tell me what to do, so don't tell me how to do what you tell me to do. Bender knows when to use finesse."
329,Bender,Here ya go.
330,Nudar,"Put it in the safe, clanky."
331,Zoidberg,Owww!
332,Bender,Wheeeeeeee.
333,Zoidberg,It's the damdest thing ...
334,Zoidberg,... there I was in the dumpster enjoying a moldy fudgesicle when suddenly your hand flies over and slaps me in the tokhes.
335,Farnsworth,"Yes, well, these things happen. Fortunately the sphereoboom is still safe."
336,Farnsworth,Scammed? Me!? Sweetheart?!? Ohh!
337,Hermes,"You do a nice hand job, Zoidberg. Tell me, If I could find an undamaged body, could you recapitate me?"
338,Zoidberg,"Hermes, I'm a surgeon. When I see two body parts I sew them together and see what happens."
339,Hermes,Hmmm.
340,Hermes,All I'm askin' is for you to go back in time to when I still had my body and bring it back for me.
341,Bender,What do I do with your old head?
342,Hermes,I don't care in the slightest.
343,Bender,Can do!
344,Hermes,"Come on, mon!"
345,Zoidberg,"Hermes, please. You can't hurry a delicate operation like this."
346,Hermes,Ohh! ... Ug! ... Argh! ... Ahhhhhh.  What are those?
347,Hermes,You incompetent crab!
348,Zoidberg,"I thought you were happy, your tail is wagging."
349,Hermes,Grrrrrr....
350,Farnsworth,"I believe this paradoicality equation to be unsolvable, ergo time travel is impossible. But I can't quite prove it, Bubblegum. Perhaps you and your razzle dazzle Globetrotter calculus could ..."
351,Bubblegum,"Looks pretty damn solvable to me, Farnsy. Sweet Clyde, use variation of parameter and expand the Wronskian."
352,Farnsworth,"Shizz, baby. So paradox free time travel is possible after all."
353,Bubblegum,Right on. But dig this multiplicand here.
354,Farnsworth,The doom field? That must be what corrects the paradoxes.
355,Curly Joe,"When that momma rises exponentially, it could rupture the very fabric of causality."
356,Nibbler,That's what I've been trying to tell you.
357,Farnsworth,"Hermes, you got your body back. Hurrah!"
358,Hermes,"Yes, but not the original. Bender went back in time and picked up a copy."
359,Bubblegum,"A copy! Funky cold medina. According to this equation, a time travel duplicate results in a complex denominator in the causality ratio."
360,Sweet Clyde,Oh Snap! Bet you know what that means.
361,Hermes,"I can guess. Actually, I can't guess."
362,Bubblegum,"Prof, you got a doom meter in this lab."
363,Farnsworth,"Good Lord, Bubblegum. The duplicate body is emitting doom at ten times the back ground level."
364,Bubblegum,I thought as much. A duplicate body is always doomed. It's just a matter of time.
365,Hermes,I don't care. I just need it long enough to bird dog in an win LaBarbara back.
366,Bubblegum,Best bird dog fast my brother.
367,Hermes,That the way I bird dog best.
368,Lars,"Drink, quick. I can't balance it much longer."
369,Leela,Wait .. I ..
370,Lars,Yes!
371,Leela,This is so much fun Lars. Most men are intimidated by the fact that I could kill them with the flick of my wrist.
372,Lars,"Well not me. 'Cause if you do, you'll be stuck with the check."
373,Elzar,"Folks, care for a little fresh ground executive?"
374,Leela,Please.
375,Elzar,Bam!
376,Elzar,"Don't get excited kids, this thing's got heart shaped nostrils. Want to see it make a star?"
377,Leela and Lars,No!
378,Bender,Here's your Gutenberg Bible master. Plus the Colonel's secret recipe
379,Fleb,"Well, that does it. We've got every valuable object in history."
380,Fry,Owww!
381,Nudar,Hmm. Now that I'm rich I suddenly care if the universe gets destroyed. We can't use that dangerous time code again. Blank it from the robot's memory.
382,Bender,Ahhhhh.
383,Nudar,I'll vaporize this guy so his ass doesn't fall into the wrong hands.
384,Fry,Why don't you just remove my tattoo?
385,Nudar,Nice try. But you might have memorized it.
386,Fry,No I mighn't. I can't even remember my mother's maiden name.
387,Nudar,It's Gleisner.
388,Fry,Stupid naked aliens. Stupid Lars. I hate the future.
389,Fry,Hmmmm!
390,Bubblegum,"Man, that cube root was a real buzzer beater, Clyde."
391,Fry,Zero. One. One. One. Zero. Zero. One. One!
392,Schlump,Blast him.
393,Bender,Ha ha! You missed!  Oh great master.
394,Fry,Hello 2000. I'm home.
395,Voice,"Happy New Year, naked weirdo!"
396,Fry,Happy new year.
397,Nudar,"Well, we'll never know where the ass guy went, and since we can't kill him, I say live and let live."
398,Bender,"Aww, that's sweet boss. Fry'll be nice and cozy back in the year 2000."
399,Nudar,What?! How do you know he went to the year 2000?
400,Bender,That's where he always goes.
401,Nudar,Hmm. Better play it safe. Go there a little earlier and wait for him. You know what to do.
402,Bender,"You want me to concludify him, like some sort of dispatcherator?"
403,Nudar,Yes. And don't forget to terminate him.
404,Bender,Got it. Preparing to terminate Philip Fry!
405,Schlump,What's with the doofy sunglasses?
406,Bender,It's really bright in the past.
407,Bender,"Ok, Fry. Come ta poppa. ... Man I'm bored.  Ohhh!"
408,Bender,"Hey, there you are! ... Oh, wait, that's Fry before he goes to the future. I'm waiting for the one who comes back from the future. Geesh this is confusing, and I bet it's gonna get a lot more confusing. Offf. That cheap beer really goes right through you. For the first time ever, I gotta use the bathroom, but if I leave, I might miss Fry. Ohhhh unless ...."
409,Bender-2,... and I bet it's gonna get a lot more confusing. Huh! Ah! Wha?
410,Bender,"Hi, I'm you from 19 seconds in the future. Stay here and wait for Fry while I go to the bathroom."
411,Bender-2,Ok Boss. After I kill Fry you're next.
412,Bender,What?
413,Bender-2,Nothing.
414,Bender-2,What the? Who are you?
415,Bender-3,I'm Bender from way at the end. I came back to put this rub-on time code on Fry's ass.
416,Bender-2,"So what are you now, a butler? Spot of tea please, jerkwad!"
417,Bender-3,"It's called class, you yokel. Now if you'll excuse me, I have a buttocks to tattoo."
418,Fry,Hello 2000. I'm home.
419,Voice,"Happy New Year, naked weirdo!"
420,Fry,Happy new year.
421,Bender-2,"Hasta la vista, meatbag!"
422,Fry,"Bender? What are you doing? It's me, your best friend."
423,Bender-2,Must obey orders. Ohhhhh. Mustn't kill friend!! Ohhhhhh!!! Badly want to urinate!!!!!
424,Fry,What's happening? Are you urinating?
425,Bender-2,"Explosion in seven, six, ..."
426,Fry,It'll be a cold day in hell my friend.
427,Bender-2,"Hey, I'm supposed to be the one saying cool things!"
428,Bender,"Hey ... so the game of cat and mouse begins, huh? Let us match wits. .... Ohhhh, how am I supposed to find him? All those times he blabbed on and on about his life in the twentieth century. If only I'd paid the slightest bit of attention. Oh well, guess I'd better go kill myself."
429,Cryogenicist,"Hello, bartender? I have thought it over, and far from being a fat pig, you are very nice and I would like another drink ..."
430,Bender,"Take a barf buddy. Ok suicide booth, give me your best shot. Electrocution please, side order of poison.  Helloooo? Kill me you stupid machine. ... What the ... local calls fifty cents? It's a street corner telephone parlor! Oh what kind of horrible suicide free time is this? Wait a minute, maybe this handy encyclopedia of humans will help me track Fry down."
431,Bender,"One of these Frys must be Fry. Look out Philip Fry, 'cause I got a little present for you."
432,Fat Man,My name is Phillip Fry. Where's my present.
433,Bender,Hang on a second Fry. I don't remember you being that ugly.
434,Fat Man,"Oh no, I've always been this ugly."
435,Bender,"Huh. Let me see your ass.  No tattoo. Okay, you can go."
436,Fat Man,Farewell sir.
437,Bender,"Say your prayers, Fry."
438,Michelle,This isn't Fry. I kicked Fry out two hours ago. This is my new boyfriend ... uhhh ...
439,Constantine,Constantine.
440,Michelle,Really? That's a dumb name. Ewwww.
441,Bender,"Hmmm, could be a trick. Let me see your ass, Constantine.  Ohh, nice, now I see why she left Fry."
442,Bender,"Okay, you're still clean. I mean metaphorically."
443,Bender,"He must have left the city. Man, this could take all day."
444,Phil,"The returns are looking good, Mr. Gore."
445,Al Gore,"Thanks, Phil. Here's to four years of clean air, clean government, and amazing new technologies such as ..."
446,Al Gore,... ROBOT!
447,Bender,Philip Fry?
448,Transition Announcer,Twelve years passed. Then ...
449,Transition Announcer,... this.
450,Bender,Philip J. Fry?
451,"Yancy Fry, Jr.","Phil, some kind of trash can here to see you. He's coming."
452,Philip J. Fry II,Are you made of Tinkertoy?
453,Bender,Hmmm. It's been twelve years. Maybe I'm getting taller.
454,Philip J. Fry II,You're not getting smarter.
455,Bender,"Listen, pipsqueak, are you Philip J. Fry or not? 'Cause if you are, I'm here to kill you."
456,Philip J. Fry II,I'd like to see you try.
457,Philip J. Fry II,You---you--you want Uncle Phil. He went to the North Pole on a fishyboat.
458,Bender,Ahhhh! The North Pole? I was just there.
459,Bender,"One ticket to the North Pole, please, broom closet class.  It is him, I'd recognize me, and hence him, anywhere."
460,Bender,Follow that guy. There's an extra hundred in it for you if you follow him so close that you run him over.
461,Al Gore,Yes sir.
462,Al Gore,Dang. That hundred dollars could have bought me one. Gallon. Of gas.
463,Bender,"Ohhh! I lost him. People will call me a failure.  Others however will call me the world's sexiest killing machine who's fun at parties. Fry, old buddy, it's me, Bender."
464,Bender,"Wooo! I totally killed him.  Oh god, what have I done?"
465,Bender,Preparing to terminate Philip Fry.
466,Schlump,What's with the doofy sun glasses?
467,Bender,It's really bright in the past.
468,Bender,Mission accomplished.
469,Schlump,Fry is dead?
470,Bender,No other robot could have done it. It took twelve years of tireless stalking but I hunted down and killed my best friend.  I'm the greatest.
471,Head cleaner,Time code and obedience virus erased.
472,Bender,Huh?
473,Head cleaner,"Also, fifty terabytes of porn."
474,Bender,Hey!
475,Nudar,"You've got no porn, no code, and you're ugly! Let's dance!"
476,Leela,Now it's true we'll all miss Fry.
477,Zoidberg,He was the only one of you who never struck me.
478,Leela,And we'll never see if boyish smile and hair horn again. But I bet he went back to his own time. I'm sure he was very happy and lived to a ripe old age.
479,Bender,He wasn't and he didn't!
480,Bender,"Struggling alone again incredible odds, I, Bender, managed to kill him."
481,Amy,"Awww, don't blame yourself, Bender."
482,Bender,"I don't blame myself, I blame all of you."
483,Amy,Us?! How can you possibly blame us?
484,Bender,"It ain't easy. It just proves how great I am.  Ohhh, Fry, I'd give anything to unmurder you!"
485,Fry,Did someone call me?
486,Bender,No.  But ... I killed you in 2012. Unless ...
487,Fry,Ooph!
488,Bender,"Nope, he's not a zombie."
489,Lars,Welcome back Fry.
490,Fry,"Thank you, Lars."
491,Lars,"I .. ah ... I .. I'll see you later, honey."
